      R        PHI    THETA2    THETA1       E_CP
    2.6000   30.0000   30.0000   60.0000   -76.971689670770
    2.6000   30.0000   30.0000   90.0000   -76.971498211622
    2.6000   30.0000   30.0000   120.0000   -76.970285420664
    2.6000   30.0000   30.0000   150.0000   -76.973607455574
    2.6000   30.0000   30.0000   180.0000   -76.973615137758
    2.6000   30.0000   60.0000   0.0000   -76.974327658726
    2.6000   30.0000   60.0000   30.0000   -76.977024824632
    2.6000   30.0000   60.0000   60.0000   -76.971773537948
    2.6000   30.0000   60.0000   90.0000   -76.971231263555
    2.6000   30.0000   60.0000   120.0000   -76.970448602508
    2.6000   30.0000   60.0000   150.0000   -76.975042131771
    2.6000   30.0000   60.0000   180.0000   -76.974327658727
    2.6000   30.0000   90.0000   0.0000   -76.973235086938
    2.6000   30.0000   90.0000   30.0000   -76.976805627893
    2.6000   30.0000   90.0000   60.0000   -76.971185711956
    2.6000   30.0000   90.0000   90.0000   -76.971116296550
    2.6000   30.0000   90.0000   120.0000   -76.971185711956
    2.6000   30.0000   90.0000   150.0000   -76.976805627893
    2.6000   30.0000   90.0000   180.0000   -76.973235086938
    2.6000   60.0000   0.0000   0.0000   -76.972855188055
    2.6000   60.0000   0.0000   30.0000   -76.973755218935
    2.6000   60.0000   0.0000   60.0000   -76.970938036994
    2.6000   60.0000   0.0000   90.0000   -76.971667306909
    2.6000   60.0000   0.0000   120.0000   -76.970938044384
    2.6000   60.0000   0.0000   150.0000   -76.973755218934
    2.6000   60.0000   0.0000   180.0000   -76.972855188055
    2.6000   60.0000   30.0000   0.0000   -76.973615137757
    2.6000   60.0000   30.0000   30.0000   -76.975069064671
    2.6000   60.0000   30.0000   60.0000   -76.971476226619
    2.6000   60.0000   30.0000   90.0000   -76.971599857785
    2.6000   60.0000   30.0000   120.0000   -76.970666461901
    2.6000   60.0000   30.0000   150.0000   -76.974007798728
    2.6000   60.0000   30.0000   180.0000   -76.973615137757
    2.6000   60.0000   60.0000   0.0000   -76.974327658726
    2.6000   60.0000   60.0000   30.0000   -76.976561540985
    2.6000   60.0000   60.0000   60.0000   -76.971711475858
    2.6000   60.0000   60.0000   90.0000   -76.971472009855
    2.6000   60.0000   60.0000   120.0000   -76.970954146046
