E (cm-1),2->0	,E (cm-1),4->0	,E (cm-1),6->0	,E (cm-1),8->0	,E (cm-1),10->0	,E (cm-1),4->2	,E (cm-1),6->2	,E (cm-1),8->2	,E (cm-1),10->2	,E (cm-1),6->4	,E (cm-1),8->4	,E (cm-1),10->4	,E (cm-1),8->6	,E (cm-1),10->6	,E (cm-1),10->8	
0.03814000000000006,117.69,0.04380000000000006,76.9178,0.016980000000000217,40.7795,0.007680000000000575,2.60885,0.015900000000000247,3.64913,0.04380000000000006,179.467,0.016980000000000217,100.776,0.007680000000000575,100.037,0.015900000000000247,19.5788,0.016980000000000217,1100.31,0.007680000000000575,219.474,0.015900000000000247,79.7898,0.007680000000000575,1796.9,0.015900000000000247,359.737,0.015900000000000247,1460.27
0.08814,100.215,0.0938000000000001,82.0706,0.06698000000000004,40.8738,0.0576800000000004,4.44073,0.06589999999999918,4.64048,0.0938000000000001,243.131,0.06698000000000004,77.7581,0.0576800000000004,60.4136,0.06589999999999918,13.2237,0.06698000000000004,969.955,0.0576800000000004,166.622,0.06589999999999918,62.4364,0.0576800000000004,1114.29,0.06589999999999918,280.382,0.06589999999999918,994.835
0.13814000000000004,15.7434,0.14380000000000015,16.3661,0.1169800000000003,26.888,0.10768000000000022,3.95221,0.11589999999999989,3.27592,0.14380000000000015,296.471,0.1169800000000003,157.064,0.10768000000000022,43.3243,0.11589999999999989,9.6678,0.1169800000000003,537.222,0.10768000000000022,146.563,0.11589999999999989,66.6644,0.10768000000000022,813.401,0.11589999999999989,224.222,0.11589999999999989,652.614
0.18813999999999997,110.043,0.19379999999999997,46.7499,0.16698000000000013,18.8228,0.15768000000000004,2.56483,0.1659000000000006,2.86894,0.19379999999999997,370.184,0.16698000000000013,52.3343,0.15768000000000004,47.4744,0.1659000000000006,8.27505,0.16698000000000013,403.351,0.15768000000000004,75.0657,0.1659000000000006,43.9341,0.15768000000000004,601.533,0.1659000000000006,167.135,0.1659000000000006,436.251
0.23814000000000002,87.4516,0.24380000000000002,58.907,0.21697999999999995,23.9074,0.20767999999999986,2.20084,0.21589999999999954,3.02352,0.24380000000000002,31.7591,0.21697999999999995,64.3095,0.20767999999999986,43.1196,0.21589999999999954,7.79053,0.21697999999999995,350.011,0.20767999999999986,66.0259,0.21589999999999954,56.6701,0.20767999999999986,455.235,0.21589999999999954,149.207,0.21589999999999954,386.1
0.28814000000000006,74.3155,0.29380000000000006,37.4335,0.2669800000000002,15.3342,0.2576800000000006,3.17431,0.26590000000000025,2.72784,0.29380000000000006,79.8676,0.2669800000000002,47.716,0.2576800000000006,44.2542,0.26590000000000025,7.00434,0.2669800000000002,389.931,0.2576800000000006,87.2634,0.26590000000000025,47.5464,0.2576800000000006,393.409,0.26590000000000025,116.097,0.26590000000000025,335.808
0.33814,27.4219,0.3437999999999999,28.4991,0.31698000000000004,14.9297,0.3076800000000004,1.76052,0.3158999999999992,2.23163,0.3437999999999999,176.474,0.31698000000000004,36.5331,0.3076800000000004,34.5073,0.3158999999999992,5.96334,0.31698000000000004,328.78,0.3076800000000004,73.0468,0.3158999999999992,30.9162,0.3076800000000004,337.199,0.3158999999999992,96.9961,0.3158999999999992,284.232
0.38814000000000004,28.1661,0.39380000000000015,26.7158,0.3669800000000003,13.4051,0.3576800000000002,1.46578,0.3658999999999999,1.98608,0.39380000000000015,151.003,0.3669800000000003,32.3809,0.3576800000000002,26.3207,0.3658999999999999,5.39421,0.3669800000000003,225.143,0.3576800000000002,62.3486,0.3658999999999999,28.3921,0.3576800000000002,294.385,0.3658999999999999,94.7477,0.3658999999999999,256.42
0.43814,29.817,0.4438,32.6754,0.41698000000000013,11.313,0.40768000000000004,1.2401,0.4159000000000006,1.7954,0.4438,222.289,0.41698000000000013,34.6081,0.40768000000000004,24.3615,0.4159000000000006,5.05082,0.41698000000000013,230.83,0.40768000000000004,61.4645,0.4159000000000006,28.054,0.40768000000000004,259.394,0.4159000000000006,90.873,0.4159000000000006,229.092
0.48814,39.416,0.49380000000000024,38.9054,0.46697999999999995,5.56474,0.45767999999999986,1.21122,0.46589999999999954,1.63504,0.49380000000000024,48.6245,0.46697999999999995,41.8281,0.45767999999999986,23.7068,0.46589999999999954,5.01219,0.46697999999999995,202.402,0.45767999999999986,65.046,0.46589999999999954,27.5277,0.45767999999999986,255.157,0.46589999999999954,87.5908,0.46589999999999954,205.977
0.5381400000000001,12.8693,0.5438000000000001,24.6277,0.5169799999999998,8.15573,0.5076800000000006,1.24235,0.5159000000000002,1.586,0.5438000000000001,62.3064,0.5169799999999998,33.4514,0.5076800000000006,23.0622,0.5159000000000002,4.85857,0.5169799999999998,190.137,0.5076800000000006,56.3286,0.5159000000000002,25.5381,0.5076800000000006,245.019,0.5159000000000002,80.338,0.5159000000000002,207.683
0.5881400000000001,23.4478,0.5937999999999999,23.2589,0.5669800000000005,7.90116,0.5576800000000004,1.31964,0.5658999999999992,1.55989,0.5937999999999999,106.335,0.5669800000000005,42.609,0.5576800000000004,22.5353,0.5658999999999992,4.46463,0.5669800000000005,182.226,0.5576800000000004,55.9901,0.5658999999999992,24.2447,0.5576800000000004,219.943,0.5658999999999992,68.6291,0.5658999999999992,196.653
0.6381399999999999,15.7913,0.6438000000000001,19.0672,0.6169800000000003,18.2691,0.6076800000000002,1.35785,0.6158999999999999,1.67357,0.6438000000000001,75.3927,0.6169800000000003,35.3029,0.6076800000000002,20.7244,0.6158999999999999,4.31012,0.6169800000000003,164.28,0.6076800000000002,50.9269,0.6158999999999999,23.5249,0.6076800000000002,212.105,0.6158999999999999,62.973,0.6158999999999999,178.159
