R	0	30	60	90	150	180
12.5	-0.610861	-0.603877	-0.581858	-0.552941	-0.507893	-0.500872
13.0	-0.526244	-0.520476	-0.501722	-0.477111	-0.438443	-0.432106
13.5	-0.456669	-0.451894	-0.43578	-0.414642	-0.381171	-0.375418
14.0	-0.398982	-0.395017	-0.381062	-0.362751	-0.333558	-0.328304
14.5	-0.350784	-0.347488	-0.335308	-0.319322	-0.293679	-0.288854
15.0	-0.310228	-0.307486	-0.296779	-0.282724	-0.260052	-0.255596
16.0	-0.246595	-0.244711	-0.236275	-0.225195	-0.207154	-0.203289
17.0	-0.199858	-0.198594	-0.191795	-0.182856	-0.168194	-0.164775
18.0	-0.164791	-0.163986	-0.158397	-0.151039	-0.138899	-0.135826
19.0	-0.137974	-0.137515	-0.132841	-0.126681	-0.116469	-0.113661
20.0	-0.117109	-0.116918	-0.112951	-0.107717	-0.099005	-0.096408
21.0	-0.100621	-0.100642	-0.097231	-0.092724	-0.085198	-0.082772
22.0	-0.087409	-0.087597	-0.08463	-0.080707	-0.074135	-0.071848
23.0	-0.07668	-0.077005	-0.0744	-0.070948	-0.065157	-0.062984
24.0	-0.067864	-0.068302	-0.065994	-0.062932	-0.057786	-0.055705
25.0	-0.060541	-0.061072	-0.05901	-0.056272	-0.051666	-0.049666
50.0	-0.011691	-0.012848	-0.012452	-0.011917	-0.011003	-0.00956
100.0	-0.000507	-0.001776	-0.001682	-0.001554	-0.001336	-0.0
