I	J	5.000	10.000	15.000	20.000	25.000	30.000	40.000	50.000	60.000	70.000	80.000	90.000	100.000
2	1	2.983	4.149	4.795	4.989	4.904	4.737	4.303	3.821	3.381	3.033	2.762	2.539	2.354
3	1	3.685	3.799	3.452	2.978	2.549	2.217	1.736	1.405	1.171	1.001	1.144	1.285	1.421
3	2	3.584	4.990	5.344	5.205	4.879	4.586	4.086	3.640	3.272	2.973	2.721	2.496	2.290
4	1	4.328	4.806	4.493	4.009	3.591	3.307	2.900	2.618	2.392	2.233	2.115	2.025	1.957
4	2	3.458	3.419	3.018	2.588	2.221	1.950	1.563	1.293	1.093	1.063	1.216	1.366	1.514
4	3	3.671	5.031	5.277	5.136	4.805	4.552	4.087	3.664	3.305	3.000	2.744	2.516	2.329
5	1	3.333	2.720	2.275	1.878	1.581	1.389	1.104	1.101	1.281	1.479	1.670	1.843	2.006
5	2	3.925	4.471	4.351	3.994	3.664	3.435	3.074	2.804	2.588	2.419	2.280	2.171	2.073
5	3	3.370	3.260	2.912	2.527	2.188	1.933	1.553	1.290	1.095	1.054	1.206	1.354	1.506
5	4	3.791	4.913	5.255	5.167	4.866	4.582	4.070	3.658	3.299	2.997	2.742	2.539	2.331
6	1	3.123	3.626	3.840	3.774	3.609	3.481	3.225	3.012	2.857	2.723	2.602	2.485	2.393
6	2	3.018	2.454	2.048	1.726	1.499	1.333	1.090	1.087	1.256	1.423	1.607	1.809	2.018
6	3	3.907	4.277	4.165	3.879	3.607	3.404	3.075	2.823	2.632	2.469	2.336	2.229	2.144
6	4	3.125	3.103	2.844	2.501	2.178	1.923	1.546	1.278	1.092	1.065	1.216	1.364	1.518
6	5	3.672	4.742	5.186	5.108	4.796	4.493	4.007	3.560	3.210	2.926	2.710	2.497	2.323
7	1	2.979	2.140	1.744	1.498	1.329	1.210	1.027	1.110	1.232	1.342	1.448	1.544	1.615
7	2	3.034	3.320	3.320	3.215	3.102	3.015	2.872	2.751	2.659	2.583	2.512	2.426	2.326
7	3	2.661	2.222	1.877	1.626	1.437	1.301	1.085	1.079	1.230	1.389	1.554	1.727	1.902
7	4	3.970	4.351	4.138	3.857	3.585	3.375	3.061	2.811	2.619	2.458	2.324	2.218	2.134
7	5	2.896	2.929	2.694	2.396	2.106	1.868	1.519	1.261	1.072	1.075	1.218	1.359	1.507
7	6	3.674	4.684	5.041	4.978	4.694	4.406	3.946	3.513	3.161	2.891	2.692	2.497	2.322
8	1	2.836	2.936	2.995	3.003	2.987	2.991	2.983	2.975	2.964	2.922	2.871	2.806	2.725
8	2	2.621	2.080	1.735	1.500	1.338	1.226	1.038	1.105	1.231	1.354	1.477	1.608	1.762
8	3	3.030	3.198	3.163	3.071	2.997	2.941	2.813	2.693	2.585	2.505	2.430	2.331	2.231
8	4	2.667	2.274	1.932	1.680	1.498	1.356	1.136	1.029	1.173	1.317	1.463	1.614	1.760
8	5	4.145	4.405	4.118	3.820	3.567	3.385	3.080	2.830	2.640	2.485	2.350	2.245	2.172
8	6	2.931	2.945	2.659	2.360	2.083	1.844	1.518	1.256	1.064	1.080	1.220	1.355	1.496
8	7	3.712	4.651	4.857	4.743	4.529	4.256	3.818	3.420	3.054	2.796	2.578	2.395	2.260
9	1	2.375	2.253	2.054	1.853	1.667	1.510	1.265	1.079	1.052	1.177	1.320	1.490	1.695
9	2	3.093	3.188	3.249	3.232	3.211	3.215	3.217	3.200	3.169	3.112	3.036	2.950	2.867
9	3	2.244	1.905	1.683	1.491	1.362	1.264	1.095	1.030	1.146	1.252	1.376	1.505	1.649
9	4	3.331	3.441	3.444	3.359	3.311	3.284	3.171	3.052	2.934	2.829	2.719	2.615	2.518
9	5	2.738	2.236	1.924	1.671	1.493	1.357	1.136	1.028	1.180	1.327	1.466	1.605	1.727
9	6	4.363	4.275	4.017	3.731	3.513	3.351	3.062	2.808	2.603	2.439	2.312	2.209	2.139
9	7	3.052	2.848	2.584	2.277	2.008	1.797	1.457	1.221	1.036	1.125	1.272	1.416	1.555
9	8	3.736	4.487	4.806	4.731	4.521	4.274	3.830	3.426	3.065	2.777	2.554	2.398	2.258
10	1	3.225	3.180	3.076	2.978	2.900	2.863	2.838	2.791	2.772	2.718	2.619	2.491	2.385
10	2	2.384	2.160	1.949	1.727	1.564	1.429	1.244	1.099	1.018	1.129	1.254	1.394	1.553
10	3	3.288	3.262	3.218	3.160	3.166	3.192	3.213	3.196	3.155	3.082	2.991	2.919	2.872
10	4	2.245	1.901	1.665	1.485	1.372	1.274	1.120	1.005	1.118	1.237	1.362	1.496	1.624
10	5	3.585	3.579	3.488	3.385	3.329	3.275	3.185	3.106	3.002	2.876	2.768	2.658	2.584
10	6	2.817	2.337	1.985	1.703	1.499	1.350	1.135	1.019	1.159	1.300	1.436	1.564	1.680
10	7	4.718	4.723	4.372	3.982	3.692	3.468	3.155	2.919	2.721	2.562	2.433	2.322	2.233
10	8	3.277	3.086	2.718	2.331	2.026	1.782	1.456	1.212	1.030	1.125	1.260	1.397	1.534
10	9	4.050	4.870	5.101	4.936	4.642	4.388	3.925	3.500	3.121	2.830	2.618	2.447	2.290
