I	J	5.000	10.000	15.000	20.000	25.000	30.000	35.000	40.000	45.000	50.000	55.000	60.000	65.000	70.000	75.000	80.000	85.000	90.000	95.000	100.000
2	1	1.993	1.252	1.053	1.002	1.001	1.026	1.063	1.109	1.161	1.219	1.282	1.347	1.413	1.478	1.541	1.602	1.662	1.719	1.774	1.827
3	1	1.642	1.128	1.287	1.260	1.198	1.138	1.082	1.033	1.008	1.045	1.077	1.107	1.135	1.163	1.190	1.219	1.250	1.283	1.315	1.341
3	2	1.727	1.411	1.382	1.397	1.402	1.403	1.414	1.437	1.473	1.520	1.575	1.637	1.705	1.777	1.851	1.928	2.007	2.086	2.165	2.246
4	1	3.287	2.279	2.104	2.049	1.994	1.958	1.950	1.960	1.984	2.017	2.057	2.103	2.157	2.219	2.292	2.375	2.470	2.577	2.702	2.849
4	2	1.001	1.178	1.147	1.088	1.044	1.012	1.017	1.047	1.076	1.105	1.135	1.165	1.197	1.231	1.270	1.312	1.358	1.407	1.457	1.504
4	3	2.215	1.693	1.650	1.684	1.698	1.702	1.716	1.747	1.796	1.859	1.934	2.019	2.111	2.211	2.315	2.424	2.537	2.652	2.770	2.885
5	1	1.548	1.232	1.191	1.193	1.183	1.177	1.182	1.198	1.221	1.247	1.278	1.313	1.352	1.393	1.438	1.486	1.537	1.585	1.628	1.660
5	2	3.896	2.587	2.334	2.297	2.310	2.360	2.443	2.549	2.664	2.785	2.910	3.042	3.181	3.331	3.490	3.661	3.846	4.046	4.265	4.509
5	3	1.508	1.173	1.152	1.186	1.208	1.223	1.242	1.265	1.291	1.321	1.353	1.389	1.428	1.473	1.523	1.576	1.633	1.693	1.754	1.814
5	4	3.139	2.237	2.117	2.132	2.143	2.153	2.182	2.232	2.308	2.408	2.526	2.659	2.806	2.962	3.128	3.299	3.471	3.643	3.814	3.982
6	1	4.823	3.301	3.039	3.078	3.195	3.378	3.610	3.862	4.121	4.373	4.618	4.863	5.103	5.340	5.578	5.817	6.056	6.292	6.533	6.793
6	2	1.973	1.550	1.496	1.511	1.521	1.538	1.570	1.615	1.673	1.738	1.809	1.885	1.963	2.043	2.125	2.208	2.292	2.377	2.464	2.558
6	3	4.455	2.877	2.606	2.608	2.661	2.755	2.894	3.064	3.252	3.450	3.658	3.876	4.104	4.342	4.588	4.846	5.113	5.389	5.664	5.927
6	4	1.898	1.432	1.366	1.367	1.365	1.364	1.372	1.391	1.421	1.458	1.502	1.553	1.610	1.673	1.739	1.808	1.878	1.951	2.025	2.095
6	5	4.086	2.805	2.617	2.617	2.627	2.646	2.695	2.781	2.901	3.055	3.234	3.437	3.654	3.887	4.124	4.367	4.605	4.841	5.073	5.299
