I	J	10.000	15.000	20.000	25.000	30.000	40.000
2	1	8.232	8.844	10.111	9.503	8.482	7.123
3	1	1.180	1.105	1.062	1.019	1.024	1.123
3	2	3.423	6.333	7.376	6.966	6.474	6.046
4	1	1.239	2.223	2.880	3.054	3.012	2.796
4	2	1.117	1.138	1.149	1.173	1.208	1.307
4	3	3.499	5.702	5.506	5.349	5.403	5.688
5	1	1.745	1.290	1.516	1.795	1.960	2.083
5	2	1.538	2.544	2.926	3.009	2.972	2.806
5	3	1.046	1.096	1.162	1.232	1.287	1.419
5	4	3.849	4.508	4.019	3.809	3.865	4.242
6	1	1.478	1.076	1.334	1.511	1.633	1.760
6	2	1.282	1.574	1.820	1.952	2.022	2.101
6	3	1.445	1.871	2.182	2.341	2.380	2.238
6	4	1.026	1.059	1.151	1.229	1.301	1.443
6	5	3.198	3.538	3.341	3.183	3.192	3.517
7	1	2.203	2.284	2.409	2.558	2.698	2.900
7	2	1.358	1.601	1.814	1.974	2.063	2.024
7	3	1.576	1.607	1.707	1.818	1.918	2.105
7	4	1.525	1.707	1.853	1.938	1.969	1.859
7	5	1.048	1.044	1.126	1.196	1.263	1.405
7	6	2.762	3.041	3.050	2.951	2.909	3.100
8	1	1.039	1.042	1.002	1.026	1.033	1.068
8	2	1.412	1.586	1.779	2.005	2.206	2.567
8	3	1.352	1.512	1.669	1.778	1.819	1.729
8	4	1.426	1.506	1.638	1.774	1.898	2.109
8	5	1.477	1.614	1.676	1.683	1.657	1.554
8	6	1.028	1.041	1.112	1.180	1.267	1.437
8	7	2.429	2.786	2.921	2.818	2.670	2.586
9	1	1.185	1.468	1.806	2.111	2.363	2.701
9	2	1.195	1.114	1.043	1.002	1.032	1.100
9	3	1.229	1.471	1.727	1.972	2.196	2.593
9	4	1.238	1.281	1.325	1.360	1.345	1.239
9	5	1.391	1.575	1.731	1.865	1.989	2.209
9	6	1.340	1.460	1.486	1.455	1.403	1.314
9	7	1.055	1.107	1.172	1.251	1.336	1.520
9	8	2.066	2.495	2.705	2.656	2.483	2.245
10	1	1.205	1.210	1.267	1.327	1.400	1.579
10	2	1.863	1.271	1.037	1.276	1.510	1.943
10	3	1.240	1.171	1.104	1.040	1.022	1.156
10	4	1.257	1.484	1.703	1.926	2.134	2.500
10	5	1.160	1.173	1.186	1.192	1.176	1.080
10	6	1.354	1.621	1.783	1.880	1.971	2.170
10	7	1.266	1.331	1.347	1.323	1.290	1.226
10	8	1.060	1.174	1.255	1.307	1.367	1.509
10	9	1.789	2.075	2.258	2.308	2.233	2.010
