I	J	5.000	10.000	15.000	20.000	30.000	40.000	50.000	60.000	70.000	80.000	90.000	100.000
2	1	3.335	1.701	1.468	1.416	1.577	1.914	2.323	2.769	3.227	3.725	4.281	5.111
3	1	5.654	2.229	1.744	1.583	1.497	1.567	1.732	1.938	2.160	2.378	2.569	2.705
3	2	3.542	1.736	1.505	1.519	1.750	2.024	2.320	2.665	3.051	3.461	3.873	4.409
4	1	5.777	2.421	2.094	2.127	2.403	2.648	2.837	3.053	3.311	3.579	3.802	4.075
4	2	7.285	2.866	2.129	1.859	1.637	1.626	1.733	1.879	2.040	2.207	2.374	2.525
4	3	3.706	1.701	1.440	1.443	1.642	1.872	2.133	2.450	2.809	3.191	3.570	4.069
5	1	13.468	5.142	3.577	2.924	2.213	1.914	1.815	1.801	1.835	1.889	1.935	2.029
5	2	6.620	2.636	2.094	1.999	2.093	2.235	2.384	2.577	2.812	3.065	3.292	3.554
5	3	7.479	2.980	2.201	1.960	1.787	1.799	1.917	2.060	2.211	2.372	2.543	2.704
5	4	3.708	1.684	1.440	1.457	1.668	1.899	2.157	2.462	2.806	3.180	3.563	4.101
6	1	8.297	2.980	1.982	1.637	1.344	1.269	1.302	1.395	1.532	1.684	1.808	1.969
6	2	14.488	5.429	3.707	3.041	2.425	2.209	2.178	2.219	2.294	2.372	2.418	2.496
6	3	7.277	2.953	2.278	2.191	2.270	2.339	2.417	2.540	2.708	2.902	3.090	3.312
6	4	6.843	2.803	2.076	1.853	1.718	1.751	1.875	2.020	2.175	2.344	2.527	2.696
6	5	3.328	1.546	1.350	1.392	1.628	1.877	2.143	2.443	2.774	3.137	3.519	4.079
7	1	7.529	3.545	2.826	2.631	2.441	2.388	2.424	2.503	2.611	2.735	2.854	3.004
7	2	7.967	3.157	2.180	1.841	1.567	1.499	1.531	1.614	1.725	1.836	1.911	2.014
7	3	10.652	4.366	3.009	2.522	2.071	1.902	1.872	1.897	1.951	2.020	2.080	2.163
7	4	6.132	2.759	2.219	2.172	2.276	2.335	2.396	2.502	2.651	2.823	2.989	3.179
7	5	6.749	2.797	2.052	1.821	1.699	1.735	1.847	1.980	2.131	2.302	2.491	2.666
7	6	3.176	1.509	1.334	1.390	1.649	1.902	2.160	2.440	2.753	3.106	3.483	4.024
8	1	8.053	3.934	3.049	2.752	2.440	2.302	2.260	2.265	2.307	2.376	2.454	2.591
8	2	6.522	3.443	2.754	2.526	2.308	2.224	2.226	2.276	2.361	2.465	2.564	2.686
8	3	5.404	2.410	1.752	1.534	1.362	1.317	1.338	1.399	1.489	1.589	1.670	1.774
8	4	8.198	3.768	2.737	2.339	1.959	1.810	1.776	1.788	1.832	1.895	1.959	2.033
8	5	6.041	2.878	2.342	2.254	2.307	2.337	2.377	2.468	2.604	2.761	2.911	3.080
8	6	6.828	2.948	2.143	1.866	1.730	1.766	1.872	2.001	2.149	2.320	2.511	2.697
8	7	3.240	1.536	1.359	1.416	1.690	1.947	2.208	2.499	2.830	3.204	3.596	4.125
9	1	5.896	2.891	2.254	2.041	1.865	1.788	1.748	1.735	1.754	1.802	1.868	1.955
9	2	4.920	2.543	1.956	1.735	1.506	1.410	1.386	1.402	1.452	1.524	1.596	1.698
9	3	6.158	3.291	2.597	2.354	2.136	2.053	2.053	2.099	2.180	2.283	2.390	2.505
9	4	4.520	2.211	1.692	1.501	1.340	1.279	1.279	1.325	1.401	1.486	1.554	1.638
9	5	7.253	3.503	2.590	2.196	1.862	1.756	1.737	1.755	1.800	1.863	1.929	1.996
9	6	6.063	3.040	2.480	2.312	2.287	2.326	2.385	2.493	2.641	2.808	2.966	3.134
9	7	6.556	3.118	2.293	1.920	1.736	1.792	1.914	2.058	2.222	2.404	2.604	2.794
9	8	3.612	1.725	1.506	1.521	1.752	2.024	2.319	2.655	3.037	3.455	3.868	4.375
10	1	3.182	1.441	1.182	1.098	1.018	1.093	1.123	1.124	1.104	1.072	1.032	1.016
10	2	6.567	2.690	2.132	1.964	1.785	1.669	1.602	1.574	1.582	1.619	1.681	1.736
10	3	3.613	1.948	1.624	1.483	1.309	1.216	1.181	1.183	1.213	1.259	1.305	1.360
10	4	5.573	2.973	2.402	2.173	1.972	1.916	1.920	1.955	2.022	2.115	2.216	2.323
10	5	4.365	2.106	1.611	1.427	1.279	1.222	1.222	1.265	1.335	1.419	1.493	1.578
10	6	6.381	3.271	2.502	2.147	1.851	1.769	1.760	1.776	1.807	1.856	1.920	1.987
10	7	6.179	3.327	2.766	2.533	2.410	2.424	2.480	2.583	2.716	2.864	3.022	3.201
10	8	6.030	3.168	2.496	2.102	1.880	1.926	2.034	2.169	2.324	2.494	2.692	2.894
10	9	4.013	1.972	1.748	1.753	1.938	2.188	2.467	2.797	3.178	3.589	3.995	4.494
