I	J	5.000	6.000	7.000	8.000	9.000	10.000	11.000	12.000	13.000	14.000	15.000
2	1	1.286	1.293	1.304	1.316	1.327	1.338	1.350	1.361	1.371	1.379	1.384
3	1	1.117	1.109	1.105	1.105	1.108	1.114	1.121	1.130	1.140	1.151	1.162
3	2	1.466	1.396	1.338	1.290	1.247	1.208	1.172	1.141	1.115	1.094	1.077
4	1	1.170	1.142	1.129	1.127	1.131	1.140	1.152	1.164	1.178	1.191	1.204
4	2	1.091	1.058	1.018	1.022	1.060	1.096	1.129	1.158	1.184	1.207	1.227
4	3	1.140	1.060	1.008	1.024	1.042	1.049	1.050	1.048	1.043	1.037	1.029
5	1	1.520	1.529	1.526	1.523	1.525	1.529	1.538	1.548	1.560	1.572	1.582
5	2	1.781	1.768	1.753	1.740	1.730	1.723	1.718	1.716	1.715	1.714	1.714
5	3	1.382	1.409	1.429	1.446	1.463	1.480	1.498	1.515	1.533	1.550	1.567
5	4	1.177	1.194	1.199	1.197	1.191	1.185	1.180	1.176	1.176	1.178	1.183
