I	J	4.000	6.000	8.000	10.000	12.000	14.000	16.000	18.000	20.000	22.000	24.000	26.000	28.000	30.000	32.000	34.000	36.000	38.000	40.000	42.000	44.000	46.000	48.000	50.000	52.000	54.000	56.000	58.000	60.000	62.000	64.000	66.000	68.000	70.000	72.000	74.000	76.000	78.000	80.000	82.000	84.000	86.000	88.000	90.000	92.000	94.000	96.000	98.000	100.000
2	1	1.113	1.030	1.072	1.182	1.285	1.375	1.443	1.488	1.517	1.536	1.549	1.556	1.560	1.559	1.556	1.549	1.539	1.528	1.514	1.499	1.482	1.464	1.445	1.425	1.404	1.383	1.362	1.341	1.320	1.299	1.279	1.258	1.238	1.218	1.199	1.180	1.162	1.144	1.127	1.110	1.093	1.076	1.060	1.044	1.027	1.011	1.005	1.022	1.039
3	1	1.626	1.436	1.318	1.279	1.292	1.331	1.379	1.425	1.467	1.502	1.533	1.559	1.583	1.605	1.627	1.647	1.667	1.687	1.707	1.727	1.746	1.766	1.786	1.806	1.826	1.847	1.867	1.888	1.910	1.932	1.955	1.978	2.002	2.026	2.052	2.077	2.104	2.130	2.156	2.181	2.206	2.229	2.250	2.269	2.285	2.297	2.306	2.311	2.314
3	2	1.163	1.096	1.035	1.003	1.021	1.030	1.035	1.038	1.038	1.037	1.034	1.029	1.023	1.015	1.006	1.003	1.014	1.026	1.038	1.052	1.065	1.080	1.095	1.111	1.127	1.143	1.160	1.177	1.195	1.212	1.230	1.248	1.266	1.284	1.303	1.322	1.340	1.359	1.378	1.398	1.417	1.437	1.458	1.479	1.500	1.523	1.546	1.570	1.594
4	1	2.489	2.448	2.441	2.440	2.438	2.437	2.438	2.446	2.460	2.483	2.515	2.557	2.605	2.659	2.717	2.777	2.840	2.903	2.967	3.032	3.097	3.161	3.226	3.290	3.354	3.418	3.482	3.546	3.610	3.675	3.739	3.804	3.869	3.934	4.000	4.067	4.134	4.201	4.268	4.335	4.399	4.461	4.519	4.571	4.617	4.655	4.686	4.710	4.731
4	2	1.716	1.658	1.667	1.699	1.740	1.782	1.824	1.863	1.901	1.938	1.975	2.012	2.049	2.087	2.125	2.164	2.203	2.244	2.286	2.329	2.374	2.419	2.466	2.513	2.562	2.611	2.661	2.712	2.763	2.814	2.866	2.918	2.970	3.022	3.074	3.127	3.179	3.231	3.283	3.334	3.383	3.430	3.475	3.517	3.554	3.587	3.614	3.636	3.652
4	3	1.151	1.099	1.089	1.117	1.154	1.187	1.212	1.232	1.246	1.257	1.266	1.275	1.283	1.293	1.303	1.314	1.326	1.339	1.353	1.368	1.385	1.402	1.420	1.439	1.459	1.479	1.501	1.523	1.545	1.568	1.592	1.616	1.640	1.664	1.689	1.714	1.738	1.763	1.788	1.813	1.838	1.863	1.889	1.915	1.942	1.970	1.999	2.029	2.060
5	1	1.018	1.215	1.401	1.564	1.707	1.826	1.922	1.995	2.052	2.100	2.146	2.194	2.245	2.299	2.355	2.413	2.474	2.538	2.605	2.676	2.750	2.827	2.908	2.991	3.078	3.167	3.259	3.353	3.450	3.549	3.651	3.754	3.860	3.967	4.076	4.186	4.299	4.413	4.530	4.649	4.773	4.900	5.031	5.168	5.310	5.456	5.607	5.760	5.915
5	2	1.425	1.515	1.604	1.699	1.796	1.893	1.986	2.074	2.155	2.230	2.299	2.362	2.420	2.476	2.530	2.583	2.636	2.690	2.744	2.799	2.856	2.913	2.973	3.034	3.096	3.160	3.225	3.292	3.360	3.429	3.499	3.571	3.643	3.716	3.790	3.865	3.941	4.016	4.092	4.166	4.240	4.312	4.383	4.449	4.513	4.571	4.625	4.674	4.718
5	3	1.658	1.788	1.889	1.973	2.042	2.098	2.141	2.175	2.204	2.233	2.264	2.298	2.335	2.375	2.416	2.458	2.500	2.543	2.587	2.631	2.675	2.720	2.765	2.811	2.858	2.905	2.954	3.004	3.055	3.108	3.162	3.218	3.276	3.336	3.398	3.461	3.526	3.592	3.660	3.728	3.797	3.867	3.936	4.004	4.072	4.138	4.203	4.265	4.325
5	4	1.094	1.192	1.275	1.343	1.397	1.444	1.484	1.518	1.546	1.570	1.591	1.610	1.628	1.647	1.666	1.687	1.709	1.731	1.753	1.776	1.798	1.820	1.842	1.864	1.886	1.908	1.931	1.954	1.978	2.003	2.028	2.055	2.082	2.111	2.140	2.171	2.203	2.236	2.269	2.304	2.339	2.375	2.412	2.449	2.487	2.525	2.564	2.602	2.640
