I	J	5.000	6.000	7.000	8.000	9.000	10.000	12.000	14.000	16.000	18.000	20.000	25.000	30.000	35.000	40.000	45.000	50.000	55.000	60.000	65.000	70.000	75.000	80.000	85.000	90.000	95.000	100.000
2	1	4.544	3.788	3.341	3.065	2.903	2.815	2.763	2.788	2.839	2.898	2.960	3.116	3.270	3.440	3.638	3.863	4.108	4.365	4.629	4.895	5.158	5.410	5.646	5.863	6.060	6.236	6.347
3	1	2.959	2.359	1.979	1.739	1.590	1.497	1.395	1.343	1.310	1.288	1.272	1.251	1.247	1.261	1.295	1.348	1.414	1.492	1.579	1.676	1.778	1.885	1.992	2.097	2.198	2.288	2.347
3	2	6.053	4.629	3.867	3.399	3.088	2.878	2.638	2.533	2.500	2.506	2.535	2.636	2.736	2.852	2.996	3.162	3.338	3.516	3.693	3.868	4.038	4.204	4.363	4.515	4.660	4.800	4.925
4	1	8.834	6.306	4.804	3.872	3.285	2.903	2.462	2.227	2.090	2.007	1.956	1.888	1.863	1.878	1.930	2.002	2.080	2.156	2.228	2.296	2.358	2.415	2.465	2.511	2.552	2.591	2.632
4	2	4.224	3.191	2.613	2.240	1.988	1.816	1.607	1.493	1.423	1.378	1.347	1.300	1.274	1.273	1.297	1.341	1.399	1.466	1.540	1.621	1.706	1.796	1.889	1.986	2.084	2.180	2.259
4	3	6.165	4.645	3.842	3.379	3.084	2.885	2.653	2.547	2.511	2.514	2.540	2.631	2.719	2.822	2.950	3.095	3.249	3.407	3.567	3.729	3.892	4.054	4.214	4.367	4.512	4.647	4.758
5	1	8.782	6.365	4.926	4.023	3.438	3.047	2.583	2.331	2.177	2.072	1.993	1.836	1.719	1.654	1.631	1.634	1.652	1.678	1.710	1.746	1.786	1.829	1.874	1.919	1.964	2.012	2.071
5	2	9.290	6.784	5.290	4.330	3.701	3.278	2.770	2.490	2.322	2.216	2.148	2.060	2.027	2.039	2.087	2.156	2.232	2.310	2.386	2.461	2.533	2.603	2.669	2.730	2.784	2.834	2.894
5	3	4.059	3.028	2.478	2.136	1.901	1.733	1.519	1.398	1.328	1.287	1.264	1.232	1.215	1.220	1.248	1.292	1.345	1.404	1.467	1.533	1.603	1.678	1.756	1.839	1.926	2.015	2.096
5	4	5.768	4.325	3.545	3.104	2.833	2.653	2.446	2.353	2.321	2.325	2.349	2.431	2.509	2.598	2.711	2.842	2.986	3.138	3.298	3.464	3.634	3.805	3.973	4.134	4.284	4.420	4.524
6	1	9.878	7.327	5.782	4.788	4.125	3.670	3.115	2.808	2.622	2.499	2.408	2.228	2.091	2.012	1.983	1.987	2.012	2.053	2.105	2.165	2.229	2.293	2.350	2.397	2.429	2.456	2.511
6	2	6.721	5.013	3.934	3.231	2.770	2.460	2.085	1.871	1.734	1.639	1.567	1.437	1.354	1.314	1.307	1.320	1.345	1.376	1.411	1.449	1.490	1.533	1.576	1.619	1.661	1.704	1.754
6	3	7.149	5.226	4.150	3.447	2.961	2.615	2.179	1.935	1.795	1.715	1.670	1.616	1.596	1.607	1.645	1.700	1.760	1.822	1.882	1.943	2.004	2.065	2.126	2.184	2.239	2.292	2.354
6	4	3.902	2.889	2.358	2.038	1.820	1.662	1.456	1.337	1.267	1.228	1.205	1.179	1.170	1.180	1.209	1.252	1.303	1.358	1.416	1.477	1.543	1.614	1.689	1.770	1.855	1.943	2.028
6	5	5.533	4.153	3.398	2.975	2.720	2.552	2.358	2.271	2.243	2.250	2.276	2.359	2.433	2.518	2.626	2.754	2.896	3.047	3.206	3.369	3.535	3.700	3.860	4.013	4.155	4.283	4.377
7	1	3.546	2.575	2.004	1.638	1.392	1.221	1.009	1.120	1.214	1.282	1.335	1.446	1.544	1.615	1.658	1.678	1.681	1.668	1.641	1.605	1.561	1.514	1.468	1.426	1.389	1.351	1.297
7	2	7.202	5.547	4.458	3.732	3.247	2.916	2.510	2.279	2.136	2.041	1.973	1.856	1.785	1.758	1.766	1.796	1.839	1.890	1.946	2.005	2.064	2.121	2.171	2.208	2.228	2.236	2.267
7	3	5.422	4.056	3.259	2.727	2.356	2.092	1.752	1.553	1.431	1.352	1.299	1.212	1.157	1.131	1.126	1.135	1.153	1.175	1.201	1.230	1.262	1.296	1.332	1.368	1.405	1.443	1.486
7	4	5.743	4.206	3.385	2.862	2.495	2.228	1.879	1.678	1.559	1.489	1.448	1.396	1.375	1.382	1.413	1.459	1.511	1.566	1.620	1.676	1.733	1.791	1.849	1.905	1.959	2.010	2.068
7	5	3.940	2.876	2.331	2.017	1.807	1.653	1.447	1.324	1.252	1.211	1.188	1.163	1.157	1.168	1.197	1.236	1.282	1.331	1.383	1.439	1.501	1.569	1.642	1.721	1.804	1.891	1.980
7	6	5.613	4.242	3.472	3.034	2.771	2.601	2.405	2.315	2.287	2.295	2.324	2.415	2.494	2.578	2.681	2.800	2.931	3.068	3.209	3.353	3.497	3.641	3.784	3.922	4.054	4.176	4.273
8	1	3.397	2.592	2.110	1.792	1.570	1.410	1.206	1.095	1.035	1.003	1.014	1.038	1.051	1.048	1.031	1.006	1.023	1.057	1.094	1.133	1.176	1.221	1.268	1.316	1.364	1.416	1.476
8	2	3.007	2.274	1.808	1.500	1.293	1.151	1.023	1.136	1.217	1.277	1.324	1.423	1.512	1.580	1.625	1.651	1.659	1.653	1.634	1.604	1.566	1.524	1.480	1.439	1.402	1.364	1.315
8	3	5.351	4.070	3.333	2.849	2.516	2.281	1.983	1.814	1.713	1.651	1.611	1.547	1.506	1.493	1.503	1.527	1.560	1.598	1.641	1.688	1.738	1.789	1.838	1.882	1.916	1.942	1.979
8	4	4.668	3.463	2.806	2.381	2.082	1.864	1.575	1.403	1.296	1.228	1.182	1.112	1.070	1.048	1.042	1.045	1.056	1.070	1.089	1.111	1.137	1.165	1.196	1.226	1.256	1.287	1.322
8	5	5.497	3.946	3.163	2.690	2.364	2.125	1.804	1.612	1.496	1.425	1.381	1.322	1.297	1.298	1.322	1.359	1.401	1.445	1.491	1.539	1.588	1.640	1.692	1.743	1.791	1.837	1.888
8	6	4.195	3.052	2.460	2.121	1.899	1.738	1.517	1.381	1.298	1.249	1.219	1.186	1.176	1.185	1.210	1.246	1.287	1.332	1.382	1.436	1.496	1.562	1.635	1.712	1.795	1.883	1.973
8	7	5.889	4.482	3.673	3.200	2.913	2.728	2.513	2.410	2.371	2.371	2.394	2.480	2.556	2.632	2.721	2.823	2.937	3.056	3.181	3.308	3.436	3.565	3.692	3.818	3.939	4.054	4.153
9	1	2.453	1.820	1.459	1.226	1.067	1.050	1.240	1.382	1.481	1.548	1.596	1.684	1.755	1.809	1.849	1.879	1.899	1.908	1.904	1.887	1.856	1.815	1.767	1.715	1.661	1.603	1.535
