I	J	5.000	6.000	7.000	8.000	9.000	10.000	11.000	12.000	13.000	14.000	15.000	16.000	17.000	18.000	19.000	20.000	21.000	22.000	23.000	24.000	25.000	26.000	27.000	28.000	29.000	30.000	31.000	32.000	33.000	34.000	35.000	36.000	37.000	38.000	39.000	40.000	41.000	42.000	43.000	44.000	45.000	46.000	47.000	48.000	49.000	50.000	51.000	52.000	53.000	54.000	55.000	56.000	57.000	58.000	59.000	60.000	61.000	62.000	63.000	64.000	65.000	66.000	67.000	68.000	69.000	70.000	71.000	72.000	73.000	74.000	75.000	76.000	77.000	78.000	79.000	80.000	81.000	82.000	83.000	84.000	85.000	86.000	87.000	88.000	89.000	90.000	91.000	92.000	93.000	94.000	95.000	96.000	97.000	98.000	99.000	100.000
2	1	5.024	5.420	5.733	5.999	6.246	6.478	6.685	6.862	7.006	7.119	7.206	7.273	7.324	7.363	7.393	7.417	7.435	7.447	7.452	7.452	7.445	7.433	7.416	7.394	7.368	7.338	7.305	7.268	7.229	7.187	7.143	7.097	7.049	6.999	6.947	6.893	6.838	6.781	6.722	6.662	6.602	6.541	6.480	6.419	6.358	6.298	6.238	6.178	6.120	6.062	6.005	5.949	5.894	5.841	5.788	5.737	5.687	5.638	5.591	5.544	5.499	5.456	5.413	5.372	5.332	5.294	5.256	5.219	5.184	5.150	5.117	5.085	5.054	5.024	4.995	4.967	4.940	4.914	4.889	4.865	4.841	4.819	4.797	4.776	4.757	4.737	4.719	4.702	4.686	4.670	4.655	4.641	4.628	4.616	4.605	4.594
3	1	3.106	3.112	3.085	3.052	3.029	3.017	3.008	2.997	2.981	2.959	2.934	2.904	2.871	2.835	2.796	2.756	2.715	2.674	2.634	2.595	2.556	2.519	2.482	2.446	2.410	2.375	2.340	2.307	2.273	2.240	2.208	2.176	2.145	2.114	2.083	2.053	2.024	1.995	1.966	1.938	1.911	1.884	1.858	1.832	1.807	1.783	1.759	1.735	1.713	1.691	1.669	1.648	1.628	1.608	1.588	1.569	1.551	1.533	1.516	1.499	1.482	1.466	1.451	1.436	1.421	1.406	1.392	1.378	1.365	1.352	1.339	1.327	1.314	1.302	1.291	1.279	1.268	1.257	1.246	1.235	1.224	1.213	1.203	1.193	1.183	1.173	1.163	1.153	1.143	1.134	1.125	1.115	1.106	1.097	1.089	1.080
3	2	3.760	4.000	4.200	4.369	4.519	4.654	4.770	4.866	4.942	4.999	5.042	5.073	5.093	5.106	5.112	5.114	5.112	5.108	5.102	5.097	5.091	5.084	5.077	5.068	5.058	5.046	5.032	5.017	5.000	4.982	4.962	4.941	4.918	4.895	4.870	4.844	4.817	4.789	4.761	4.731	4.702	4.671	4.641	4.610	4.578	4.547	4.515	4.483	4.452	4.420	4.389	4.358	4.327	4.297	4.266	4.236	4.207	4.178	4.150	4.121	4.094	4.067	4.040	4.014	3.988	3.963	3.938	3.914	3.890	3.867	3.844	3.838	3.800	3.779	3.758	3.738	3.718	3.698	3.680	3.661	3.643	3.626	3.609	3.592	3.576	3.561	3.545	3.531	3.516	3.502	3.489	3.475	3.462	3.450	3.438	3.426
4	1	2.491	2.459	2.421	2.397	2.392	2.399	2.411	2.423	2.431	2.436	2.436	2.432	2.424	2.411	2.395	2.377	2.358	2.340	2.321	2.304	2.286	2.268	2.251	2.234	2.216	2.198	2.181	2.163	2.146	2.128	2.111	2.094	2.077	2.060	2.043	2.027	2.011	1.996	1.981	1.966	1.952	1.938	1.924	1.911	1.898	1.886	1.873	1.861	1.848	1.836	1.824	1.812	1.801	1.789	1.777	1.765	1.754	1.742	1.730	1.719	1.707	1.696	1.685	1.673	1.662	1.651	1.640	1.630	1.619	1.609	1.599	1.589	1.579	1.569	1.560	1.550	1.541	1.532	1.523	1.514	1.506	1.497	1.489	1.480	1.472	1.464	1.456	1.448	1.440	1.432	1.424	1.416	1.408	1.400	1.392	1.384
4	2	2.979	3.029	3.059	3.078	3.092	3.102	3.103	3.095	3.077	3.050	3.018	2.980	2.939	2.896	2.851	2.805	2.761	2.719	2.679	2.642	2.607	2.573	2.541	2.510	2.479	2.449	2.419	2.390	2.361	2.332	2.304	2.276	2.248	2.221	2.194	2.167	2.141	2.115	2.089	2.064	2.038	2.014	1.989	1.965	1.941	1.918	1.894	1.872	1.849	1.827	1.806	1.785	1.764	1.743	1.724	1.704	1.685	1.666	1.648	1.630	1.613	1.596	1.579	1.563	1.547	1.531	1.516	1.501	1.486	1.472	1.458	1.444	1.430	1.416	1.403	1.390	1.377	1.364	1.351	1.339	1.326	1.314	1.302	1.290	1.278	1.266	1.254	1.242	1.230	1.218	1.207	1.195	1.184	1.173	1.162	1.151
4	3	3.402	3.529	3.631	3.718	3.795	3.864	3.922	3.969	4.004	4.028	4.042	4.047	4.046	4.039	4.028	4.013	3.996	3.978	3.961	3.944	3.929	3.916	3.905	3.895	3.885	3.874	3.863	3.851	3.838	3.825	3.811	3.796	3.781	3.765	3.748	3.731	3.713	3.694	3.676	3.657	3.638	3.619	3.600	3.580	3.560	3.539	3.519	3.498	3.477	3.455	3.434	3.413	3.392	3.371	3.350	3.329	3.308	3.288	3.268	3.247	3.228	3.208	3.189	3.169	3.150	3.132	3.113	3.095	3.077	3.060	3.043	3.026	3.009	2.992	2.976	2.960	2.945	2.929	2.914	2.899	2.885	2.870	2.856	2.842	2.828	2.815	2.801	2.788	2.775	2.762	2.750	2.737	2.724	2.712	2.699	2.687
5	1	3.316	3.351	3.358	3.370	3.401	3.447	3.498	3.547	3.589	3.621	3.643	3.655	3.656	3.649	3.635	3.617	3.598	3.578	3.559	3.540	3.522	3.503	3.483	3.462	3.441	3.419	3.397	3.374	3.350	3.326	3.302	3.278	3.253	3.228	3.204	3.180	3.156	3.132	3.108	3.085	3.062	3.039	3.017	2.994	2.972	2.950	2.929	2.907	2.885	2.864	2.843	2.821	2.799	2.778	2.756	2.734	2.712	2.690	2.668	2.646	2.624	2.602	2.579	2.557	2.535	2.513	2.491	2.469	2.447	2.426	2.404	2.383	2.362	2.342	2.322	2.301	2.282	2.262	2.243	2.224	2.205	2.187	2.169	2.151	2.134	2.116	2.099	2.082	2.066	2.049	2.033	2.017	2.002	1.986	1.971	1.956
5	2	1.959	1.986	1.998	2.007	2.017	2.028	2.038	2.041	2.039	2.030	2.015	1.995	1.971	1.945	1.917	1.890	1.864	1.840	1.817	1.796	1.776	1.757	1.737	1.719	1.700	1.682	1.664	1.646	1.628	1.611	1.594	1.578	1.562	1.546	1.531	1.516	1.502	1.489	1.476	1.463	1.451	1.439	1.428	1.417	1.406	1.395	1.385	1.375	1.365	1.355	1.345	1.335	1.326	1.316	1.307	1.298	1.288	1.279	1.269	1.260	1.251	1.241	1.232	1.223	1.214	1.205	1.196	1.187	1.178	1.169	1.160	1.151	1.142	1.133	1.125	1.116	1.108	1.099	1.091	1.082	1.074	1.065	1.057	1.049	1.041	1.032	1.024	1.016	1.008	1.000	1.009	1.017	1.026	1.035	1.044	1.054
5	3	3.213	3.232	3.239	3.243	3.246	3.247	3.242	3.228	3.203	3.169	3.127	3.079	3.027	2.972	2.916	2.861	2.808	2.758	2.712	2.669	2.630	2.594	2.559	2.526	2.494	2.463	2.432	2.402	2.373	2.344	2.316	2.289	2.261	2.235	2.208	2.183	2.157	2.133	2.108	2.084	2.061	2.037	2.014	1.991	1.969	1.946	1.924	1.902	1.880	1.859	1.838	1.817	1.796	1.776	1.756	1.736	1.717	1.698	1.679	1.660	1.642	1.624	1.607	1.589	1.572	1.556	1.539	1.523	1.507	1.492	1.476	1.461	1.446	1.431	1.417	1.403	1.388	1.374	1.361	1.347	1.334	1.320	1.307	1.294	1.281	1.268	1.256	1.243	1.231	1.219	1.207	1.195	1.183	1.172	1.160	1.149
