1.00,0.00,-1221708880.1345338821411133
1.10,0.00,-783039593.3656660318374634
1.20,0.00,-500461630.2810335159301758
1.30,0.00,-318882617.9424418210983276
1.40,0.00,-202513663.1293275356292725
1.50,0.00,-128149840.2887578159570694
1.60,0.00,-80776060.8710161745548248
1.70,0.00,-50697801.8266276493668556
1.80,0.00,-31670466.0375937446951866
1.90,0.00,-19681848.8415854610502720
2.00,0.00,-12161109.2511918228119612
2.10,0.00,-7465828.6240878105163574
2.20,0.00,-4550081.6873093061149120
2.30,0.00,-2750119.5592444296926260
2.40,0.00,-1646322.8116404926404357
2.50,0.00,-974511.8972535951761529
2.60,0.00,-569127.1265830666525289
2.70,0.00,-326936.7456596011179499
2.80,0.00,-183933.1999677588173654
2.90,0.00,-100678.0915447815787047
3.00,0.00,-53042.9322278643594473
3.10,0.00,-26384.3927567650425772
3.20,0.00,-11897.6426573507724243
3.30,0.00,-4345.4400467931691310
3.40,0.00,-652.3398477484308842
3.50,0.00,959.7482386900643405
3.60,0.00,1499.0982894662272429
3.70,0.00,1523.3186323358047503
3.80,0.00,1330.4939552290873053
3.90,0.00,1072.3109553480271643
4.00,0.00,820.0643177684553393
4.10,0.00,602.5024345541119146
4.20,0.00,427.0524628365436683
4.30,0.00,291.3823131594859319
4.40,0.00,189.4484147743458777
4.50,0.00,114.4708874979931181
4.60,0.00,60.2502264248611468
4.70,0.00,21.6282973687350975
4.80,0.00,-5.4622274102194517
4.90,0.00,-24.1227471345605693
5.00,0.00,-36.6674728133996197
5.10,0.00,-44.7996831113486280
5.20,0.00,-49.7629915066147532
5.30,0.00,-52.4619809353129156
5.40,0.00,-53.5541822924357263
5.50,0.00,-53.5181794496018028
5.60,0.00,-52.7030840152157438
5.70,0.00,-51.3640682587545356
5.80,0.00,-49.6877572741460938
5.90,0.00,-47.8103857654733417
6.00,0.00,-45.8308536543099763
6.20,0.00,-41.8285911815843576
6.40,0.00,-38.0285095583581452
6.60,0.00,-34.5821193615394691
6.80,0.00,-31.5328348051040592
7.00,0.00,-28.8680043880148105
7.20,0.00,-26.5495687162122920
7.40,0.00,-24.5314444695660008
7.60,0.00,-22.7686267437488183
7.80,0.00,-21.2212739542586490
8.00,0.00,-19.8559301475531562
8.20,0.00,-18.6452691463082871
8.40,0.00,-17.5672043088571073
