R	Gamma	E
2.50	40	12203.103243
2.50	50	6046.079903
2.50	60	3001.352464
2.50	70	1588.41799
2.50	80	985.575517
2.50	90	819.819841
2.50	100	979.280075
2.50	110	1529.695931
2.50	120	2734.134885
2.50	130	5257.659163
2.50	140	10891.840098
2.50	150	24620.390067
2.50	160	57591.846198
2.50	170	145382.068717
2.50	180	774563.237338
2.60	0	53641.531069
2.60	20	32987.175571
2.60	30	18843.359931
2.60	40	9609.646906
2.60	50	4669.341581
2.60	60	2248.814531
2.60	70	1135.096716
2.60	80	662.72408
2.60	90	531.115742
2.60	100	650.091798
2.60	110	1070.643313
2.60	120	1998.549299
2.60	130	3955.346532
2.60	140	8365.586063
2.60	150	19247.723689
2.60	160	45823.363894
2.60	170	111931.964
2.60	180	336852.860398
2.70	0	45729.983704
2.70	10	39720.538776
2.70	20	26394.797814
2.70	30	14820.547106
2.70	40	7505.657216
2.70	50	3581.202701
2.70	60	1671.729458
2.70	70	799.213067
2.70	80	431.020857
2.70	90	327.125871
2.70	100	415.510022
2.70	110	735.228374
2.70	120	1445.495196
2.70	130	2950.339648
2.70	140	6364.245222
2.70	150	14855.183932
2.70	160	35793.544485
2.70	170	83783.960176
2.70	180	179602.767418
2.80	0	39810.773311
2.80	10	31533.015132
2.80	20	20713.36287
2.80	30	11560.072845
2.80	40	5812.955906
2.80	50	2726.601238
2.80	60	1231.096283
2.80	70	551.629437
2.80	80	266.070533
2.80	90	184.495677
2.80	100	249.916549
2.80	110	491.859424
2.80	120	1032.209553
2.80	130	2180.229174
2.80	140	4795.738889
2.80	150	11339.3288
2.80	160	27495.507908
2.80	170	61881.284097
2.80	180	108153.303899
2.90	0	35375.67187
2.90	10	24285.973025
2.90	20	15959.131729
2.90	30	8939.646256
2.90	40	4465.225397
2.90	50	2059.461936
2.90	60	896.205137
2.90	70	370.152192
2.90	80	149.725532
2.90	90	86.008632
2.90	100	134.308356
2.90	110	316.712499
2.90	120	725.385022
2.90	130	1594.299387
2.90	140	3578.720302
2.90	150	8560.809882
2.90	160	20836.516735
2.90	170	45365.35343
2.90	180	70271.718295
3.00	0	21516.044415
3.00	10	18324.746766
3.00	20	12196.332763
3.00	30	6851.516665
3.00	40	3402.514635
3.00	50	1541.80186
3.00	60	642.958978
3.00	70	237.955549
3.00	80	68.562119
3.00	90	19.056383
3.00	100	54.675835
3.00	110	191.778501
3.00	120	499.211946
3.00	130	1151.794654
3.00	140	2643.199776
3.00	150	6394.109777
3.00	160	15595.134105
3.00	170	33087.248939
3.00	180	47746.426427
3.10	0	15937.210389
3.10	10	13732.711148
3.10	20	9244.693041
3.10	30	5207.668266
3.10	40	2571.611089
3.10	50	1142.567809
3.10	60	452.470028
3.10	70	142.329011
3.10	80	12.716747
3.10	90	-25.531181
3.10	100	0.760425
3.10	110	103.590709
3.10	120	333.760334
3.10	130	820.172648
3.10	140	1930.495566
3.10	150	4724.92969
3.10	160	11537.416292
3.10	170	23995.648574
3.10	180	33211.21648
3.20	0	11795.786793
3.20	10	10238.358228
3.20	20	6954.101751
3.20	30	3927.57455
3.20	40	1926.913099
3.20	50	836.584183
3.20	60	309.999607
3.20	70	73.720423
3.20	80	-25.016762
3.20	90	-54.373331
3.20	100	-34.904384
3.20	110	42.122243
3.20	120	213.739299
3.20	130	573.653669
3.20	140	1392.394079
3.20	150	3453.254169
3.20	160	8442.800118
3.20	170	17286.795164
3.20	180	23327.837822
3.30	0	8705.785088
3.30	10	7594.692256
3.30	20	5195.74021
3.30	30	2939.598496
3.30	40	1430.265124
3.30	50	603.533946
3.30	60	204.081587
3.30	70	24.984498
3.30	80	-49.866258
3.30	90	-72.212116
3.30	100	-57.714356
3.30	110	-0.048567
3.30	120	127.476901
3.30	130	391.934336
3.30	140	989.790091
3.30	150	2494.461607
3.30	160	6112.620087
3.30	170	12360.783021
3.30	180	16414.781467
3.40	0	6404.134333
3.40	10	5607.489802
3.40	20	3857.431989
3.40	30	2182.820912
3.40	40	1050.314815
3.40	50	427.155543
