R,theta1,E
2.5,0,822508.681486
2.5,30,-14851.155991
2.5,60,-20647.182529
2.5,90,1523.46545
2.5,120,-19783.260577
2.5,150,6694.703849
2.5,180,822508.681278
2.6,0,476653.843642
2.6,30,-14943.051072
2.6,60,-21499.430688
2.6,90,1015.694014
2.6,120,-20743.675309
2.6,150,-757.428616
2.6,180,476653.843657
2.7,0,267644.703257
2.7,30,-14996.282991
2.7,60,-22144.336175
2.7,90,649.170642
2.7,120,-21498.418662
2.7,150,-6600.502904
2.7,180,267644.703325
2.8,0,146541.489305
2.8,30,-15214.270492
2.8,60,-22627.649239
2.8,90,388.86033
2.8,120,-22086.985421
2.8,150,-10812.462184
2.8,180,146541.489189
2.9,0,76825.483416
2.9,30,-15670.148107
2.9,60,-22985.946954
2.9,90,207.526146
2.9,120,-22542.550851
2.9,150,-13661.702458
2.9,180,76825.483377
3.0,0,36717.31627
3.0,30,-16232.747314
3.0,60,-3060.823566
3.0,90,84.181764
3.0,120,-22892.370846
3.0,150,-15520.42785
3.0,180,36717.316505
3.1,0,13941.260735
3.1,30,-16888.204491
3.1,60,-3333.583012
3.1,90,2.819426
3.1,120,-3831.659947
3.1,150,-16763.05969
3.1,180,13941.260824
3.2,0,1427.159505
3.2,30,-1541.279857
3.2,60,-3526.97032
3.2,90,-48.627235
3.2,120,-3368.005141
3.2,150,-829.092215
3.2,180,1427.159382
3.3,0,6993.956399
3.3,30,-1417.343471
3.3,60,-3662.323241
3.3,90,-79.133588
3.3,120,-3524.566753
3.3,150,-756.636284
3.3,180,6993.956376
3.4,0,2711.376138
3.4,30,-1985.39876
3.4,60,-3754.818511
3.4,90,-95.282487
3.4,120,233.11963
3.4,150,-1191.959286
3.4,180,2711.376188
3.5,0,505.083206
3.5,30,-2157.079185
3.5,60,99.618112
3.5,90,-101.834189
3.5,120,135.833927
3.5,150,-1583.420695
3.5,180,505.083243
3.6,0,-642.455775
3.6,30,-2484.819368
3.6,60,45.382793
3.6,90,-102.177348
3.6,120,67.312629
3.6,150,-1950.854261
3.6,180,-642.455837
3.7,0,-1385.643096
3.7,30,-2770.032133
3.7,60,8.952707
3.7,90,-98.712494
3.7,120,18.996292
3.7,150,-2292.654787
3.7,180,-1385.643379
3.8,0,-1975.244002
3.8,30,-3013.66537
3.8,60,-14.702201
3.8,90,-93.061555
3.8,120,-12.033388
3.8,150,-2601.072703
3.8,180,-1975.243991
3.9,0,-2481.821383
3.9,30,-3215.899346
3.9,60,-29.307263
3.9,90,-86.325626
3.9,120,-31.673875
3.9,150,-2870.23675
3.9,180,-2481.821476
4.0,0,-2987.922911
4.0,30,-3381.083364
4.0,60,-37.53542
4.0,90,-79.211314
4.0,120,-43.450252
4.0,150,-3099.587715
4.0,180,-2987.922844
4.1,0,-3472.979359
4.1,30,-3511.770489
4.1,60,-41.417873
4.1,90,-72.1215
4.1,120,-49.555035
4.1,150,-3285.609283
4.1,180,-3472.97935
4.2,0,-3910.82258
4.2,30,-3612.546072
4.2,60,-42.325618
4.2,90,-65.368761
4.2,120,-51.855356
4.2,150,-3434.863008
4.2,180,-3910.822632
4.3,0,-4286.334911
4.3,30,-3688.767405
4.3,60,-41.394325
4.3,90,-59.020661
4.3,120,-51.528139
4.3,150,-3551.845853
4.3,180,-4286.33499
4.4,0,-4595.226572
4.4,30,-3744.502149
4.4,60,-39.317443
4.4,90,-53.17087
4.4,120,-49.778126
4.4,150,-3639.906088
4.4,180,-4595.226625
4.5,0,-4840.765477
4.5,30,-3784.026675
4.5,60,-36.577943
4.5,90,-47.844319
4.5,120,-46.989414
4.5,150,-3705.885965
4.5,180,-4840.765685
4.6,0,-23368.701554
4.6,30,-3810.61728
4.6,60,-33.514088
4.6,90,-43.03904
4.6,120,-43.693132
4.6,150,-3752.572796
4.6,180,-23368.701723
4.7,0,-23508.856287
4.7,30,63.786599
4.7,60,-30.38098
4.7,90,-38.73852
4.7,120,-40.190583
4.7,150,10.83076
4.7,180,-23508.856152
4.8,0,-23610.486009
4.8,30,32.887665
4.8,60,-27.466322
4.8,90,-34.916523
4.8,120,-36.618925
4.8,150,-17.172682
4.8,180,-23610.486015
4.9,0,-23682.256733
4.9,30,11.142069
4.9,60,-24.87267
4.9,90,-31.541551
4.9,120,-47.88443
4.9,150,-35.213579
4.9,180,-23682.256704
5.0,0,106.603604
5.0,30,-3.163318
5.0,60,-21.492898
5.0,90,-28.577529
5.0,120,-43.504986
5.0,150,-46.32742
5.0,180,106.603683
5.1,0,49.523445
5.1,30,-12.566387
5.1,60,-18.891518
5.1,90,-25.985215
5.1,120,-39.313885
5.1,150,-52.212878
5.1,180,49.523494
5.2,0,10.239076
5.2,30,-18.465147
5.2,60,-22.93099
5.2,90,-23.723273
5.2,120,-35.440604
5.2,150,-54.66655
5.2,180,10.239234
5.3,0,-14.956471
5.3,30,-22.592993
5.3,60,-20.620098
5.3,90,-21.749704
5.3,120,-31.923361
5.3,150,-54.606714
5.3,180,-14.956403
5.4,0,-31.319644
5.4,30,-23.556582
5.4,60,-18.474274
5.4,90,-20.023974
5.4,120,-28.686471
5.4,150,-53.111878
5.4,180,-31.319787
5.5,0,-41.147166
5.5,30,-24.063484
5.5,60,-16.505894
5.5,90,-18.510428
5.5,120,-25.761874
5.5,150,-50.682339
5.5,180,-41.147165
5.6,0,-46.416189
5.6,30,-23.852341
5.6,60,-14.718213
5.6,90,-17.177586
5.6,120,-23.148052
5.6,150,-47.711993
5.6,180,-46.416267
5.7,0,-48.727784
5.7,30,-23.066336
5.7,60,-13.105803
5.7,90,-15.998536
5.7,120,-20.783172
5.7,150,-44.611358
5.7,180,-48.727828
5.8,0,-48.734447
5.8,30,-21.951049
5.8,60,-11.65817
5.8,90,-14.951175
5.8,120,-18.667301
5.8,150,-41.370201
