R	0	30	60	90	120	150	180
2.5	822508.681486	-8820.421712	-20418.770756	1585.452463	-20418.770671	-8820.421591	822508.681279
2.6	476653.843642	-10256.568226	-21283.564477	1069.609355	-21283.564603	-10256.567984	476653.843657
2.7	267644.703257	-11706.268604	-21948.706061	695.712383	-21948.706149	-11706.268694	267644.703325
2.8	146541.489305	-13098.812951	-22456.192738	428.819818	-22456.19262	-13098.81292	146541.489189
2.9	76825.483416	-14355.541613	-22839.685638	241.724106	-22839.685765	-14355.54184	76825.483377
3.0	36717.31627	-15479.275282	-3045.638158	113.158161	-3046.425817	-15479.275455	36717.316505
3.1	13941.260735	-16518.490406	-3318.076186	27.724828	-3318.076374	-16518.490695	13941.260824
3.2	1427.159505	-1163.218967	-3511.286017	-27.374605	-3511.286065	-1163.21897	1427.159382
3.3	6993.956402	-1117.319159	-3647.567482	-61.075648	-3647.567326	-1117.26381	6993.956361
3.4	2711.376138		184.650358	-79.972707	183.683689		2711.376188
3.5	505.083206	-1897.001479	101.011962	-88.865467	101.011912	-1897.60821	505.083243
3.6	-642.455775	-2250.853794	42.706281	-91.190427	42.706238	-2251.243659	-642.455837
3.7	-1385.643096	-2568.734413	2.95224	-89.387237	2.952123		-1385.643379
3.8	-1975.244002	-2844.114493	-23.157324	-85.132519	-23.157185	-2839.050528	-1975.243991
3.9	-2481.821383	-3076.685453	-39.506702	-79.564463	-39.506776	-3073.875053	-2481.821476
4.0	-2987.922911	-3261.941134	-48.785187	-73.415513	-48.785194	-3261.939648	-2987.922844
4.1	-3472.979359	-3414.071014	-53.344283	-67.144722	-53.344253	-3414.071177	-3472.97935
4.2	-3910.82258	-3538.441601	-54.712458	-61.03224	-54.712157	-3538.431927	-3910.822632
4.3	-4286.334911	-3632.454593	-54.052704	-55.236398	-54.052767	-3632.454575	-4286.334989
4.4	-4595.226572	-3702.977601	-52.1152	-49.845824	-52.115264	-3702.637566	-4595.226626
4.5	-4840.765477	-3752.797686	-49.510735	-44.904166	-49.510656	-3752.797452	-4840.765685
4.6	-23368.701554	-3790.007592	-46.851109	-40.423516	-46.851096	-3790.007437	-23368.701723
4.7	-23508.856287	36.686846	-43.941471	-36.399886	-43.941601	36.687021	-23508.856152
4.8	-23610.486009	7.21981	-41.666486	-32.814582	-41.66661	7.219993	-23610.486015
4.9	-23682.25673	-12.949191	-40.840143	-29.643909	-40.840107	-12.949039	-23682.256703
5.0	106.603604	-26.03071	-41.681299	-26.858913	-41.68132	-26.030881	106.603683
5.1	49.523446	-34.174059	-39.79725	-24.423833	-39.797113	-34.173917	49.523494
