R,theta1,E
2.5,0,95320.928736
2.5,30,-10988.124923
2.5,60,-20753.73782
2.5,90,975.447752
2.5,120,-20753.737961
2.5,150,-10988.124619
2.5,180,95320.928689
2.6,0,40326.57707
2.6,30,-14352.847194
2.6,60,-21603.927111
2.6,90,601.632872
2.6,120,-21603.92707
2.6,150,-14352.847187
2.6,180,40326.577061
2.7,0,9208.681577
2.7,30,-16217.191163
2.7,60,-22249.658032
2.7,90,340.039148
2.7,120,-22249.658198
2.7,150,-16217.191191
2.7,180,9208.681852
2.8,0,-6043.075211
2.8,30,-17177.076545
2.8,60,-22735.218857
2.8,90,161.061855
2.8,120,-22735.218819
2.8,150,-17177.07616
2.8,180,-6043.075172
2.9,0,-11191.299448
2.9,30,-17705.471184
2.9,60,-23095.308967
2.9,90,41.984254
2.9,120,-23095.308844
2.9,150,-17705.4712
2.9,180,-11191.29933
3.0,0,-10182.173376
3.0,30,-18149.947585
3.0,90,-34.359452
3.0,150,-18149.947883
3.0,180,-10182.173334
3.1,0,-5647.512666
3.1,30,-18540.027719
3.1,60,-3294.155633
3.1,90,-80.741545
3.1,120,-3294.36744
3.1,150,-18540.027875
3.1,180,-5647.512603
3.2,0,690.147851
3.2,30,-19000.600117
3.2,60,-3487.165627
3.2,90,-106.521408
3.2,120,-3487.165462
3.2,150,-19000.599815
3.2,180,690.147873
3.3,0,7695.334371
3.3,30,-2632.785812
3.3,60,-3626.858427
3.3,90,-118.457998
3.3,120,-3626.858568
3.3,150,-2632.785557
3.3,180,7695.334463
3.4,0,14708.967329
3.4,60,89.243857
3.4,90,-121.353582
3.4,120,89.243819
3.4,180,14708.96718
3.5,0,3369.333026
3.5,30,-2401.008354
3.5,60,21.977814
3.5,90,-118.560961
3.5,120,21.977846
3.5,150,-2401.008582
3.5,180,3369.333189
3.6,0,1217.811628
3.6,30,-2722.027719
3.6,60,-22.822616
3.6,90,-112.374484
3.6,120,-22.822582
3.6,150,-2722.707168
3.6,180,1217.811836
3.7,0,-405.086151
3.7,30,-2994.356059
3.7,60,-51.647671
3.7,90,-104.331665
3.7,120,-51.647663
3.7,150,-2994.347376
3.7,180,-405.08614
3.8,0,-1651.367773
3.8,30,-3226.383345
3.8,60,-69.084851
3.8,90,-95.439798
3.8,120,-69.084844
3.8,150,-3226.599052
3.8,180,-1651.367776
3.9,0,-2619.830462
3.9,30,-3415.11191
3.9,60,-78.66408
3.9,90,-86.34597
3.9,120,-78.664063
3.9,150,-3415.322276
3.9,180,-2619.830422
4.0,0,-3375.720331
4.0,30,-3564.893674
4.0,60,-82.622949
4.0,90,-77.453077
4.0,120,-82.622802
4.0,150,-3564.888159
4.0,180,-3375.720364
4.1,0,-3963.867687
4.1,30,-3679.380527
4.1,60,-82.932064
4.1,90,-69.006472
4.1,120,-82.932085
4.1,150,-3679.380407
4.1,180,-3963.867704
4.2,0,-4416.921918
4.2,30,-3762.993853
4.2,60,-80.79549
4.2,90,-61.145586
4.2,120,-80.795468
4.2,150,-3762.993814
4.2,180,-4416.92193
4.3,0,-4764.322354
4.3,30,-3822.631333
4.3,60,-77.135139
4.3,90,-53.941417
4.3,120,-77.135091
4.3,150,-3822.63151
4.3,180,-4764.322397
4.4,0,-5018.636597
4.4,30,-3862.908392
4.4,60,-72.628778
4.4,90,-47.417014
4.4,120,-72.629016
4.4,150,-3863.118823
