R	0	30	60	90	120	150	180
2.5	2276123.682593	-6040.355292	-20132.156335	1770.352423	-20132.156231	-6040.355502	2276123.681961
2.6	1013317.071806	-7901.107933	-21041.378394	1208.043	-21041.378215	-7901.107816	1013317.071984
2.7	521828.404819	-9862.847447	-21743.819654	798.433921	-21743.819555	-9862.847345	521828.404817
2.8	282637.24697	-11749.380326	-22282.884454	504.33661	-22282.884384	-11749.38019	282637.246829
2.9	158301.39868	-13405.946782	-22693.50101	296.748737	-22693.500949	-13405.946563	158301.398625
3.0	92576.874383	-14792.873093		153.211524		-14792.873174	92576.874158
3.1	58310.022332	-15990.571277	-3268.764654	56.466464	-3268.623131	-15990.571337	58310.021886
3.2	41414.926618	-796.458892	-3474.399989	-6.605863	-3474.724264	-796.437084	41414.926304
3.3	9234.262048	-961.818728	-3619.155458	-45.84976	-3619.155851	-961.186601	9234.261752
3.4	3038.111589	-1234.209715	229.986019	-68.540509	229.986074	-1234.57244	3038.111472
3.5	70.192787	-1652.008366	135.916686	-79.978519	135.916824	-1651.982099	70.192889
3.6	-1219.264523	-2028.097715	69.97446	-83.971023	69.974415	-2028.191887	-1219.264612
3.7	-1774.200295	-2365.480691	24.658502	-83.212363	24.658545	-2365.480677	-1774.20041
3.8	-2183.693159	-2662.224537	-5.855152	-79.57729	-5.855086	-2662.224422	-2183.693046
3.9	-2527.618781	-2916.685844	-25.374586	-74.339056	-25.374589	-2916.685553	-2527.61897
4.0	-2909.204041	-3131.500206	-37.480272	-68.336703	-37.480206	-3131.506884	-2909.20423
4.1	-3329.831737	-3305.49244	-43.905021	-62.106911	-43.905215	-3305.492456	-3329.831544
4.2	-3744.563058	-3444.8258	-46.76363	-55.981431	-46.76379	-3444.825759	-3744.563345
4.3	-4121.326724	-3552.570509	-47.220992	-50.158119	-47.220869	-3552.570687	-4121.326778
4.4	-4444.140301	-3635.243625	-46.146606	-44.747259	-46.146452	-3635.243958	-4444.140241
4.5	-4708.412994	-3696.819206	-44.122143	-39.799495	-44.122031	-3696.772853	-4708.413162
4.6	-23242.358977	-3741.970066	-41.601129	-35.326219	-41.601108	-3741.425028	-23242.359002
4.7	-23402.876023	43.756324	-38.892018	-31.314917	-38.891989	43.756459	-23402.875993
4.8	-23522.116606	11.656631	-36.078366	-27.739944	-36.078388	11.656747	-23522.116461
4.9	-23608.621671	-10.526556	-50.849213	-24.568854	-50.849198	-10.526489	-23608.60374
5.0	86.582407	-24.532795	-47.11934	-21.768911	-47.119511	-24.532757	86.582448
5.1	30.039984	-33.422214	-43.577057	-19.305789	-43.577031	-33.422215	30.040098
5.2	-7.336862	-38.2583	-40.232127	-17.145167	-40.232066	-38.258338	-7.337037
5.3	-32.259621	-40.502676	-37.145167	-15.252518	-37.145106	-40.393098	-32.259716
5.4	-47.564371	-41.049329	-34.321863	-13.594174	-34.321753	-41.04933	-47.564462
5.5	-56.070841	-40.325765	-31.742288	-12.137837	-31.742191	-40.325646	-56.070652
5.6	-60.060968	-38.756064	-29.409471	-10.855115	-29.40947	-38.756037	-60.061031
5.7	-60.981754	-36.777203	-27.311219	-9.721753	-27.311275	-36.777134	-60.981733
5.8	-59.910669	-34.696739	-25.431067	-8.716584	-25.430926	-34.696603	-59.910661
5.9	-57.627762	-40.277071	-23.724227	-7.82168	-23.724286	-40.277163	-57.627808
6.0	-54.66975	-37.354457	-22.238975	-7.021313	-22.239008	-37.354482	-54.669794
6.2	-47.990569	-31.901751	-19.658036	-5.650247	-19.658073	-31.901907	-47.990548
6.4	-41.417275	-27.240836	-17.57199	-4.510658	-17.571993	-27.240856	-41.417359
6.6	-35.535688	-23.256581	-15.84957	-3.52935	-15.849695	-23.256564	-35.535671
6.8	-30.475397	-19.941619	-14.409552	-2.659391	-14.409554	-19.941542	-30.475521
7.0	-26.215828	-17.174225	-13.203347	-1.876267	-13.203384	-17.174269	-26.21598
7.2	-22.661269	-14.886002	-12.158154	-1.173224	-12.158204	-14.885904	-22.661328
7.4	-19.686044	-12.974169	-11.253517	-0.548175	-11.253532	-12.974259	-19.686025
7.6	-17.211171	-11.366417	-10.455581	0.000386	-10.455579	-11.366454	-17.211058
7.8	-15.136969	-10.000885	-9.769869	0.478126	-9.770047	-10.000775	-15.137058
8.0	-13.40605	-8.855844	-9.171943	0.892897	-9.17207	-8.855816	-13.40611
8.2	-11.928883	-7.837931	-8.649661	1.25485	-8.649659	-7.837926	-11.928924
