R	0	30	60	90	120	150	180
2.5	822508.681486	-14851.155991	-20647.182529	1523.46545	-19783.260577	6694.703849	822508.681278
2.6	476653.843642	-14943.051072	-21499.430688	1015.694014	-20743.675309	-757.428616	476653.843657
2.7	267644.703257	-14996.282991	-22144.336175	649.170642	-21498.418662	-6600.502904	267644.703325
2.8	146541.489305	-15214.270492	-22627.649239	388.86033	-22086.985421	-10812.462184	146541.489189
2.9	76825.483416	-15670.148107	-22985.946954	207.526146	-22542.550851	-13661.702458	76825.483377
3.0	36717.31627	-16232.747314	-3060.823566	84.181764	-22892.370846	-15520.42785	36717.316505
3.1	13941.260735	-16888.204491	-3333.583012	2.819426	-3831.659947	-16763.05969	13941.260824
3.2	1427.159505	-1541.279857	-3526.97032	-48.627235	-3368.005141	-829.092215	1427.159382
3.3	6993.956399	-1417.343471	-3662.323241	-79.133588	-3524.566753	-756.636284	6993.956376
3.4	2711.376138	-1985.39876	-3754.818511	-95.282487	233.11963	-1191.959286	2711.376188
3.5	505.083206	-2157.079185	99.618112	-101.834189	135.833927	-1583.420695	505.083243
3.6	-642.455775	-2484.819368	45.382793	-102.177348	67.312629	-1950.854261	-642.455837
3.7	-1385.643096	-2770.032133	8.952707	-98.712494	18.996292	-2292.654787	-1385.643379
3.8	-1975.244002	-3013.66537	-14.702201	-93.061555	-12.033388	-2601.072703	-1975.243991
3.9	-2481.821383	-3215.899346	-29.307263	-86.325626	-31.673875	-2870.23675	-2481.821476
4.0	-2987.922911	-3381.083364	-37.53542	-79.211314	-43.450252	-3099.587715	-2987.922844
4.1	-3472.979359	-3511.770489	-41.417873	-72.1215	-49.555035	-3285.609283	-3472.97935
4.2	-3910.82258	-3612.546072	-42.325618	-65.368761	-51.855356	-3434.863008	-3910.822632
4.3	-4286.334911	-3688.767405	-41.394325	-59.020661	-51.528139	-3551.845853	-4286.33499
4.4	-4595.226572	-3744.502149	-39.317443	-53.17087	-49.778126	-3639.906088	-4595.226625
4.5	-4840.765477	-3784.026675	-36.577943	-47.844319	-46.989414	-3705.885965	-4840.765685
4.6	-23368.701554	-3810.61728	-33.514088	-43.03904	-43.693132	-3752.572796	-23368.701723
4.7	-23508.856287	63.786599	-30.38098	-38.73852	-40.190583	10.83076	-23508.856152
4.8	-23610.486009	32.887665	-27.466322	-34.916523	-36.618925	-17.172682	-23610.486015
4.9	-23682.256733	11.142069	-24.87267	-31.541551	-47.88443	-35.213579	-23682.256704
5.0	106.603604	-3.163318	-21.492898	-28.577529	-43.504986	-46.32742	106.603683
5.1	49.523445	-12.566387	-18.891518	-25.985215	-39.313885	-52.212878	49.523494
5.2	10.239076	-18.465147	-22.93099	-23.723273	-35.440604	-54.66655	10.239234
5.3	-14.956471	-22.592993	-20.620098	-21.749704	-31.923361	-54.606714	-14.956403
5.4	-31.319644	-23.556582	-18.474274	-20.023974	-28.686471	-53.111878	-31.319787
5.5	-41.147166	-24.063484	-16.505894	-18.510428	-25.761874	-50.682339	-41.147165
5.6	-46.416189	-23.852341	-14.718213	-17.177586	-23.148052	-47.711993	-46.416267
5.7	-48.727784	-23.066336	-13.105803	-15.998536	-20.783172	-44.611358	-48.727828
5.8	-48.734447	-21.951049	-11.65817	-14.951175	-18.667301	-41.370201	-48.734427
5.9	-47.579053	-20.705055	-10.361011	-14.018493	-16.775508	-38.238907	-47.579068
6.0	-45.670032	-26.972134	-9.196965	-13.184622	-15.073819	-36.596313	-45.669944
6.2	-40.717317	-23.066713	-7.195383	-11.760438	-12.190683	-30.946003	-40.71748
6.4	-35.475984	-19.550328	-5.594315	-10.587995	-9.879133	-26.032624	-35.475975
6.6	-30.60806	-16.517161	-4.261428	-9.597025	-7.960326	-21.915562	-30.607828
6.8	-26.342981	-13.960509	-3.142902	-8.738455	-6.373969	-18.516189	-26.342872
7.0	-22.700231	-11.81657	-2.221124	-7.984297	-5.028283	-15.679039	-22.700149
7.2	-19.626432	-10.050269	-1.440372	-7.278576	-3.872708	-13.352428	-19.626388
7.4	-17.049647	-8.570871	-0.773788	-6.732143	-2.910344	-11.41194	-17.04972
7.6	-14.876997	-7.327852	-0.199389	-6.216475	-2.064199	-9.810993	-14.877003
7.8	-13.074304	-6.276511	0.299164	-5.774137	-1.330054	-8.439198	-13.074332
8.0	-11.573205	-5.387095	0.733136	-5.389051	-0.691722	-7.274132	-11.573131
8.2	-10.314127	-4.63321	1.112841	-5.05225	-0.13585	-6.278145	-10.314157
8.4	-9.265183	-3.98708	1.447146	-4.755939	0.348057	-5.421975	-9.265266
8.6	-8.360764	-3.429763	1.742762	-4.493759	0.775467	-4.683184	-8.360726
8.8	-7.58483	-2.947105	2.005733	-4.260388	1.162728	-4.044244	-7.584777
9.0	-6.930828	-2.527221	2.240476	-4.051488	1.495611	-3.490168	-6.930786
9.5	-5.670309	-1.692571	2.727799	-3.616473	2.175481	-2.395666	-5.670222
10.0	-4.776026	-1.079083	3.105962	-3.275852	2.690943	-1.587757	-4.776168
10.5	-4.122969	-0.610989	3.406399	-3.012189	3.089932	-0.991401	-4.122937
11.0	-3.614487	-0.244555	3.650139	-2.788672	3.405875	-0.533334	-3.614438
11.5	-3.223191	0.047153	3.852543	-2.59877	3.661168	-0.175847	-3.223156
12.0	-2.909976	0.283037	4.024106	-2.437257	3.870927	0.10786	-2.909953
12.5	-2.663756	0.47728	4.170477	-2.296631	4.047271	0.337462	-2.663812
13.0	-2.461015	0.640693	4.299039	-2.17233	4.198065	0.527549	-2.461076
13.5	-2.282026	0.781151	4.412703	-2.061334	4.329644	0.688455	-2.291746
14.0	-2.14758	0.903271	4.515025	-1.961619	4.445895	0.82724	-2.14753
14.5	-2.022982	1.011255	4.607446	-2.029855	4.549521	0.948317	-2.023019
15.0	-1.913952	1.107775	4.691869	-1.945076	4.643174	1.055096	-1.90632
16.0	-1.927484	1.274425	4.840426	-1.788071	4.805166	1.236984	-1.722744
17.0	-1.572553	1.413425	4.968182	-1.598926	4.941515	1.386231	-1.572561
18.0	-1.514622	1.532714	5.079979	-1.453175	5.058768	1.512009	-1.514534
19.0	-1.337256	1.635919	5.175541	-1.335447	5.161433	1.619556	-1.377825
20.0	-1.267208	1.72776	5.261809	-1.237205	5.251422	1.714721	-1.267282
21.0	-1.15856	1.80905	5.339942	-1.151635	5.331665	1.802189	-1.158589
22.0	-1.094085	1.881305	5.410091	-1.078351	5.403873	1.873003	-1.084254
23.0	-1.017805	1.946612	5.487726	-1.01267	5.468356	1.940213	-1.024246
24.0	-0.962623	2.005205	5.545049	-0.953324	5.52709	1.999907	-0.9626
25.0	-0.904424	2.059272	5.597193	-0.899699	5.580468	2.054152	-0.904403
50.0	-0.281488	2.675502	6.19824	-0.281133	6.19835	2.678265	-0.28153
100.0	0.018853	2.97283	6.499555	0.014814	6.459775	2.944802	0.01777
