R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2.8,-6561.478115213626,15203.466982555774,-34248.220616566476,33162.00316006264,-53308.81923751368,38357.7516521541,-47072.31019780541,23841.09190809504,-19699.920622262933,-3891.1897494498753,13170.58759336806,-29053.08687971911,36463.38577411971,-39032.42861263245,43932.17599940557,-34027.08094171329,50877.74472671494,-37825.106835627565,30075.690277274665
2.9,-1391.3754344057509,6230.130927730981,-10224.705011089358,14328.357652865512,-20050.88215778325,16636.77885569796,-18603.65463705087,8812.068312013302,-5406.624439371937,-6179.0614533167445,11675.352687698574,-19787.601931467267,23946.577246300963,-24810.058389764334,27540.464071756935,-21364.754515158213,31600.511092179717,-24006.328372927263,18684.705363083103
3.0,1049.3970517339267,1441.939279028595,1571.0255029148275,4213.766747201525,-3051.9841474643003,5025.070880485074,-3888.836760333225,1087.4938613608763,1547.216984799845,-6557.722956618312,9727.71890026436,-13513.697087761122,15751.20973306069,-15764.701595508097,17223.16622418787,-13372.317478046478,19535.006248897833,-15171.610466892007,11548.056386561851
3.1,2000.9296703628868,-910.7284023862686,6596.595577201007,-836.4514185550338,4800.038236817008,-750.2067894357674,3052.025330840013,-2497.1301784736406,4450.274015098349,-6023.4651943859,7785.378568887577,-9252.672368092943,10379.356070552589,-10018.024873232414,10747.212180929597,-8343.599596348446,12016.267354874304,-9544.299231247041,7097.497084169112
3.2,2183.4947567422355,-1891.599359274682,8045.817040912707,-3033.6434559722543,7702.348924428804,-3257.8759967678643,5756.599121130312,-3823.0408561705385,5223.960676039318,-5129.243325548934,6055.84264525603,-6350.032521963771,6853.404778115849,-6369.871721863462,6693.406641330547,-5189.980423591479,7352.748733078003,-5974.456265699268,4335.943943154094
3.3,2004.6239147457113,-2136.2243046927815,7744.283850863718,-3693.601681061657,8081.236743415035,-4016.252383526948,6276.751648216296,-3986.5421769591176,4964.185990471275,-4166.40369625991,4610.4961570767155,-4366.934233888494,4535.2499034229,-4054.8514548190096,4162.384597478444,-3218.8754244321726,4474.5745912973225,-3719.812014900452,2631.7243238486776
3.4,1686.5588962760507,-2015.7158871692711,6702.290873943339,-3582.263038307449,7300.926323481199,-3902.975748945616,5771.6039280394025,-3609.6653611470083,4275.574787703284,-3275.5851332401353,3451.110297358621,-3008.2853780977325,3008.252502397551,-2585.730650356093,2585.897848709684,-1991.006195033979,2707.650833661326,-2302.6687733099234,1586.2146425165718
3.5,1343.9056952661808,-1740.03261948475,5452.967535284164,-3132.319567088416,6098.855749318792,-3410.122890143419,4872.131604822236,-3032.2371573967507,3475.683122564817,-2513.4694603624507,2547.588688375429,-2075.047501321621,2000.2242741930086,-1652.8766532906302,1606.0069809927677,-1228.653851590852,1629.0023112750528,-1416.600604628146,948.9214618184864
3.6,1030.3689909819664,-1422.5706267823034,4256.70005056376,-2577.79094107038,4850.17281431537,-2801.614680450062,3903.0280385115,-2429.4528372203895,2718.331995093309,-1892.254659452557,1858.5730718527896,-1432.5365580149883,1333.1997988318435,-1059.8256460189118,997.9505005651494,-756.8345798287017,974.4037802236086,-865.7497775376672,563.1599651855805
3.7,766.4493868498856,-1120.1381446298917,3222.9750513910903,-2036.7711739746715,3726.3951753122774,-2209.3061705189543,3016.032882247994,-1882.9781759986488,2067.026125749029,-1402.457737471065,1342.0354920290217,-989.3113831944241,890.6904236983121,-682.0851237680898,621.0388152429784,-465.6861082550003,579.590460760428,-525.4226732756606,331.41556962731545
