R	Gamma	E
2.30	40	-117.315268974906
2.30	50	-117.351581199446
2.30	60	-117.370012422853
2.30	70	-117.378752483552
2.30	80	-117.382503289936
2.30	90	-117.383349758239
2.30	100	-117.381860282641
2.30	110	-117.377584272556
2.30	120	-117.368921221307
2.30	130	-117.351852101269
2.30	140	-117.315480850422
2.30	150	-117.229788636556
2.30	160	-117.029412505422
2.30	170	-116.487247811237
2.40	0	-117.092106282651
2.40	10	-117.112455152481
2.40	20	-117.194829762705
2.40	30	-117.2751574044
2.40	40	-117.329908553038
2.40	50	-117.360105571242
2.40	60	-117.37503547872
2.40	70	-117.382021654556
2.40	80	-117.385010324065
2.40	90	-117.385701614071
2.40	100	-117.384551837943
2.40	110	-117.381201308146
2.40	120	-117.374375055316
2.40	130	-117.360824397679
2.40	140	-117.331461053298
2.40	150	-117.260340189831
2.40	160	-117.088213433411
2.40	170	-116.600736317426
2.50	0	-117.12767362204
2.50	20	-117.226071834332
2.50	30	-117.296229080657
2.50	40	-117.342276977921
2.50	50	-117.366930642706
2.50	60	-117.378908653108
2.50	70	-117.384465160928
2.50	80	-117.386839697947
2.50	90	-117.38740185313
2.50	100	-117.386513820177
2.50	110	-117.383892411032
2.50	120	-117.37853668631
2.50	130	-117.367877146901
2.50	140	-117.344560467507
2.50	150	-117.287075163121
2.50	160	-117.144985366168
2.50	170	-116.752839021975
2.50	180	-113.887399244523
2.60	0	-117.16916655067
2.60	20	-117.255359931037
2.60	30	-117.314846150667
2.60	40	-117.35254200732
2.60	50	-117.372358777899
2.60	60	-117.38188876497
2.60	70	-117.386288708096
2.60	80	-117.388170854069
2.60	90	-117.388626336055
2.60	100	-117.387940081762
2.60	110	-117.385891093461
2.60	120	-117.381703043045
2.60	130	-117.37338160033
2.60	140	-117.355121920109
2.60	150	-117.309629609615
2.60	160	-117.19583235276
2.60	170	-116.902943683422
2.60	180	-115.87999185786
2.70	0	-117.200419179841
2.70	10	-117.226362988837
2.70	20	-117.28212824711
2.70	30	-117.33076378545
2.70	40	-117.360925976569
2.70	50	-117.376649104807
2.70	60	-117.384177281175
2.70	70	-117.387647857788
2.70	80	-117.389136402688
2.70	90	-117.3895042769
2.70	100	-117.388973652084
2.70	110	-117.387373020561
2.70	120	-117.384106166445
2.70	130	-117.377650482028
2.70	140	-117.363518876544
2.70	150	-117.328143771963
2.70	160	-117.239187456001
2.70	170	-117.028619827008
2.70	180	-116.594604282269
2.80	0	-117.223752709451
2.80	10	-117.259545740629
2.80	20	-117.305577791017
2.80	30	-117.343983877622
2.80	40	-117.367678760249
2.80	50	-117.380021192124
2.80	60	-117.385931495006
2.80	70	-117.388659461453
2.80	80	-117.389834135493
2.80	90	-117.390130272769
