R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2.0,-191669.62105490532,171618.8413978842,-844631.3405324483,95700.83624492251,-911551.5435989359,-364947.6277437936,-208624.66886819951,-940745.507272619,874431.5056536881,-1383168.4269601558,1766287.7323566629,-1594798.8013567957,2171012.256264638,-1556082.0972135817,2184792.0123887006,-1379417.7711798295,2697118.5421563135,-1909281.0123849355,1687579.3564606707
2.1,-94479.09200698698,80313.14659151406,-420749.86854899867,4558.752764004804,-432731.3625252235,-298103.1321837697,-7500.608501006251,-657558.6040129478,636462.7886040858,-922590.055415131,1163543.5247808543,-1038936.6413212323,1395961.319988126,-1001030.4906269306,1394927.267583739,-883435.6365234145,1719396.1677254557,-1225038.504499045,1076357.466806549
2.2,-39911.43314203178,29976.09034636184,-182183.10126615618,-38122.82700438945,-168297.17010841053,-236943.39119177367,84974.65392064775,-459577.92756912304,460874.571850456,-615487.1197816564,766303.1024846301,-676090.0775030132,895823.3138807701,-642591.9622697367,888047.8501765326,-564277.6667156405,1092635.9969566623,-783830.7900047676,684311.0528874666
2.3,-10670.914976093285,3740.555072414051,-53736.790964127686,-53943.79936527484,-29858.010146448825,-184539.52026810395,118006.6982387786,-321151.0256881002,332173.17003094684,-410694.447441875,504588.2273983443,-439495.71143338527,573702.3903114531,-411583.50700218324,563619.0675267628,-359398.5338581705,691982.5965257523,-500029.95656821376,433556.473001688
2.4,3852.1882798798747,-8669.743376311188,10672.029385892956,-55680.34426299151,36338.35544890645,-141466.78669123576,120388.41949302395,-224359.4717361602,238388.1229755486,-274107.50732029113,332212.76961739815,-285394.4373633702,366646.86597024254,-263013.557815052,356546.83315304434,-228216.66351651074,436638.1180742629,-317958.55642468145,273660.5000465429
2.5,10081.994383417075,-13426.71363296634,38927.15026718175,-50706.12951579659,62518.8126942975,-107069.74746504263,108530.82238778335,-156682.29317795485,170401.81407936293,-182993.92617664314,218707.82084646146,-185134.74980062223,233826.45213063053,-167672.11671644772,224772.11043143642,-144452.00338224042,274429.4255609794,-201481.71778396005,172036.0534147491
2.6,11844.449633772758,-14169.653375114503,47630.07778921686,-43132.27774187465,67656.56132972642,-80178.9749182686,91445.0204717855,-109367.11902569259,121348.90155731062,-122201.23408168532,143982.1793807628,-119977.00127438824,148805.255652151,-106628.80662836558,141180.0623801512,-91120.90373611369,171745.6671475708,-127195.0585256302,107676.26413059604
2.7,11369.20216434132,-12992.508372359369,46458.6290726419,-35134.23010343455,62655.19329874394,-59499.041277169534,73803.5509352645,-76294.06064224576,86108.82786495725,-81628.99287241219,94793.40863736428,-77677.92652317816,94498.68272414347,-67638.28360983699,88331.86296553977,-57271.62663180457,106988.44129046542,-79972.51470280632,67073.27764754914
2.8,9917.525694339647,-11059.35397473396,40894.48041033023,-27765.701862364185,53573.12214443953,-43803.53119791333,57799.68978057329,-53182.855294959525,60892.90431411739,-54543.89272219257,62416.723829030176,-50247.591508844096,59886.858377149125,-42795.19114547643,55040.418142321345,-35858.58409824399,66316.03216820264,-50061.02158956739,41564.764590438645
2.9,8172.622100909769,-8984.669402076488,33916.03477841379,-21451.390443464643,43611.02871487272,-32019.996053886764,44260.39733991775,-37039.2842793631,42917.15309245303,-36456.791586665415,41105.91993437123,-32477.77800014417,37876.0933534115,-27006.64627258312,34148.770424216535,-22360.475898015542,40883.54122912816,-31187.74313644065,25611.97986114963
