	0	1	2	3	4
719	3.2000000000	30.0000000000	30.0000000000	0.0000000000	293.6711260000
914	3.4000000000	0.0000000000	0.0000000000	180.0000000000	221.7080160000
943	3.4000000000	30.0000000000	30.0000000000	0.0000000000	138.0559340000
1188	3.6000000000	60.0000000000	0.0000000000	0.0000000000	107.2199590000
830	3.3000000000	30.0000000000	0.0000000000	180.0000000000	305.8909190000
831	3.3000000000	30.0000000000	30.0000000000	0.0000000000	206.8518890000
1026	3.5000000000	0.0000000000	0.0000000000	180.0000000000	156.3469610000
1020	3.5000000000	0.0000000000	0.0000000000	0.0000000000	156.3469640000
606	3.1000000000	30.0000000000	0.0000000000	180.0000000000	534.4003740000
670	3.1000000000	90.0000000000	60.0000000000	0.0000000000	128.9590320000
466	3.0000000000	0.0000000000	0.0000000000	180.0000000000	672.6837420000
474	3.0000000000	0.0000000000	60.0000000000	0.0000000000	198.0263080000
382	2.9000000000	30.0000000000	0.0000000000	180.0000000000	812.9261660000
390	2.9000000000	30.0000000000	60.0000000000	0.0000000000	259.3007250000
302	2.8000000000	60.0000000000	0.0000000000	180.0000000000	932.6030050000
202	2.7000000000	60.0000000000	0.0000000000	180.0000000000	996.6139040000
227	2.7000000000	90.0000000000	30.0000000000	0.0000000000	746.6393180000
88	2.6000000000	30.0000000000	0.0000000000	180.0000000000	960.2456380000
126	2.6000000000	90.0000000000	0.0000000000	0.0000000000	960.2456390000
9	2.5000000000	0.0000000000	30.0000000000	150.0000000000	3772.8666600000
51	2.5000000000	90.0000000000	30.0000000000	30.0000000000	3407.3826890000
44	2.5000000000	60.0000000000	90.0000000000	90.0000000000	1883.5594370000
1132	3.6000000000	0.0000000000	0.0000000000	0.0000000000	107.2199590000
1160	3.6000000000	30.0000000000	0.0000000000	0.0000000000	107.2199590000
18	2.5000000000	30.0000000000	0.0000000000	90.0000000000	1917.8124800000
60	2.5000000000	90.0000000000	90.0000000000	90.0000000000	1840.3434710000
57	2.5000000000	90.0000000000	60.0000000000	90.0000000000	1858.7328970000
53	2.5000000000	90.0000000000	30.0000000000	90.0000000000	1897.2916280000
993	3.4000000000	90.0000000000	0.0000000000	30.0000000000	150.9238560000
708	3.2000000000	0.0000000000	90.0000000000	90.0000000000	139.4083620000
707	3.2000000000	0.0000000000	90.0000000000	60.0000000000	157.8465930000
25	2.5000000000	30.0000000000	60.0000000000	60.0000000000	2378.2215660000
814	3.3000000000	0.0000000000	60.0000000000	120.0000000000	144.8702250000
61	2.5000000000	90.0000000000	90.0000000000	120.0000000000	2382.1706290000
55	2.5000000000	90.0000000000	30.0000000000	150.0000000000	3407.3826910000
