	0	1	2	3	4
1334	3.7000000000	90.0000000000	0.0000000000	180.0000000000	71.4007430000
1265	3.7000000000	0.0000000000	90.0000000000	0.0000000000	-120.3836010000
1217	3.6000000000	90.0000000000	0.0000000000	30.0000000000	51.9409850000
1153	3.6000000000	0.0000000000	90.0000000000	0.0000000000	-120.3689640000
1440	3.8000000000	90.0000000000	0.0000000000	0.0000000000	46.0446930000
1377	3.8000000000	0.0000000000	90.0000000000	0.0000000000	-116.5144270000
1105	3.5000000000	90.0000000000	0.0000000000	30.0000000000	92.7239870000
1041	3.5000000000	0.0000000000	90.0000000000	0.0000000000	-114.7193590000
1552	3.9000000000	90.0000000000	0.0000000000	0.0000000000	28.6153210000
1495	3.9000000000	0.0000000000	90.0000000000	180.0000000000	-110.2050910000
1664	4.0000000000	90.0000000000	0.0000000000	0.0000000000	16.9872020000
1601	4.0000000000	0.0000000000	90.0000000000	0.0000000000	-102.5392250000
1016	3.4000000000	90.0000000000	90.0000000000	90.0000000000	14.0272610000
929	3.4000000000	0.0000000000	90.0000000000	0.0000000000	-101.3196820000
1776	4.1000000000	90.0000000000	0.0000000000	0.0000000000	9.4687660000
1713	4.1000000000	0.0000000000	90.0000000000	0.0000000000	-94.2894170000
1888	4.2000000000	90.0000000000	0.0000000000	0.0000000000	4.7735290000
1825	4.2000000000	0.0000000000	90.0000000000	0.0000000000	-85.9801680000
899	3.3000000000	90.0000000000	60.0000000000	150.0000000000	67.9041380000
817	3.3000000000	0.0000000000	90.0000000000	0.0000000000	-78.3290320000
2000	4.3000000000	90.0000000000	0.0000000000	0.0000000000	1.9621360000
1937	4.3000000000	0.0000000000	90.0000000000	0.0000000000	-77.9481400000
2118	4.4000000000	90.0000000000	0.0000000000	180.0000000000	0.3720590000
2055	4.4000000000	0.0000000000	90.0000000000	180.0000000000	-70.3928400000
2224	4.5000000000	90.0000000000	0.0000000000	0.0000000000	-0.4506180000
2167	4.5000000000	0.0000000000	90.0000000000	180.0000000000	-63.4172570000
2336	4.6000000000	90.0000000000	0.0000000000	0.0000000000	-0.8091280000
2279	4.6000000000	0.0000000000	90.0000000000	180.0000000000	-57.0594000000
2454	4.7000000000	90.0000000000	0.0000000000	180.0000000000	-0.9011760000
2391	4.7000000000	0.0000000000	90.0000000000	180.0000000000	-51.3154240000
2566	4.8000000000	90.0000000000	0.0000000000	180.0000000000	-0.8525250000
2497	4.8000000000	0.0000000000	90.0000000000	0.0000000000	-46.1564250000
792	3.2000000000	90.0000000000	90.0000000000	90.0000000000	90.4053890000
711	3.2000000000	0.0000000000	90.0000000000	180.0000000000	-44.7729110000
2672	4.9000000000	90.0000000000	0.0000000000	0.0000000000	-0.7408400000
2615	4.9000000000	0.0000000000	90.0000000000	180.0000000000	-41.5399940000
2790	5.0000000000	90.0000000000	0.0000000000	180.0000000000	-0.6120980000
2727	5.0000000000	0.0000000000	90.0000000000	180.0000000000	-37.4176010000
2896	5.1000000000	90.0000000000	0.0000000000	0.0000000000	-0.4909230000
2833	5.1000000000	0.0000000000	90.0000000000	0.0000000000	-33.7394640000
3008	5.2000000000	90.0000000000	0.0000000000	0.0000000000	-0.3915790000
2951	5.2000000000	0.0000000000	90.0000000000	180.0000000000	-30.4573260000
3120	5.3000000000	90.0000000000	0.0000000000	0.0000000000	-0.3152040000
3063	5.3000000000	0.0000000000	90.0000000000	180.0000000000	-27.5263400000
3238	5.4000000000	90.0000000000	0.0000000000	180.0000000000	-0.2614910000
3169	5.4000000000	0.0000000000	90.0000000000	0.0000000000	-24.9059570000
3350	5.5000000000	90.0000000000	0.0000000000	180.0000000000	-0.2269800000
3287	5.5000000000	0.0000000000	90.0000000000	180.0000000000	-22.5604900000
3462	5.6000000000	90.0000000000	0.0000000000	180.0000000000	-0.2075030000
3393	5.6000000000	0.0000000000	90.0000000000	0.0000000000	-20.4589080000
3568	5.7000000000	90.0000000000	0.0000000000	0.0000000000	-0.1990850000
3511	5.7000000000	0.0000000000	90.0000000000	180.0000000000	-18.5743800000
3680	5.8000000000	90.0000000000	0.0000000000	0.0000000000	-0.1982630000
3623	5.8000000000	0.0000000000	90.0000000000	180.0000000000	-16.8835920000
3798	5.9000000000	90.0000000000	0.0000000000	180.0000000000	-0.2023040000
3735	5.9000000000	0.0000000000	90.0000000000	180.0000000000	-15.3659860000
3904	6.0000000000	90.0000000000	0.0000000000	0.0000000000	-0.2090900000
3841	6.0000000000	0.0000000000	90.0000000000	0.0000000000	-14.0032270000
4016	6.2000000000	90.0000000000	0.0000000000	0.0000000000	-0.2250600000
3953	6.2000000000	0.0000000000	90.0000000000	0.0000000000	-11.6781020000
4134	6.4000000000	90.0000000000	0.0000000000	180.0000000000	-0.2384610000
4071	6.4000000000	0.0000000000	90.0000000000	180.0000000000	-9.7960150000
4246	6.6000000000	90.0000000000	0.0000000000	180.0000000000	-0.2459780000
4183	6.6000000000	0.0000000000	90.0000000000	180.0000000000	-8.2686520000
