    1     0.000000000000
    2     0.091800000000
    3     0.275400000000
    4     0.550800000000
    5     0.918000000000
    6     1.377000000000
    7     1.927800000000
    8     2.570400000000
    9     3.304800000000
   10     4.131000000000
   11     5.049000000000
   12     6.058800000000
   13     7.160400000000
   14     8.353800000000
   15     9.639000000000
   16    11.016000000000
   17    12.484800000000
   18    14.045400000000
   19    15.697800000000
   20    17.442000000000
   21    19.278000000000
   22    21.205800000000
