R	phi	theta2	theta1	E
2.50	0	0	0	1036677.989937
2.50	0	0	30	25062.257339
2.50	0	0	60	6467.625757
2.50	0	0	90	1928.609814
2.50	0	0	120	6467.626125
2.50	0	0	150	25062.256955
2.50	0	0	180	1036677.989494
2.50	0	30	0	968322.299467
2.50	0	30	30	22297.59476
2.50	0	30	60	6150.070862
2.50	0	30	90	1658.796134
2.50	0	30	120	6369.315434
2.50	0	30	150	34420.860609
2.50	0	30	180	968322.299158
2.50	0	60	0	852293.735266
2.50	0	60	30	30086.285895
2.50	0	60	60	5751.933488
2.50	0	60	90	1173.930337
2.50	0	60	120	5974.480135
2.50	0	60	150	46045.248516
2.50	0	60	180	852293.735285
2.50	0	90	0	802306.750313
2.50	0	90	30	45061.989279
2.50	0	90	60	5677.651553
2.50	0	90	90	956.440985
2.50	0	90	120	5677.651168
2.50	0	90	150	45061.989186
2.50	0	90	180	802306.750595
2.50	30	0	0	1036677.989937
2.50	30	0	30	25061.536352
2.50	30	0	60	6467.004251
2.50	30	0	90	1928.257608
2.50	30	0	120	6467.004308
2.50	30	0	150	25061.536025
2.50	30	0	180	1036677.989494
2.50	30	30	0	968322.299467
2.50	30	30	30	21967.570512
2.50	30	30	60	6129.963483
2.50	30	30	90	1666.698155
2.50	30	30	120	6315.414749
2.50	30	30	150	32026.590642
2.50	30	30	180	968322.299158
2.50	30	60	0	852293.735265
2.50	30	60	30	26561.182856
2.50	30	60	60	5669.845286
2.50	30	60	90	1194.619247
2.50	30	60	120	5851.46994
2.50	30	60	150	38378.303174
2.50	30	60	180	852293.735285
2.50	30	90	0	802306.750313
2.50	30	90	30	36175.048442
2.50	30	90	60	5545.139614
2.50	30	90	90	981.805315
2.50	30	90	120	5545.139404
2.50	30	90	150	36175.048294
2.50	30	90	180	802306.750596
2.50	60	0	0	1036677.989937
2.50	60	0	30	25061.769759
2.50	60	0	60	6467.293796
2.50	60	0	90	1928.615318
2.50	60	0	120	6467.294322
2.50	60	0	150	25061.769791
2.50	60	0	180	1036677.989495
2.50	60	30	0	968322.299467
2.50	60	30	30	21861.959767
2.50	60	30	60	6100.278606
2.50	60	30	90	1683.223975
2.50	60	30	120	6202.333716
2.50	60	30	150	27204.74482
2.50	60	30	180	968322.299158
2.50	60	60	0	852293.735266
2.50	60	60	30	21745.676322
2.50	60	60	60	5518.62446
2.50	60	60	90	1235.848656
