R,phi,th2,th1,E_cm
8.2,0.0,0.0,0.0,0.7056118133292872
8.4,0.0,0.0,0.0,0.6519809937631669
8.6,0.0,0.0,0.0,0.6015068757808116
8.8,0.0,0.0,0.0,0.5543990603028042
9.0,0.0,0.0,0.0,0.5107018828065202
9.5,0.0,0.0,0.0,0.4157826167912771
10.0,0.0,0.0,0.0,0.33915546386488543
10.5,0.0,0.0,0.0,0.27767864336681386
11.0,0.0,0.0,0.0,0.22840593105098464
11.5,0.0,0.0,0.0,0.1847842501825838
12.0,0.0,0.0,0.0,0.15308640803934026
12.5,0.0,0.0,0.0,0.12751607818870084
13.0,0.0,0.0,0.0,0.10680623284356358
13.5,0.0,0.0,0.0,0.08996155535172236
14.0,0.0,0.0,0.0,0.07619874090832213
14.5,0.0,0.0,0.0,0.06489733298710235
15.0,0.0,0.0,0.0,0.05556724600477168
16.0,0.0,0.0,0.0,0.041348800710304515
17.0,0.0,0.0,0.0,0.03131156988140504
18.0,0.0,0.0,0.0,0.024064295945578778
19.0,0.0,0.0,0.0,0.018731722037190365
20.0,0.0,0.0,0.0,0.014748256588299143
21.0,0.0,0.0,0.0,0.011733113521006403
22.0,0.0,0.0,0.0,0.009424022677554263
23.0,0.0,0.0,0.0,0.007637061222849581
24.0,0.0,0.0,0.0,0.006239665611700502
25.0,0.0,0.0,0.0,0.005137463499792148
50.0,0.0,0.0,0.0,0.00019050376068321384
100.0,0.0,0.0,0.0,0.0
2.7,30.0,0.0,0.0,670.0426703872928
2.8,30.0,0.0,0.0,649.9061821054114
2.9,30.0,0.0,0.0,574.1685715686068
3.0,30.0,0.0,0.0,469.843050801021
3.1,30.0,0.0,0.0,363.0704702128629
3.2,30.0,0.0,0.0,265.22723930856614
3.3,30.0,0.0,0.0,185.41319500499495
3.4,30.0,0.0,0.0,122.29805964972489
3.5,30.0,0.0,0.0,75.03687369225496
3.6,30.0,0.0,0.0,42.0837930409793
3.7,30.0,0.0,0.0,18.7437922656423
3.8,30.0,0.0,0.0,3.426339377780777
3.9,30.0,0.0,0.0,-6.089600806016084
4.0,30.0,0.0,0.0,-11.471578093960892
4.1,30.0,0.0,0.0,-13.873165187717984
4.2,30.0,0.0,0.0,-14.992906969644324
4.3,30.0,0.0,0.0,-14.503829047698778
4.4,30.0,0.0,0.0,-14.093189820359246
4.5,30.0,0.0,0.0,-11.121313703332069
4.6,30.0,0.0,0.0,-9.465434025127971
4.7,30.0,0.0,0.0,-7.825583017712845
4.8,30.0,0.0,0.0,-6.271336334816255
4.9,30.0,0.0,0.0,-4.50927790410738
5.0,30.0,0.0,0.0,-3.624204097109655
