R	Gamma	E
2.70	70	-230.431322791767
2.70	80	-230.431974138266
2.70	90	-230.432099379183
2.70	100	-230.431975710014
2.70	110	-230.431263621756
2.70	120	-230.428414927567
2.70	130	-230.417817591045
2.70	140	-230.379443886769
2.70	160	-229.993981148409
2.70	170	-229.345548679624
2.80	10	-229.6526809508
2.80	30	-230.360413781626
2.80	40	-230.388685689494
2.80	50	-230.421616886452
2.80	60	-230.430080936479
2.80	70	-230.432142077549
2.80	80	-230.432596066073
2.80	90	-230.43267237486
2.80	100	-230.432591260832
2.80	110	-230.432085512175
2.80	120	-230.429894589717
2.80	130	-230.421253873852
2.80	140	-230.388479105836
2.80	160	-230.05403044306
2.80	170	-229.294108741669
2.90	40	-230.395652241092
2.90	50	-230.424164738403
2.90	60	-230.43112095741
2.90	70	-230.432703352444
2.90	80	-230.433013107875
2.90	90	-230.433055732022
2.90	100	-230.433005030487
2.90	110	-230.432652556342
2.90	120	-230.430980223599
2.90	130	-230.423981135899
2.90	140	-230.396236996244
2.90	160	-230.110264719343
2.90	170	-229.210199732999
3.00	40	-230.401748775017
3.00	50	-230.42618501469
3.00	60	-230.431873255545
3.00	70	-230.433081604491
3.00	80	-230.433287282405
3.00	90	-230.433307237649
3.00	100	-230.433277924503
3.00	110	-230.433037919116
3.00	120	-230.431771768913
3.00	130	-230.426141796818
3.00	140	-230.402865312301
3.00	160	-230.159395803381
3.00	170	-229.142983029278
3.10	40	-230.407055033284
3.10	50	-230.427786983745
3.10	60	-230.432414100191
3.10	70	-230.433331378509
3.10	80	-230.433462933778
3.10	90	-230.433468094026
3.10	100	-230.433453516071
3.10	110	-230.433295018533
3.10	120	-230.432344849147
3.10	130	-230.427849191534
3.10	140	-230.408491227512
3.10	160	-230.200948039916
3.10	170	-229.14840104835
3.20	40	-230.411640126881
3.20	50	-230.429065830646
3.20	60	-230.432800333131
3.20	70	-230.433491999445
3.20	80	-230.43357147997
3.20	90	-230.43356732672
3.20	100	-230.433562661218
3.20	110	-230.433462475212
3.20	120	-230.432756362788
3.20	130	-230.429193708964
3.20	140	-230.413231281847
3.20	160	-230.23552119279
3.20	170	-229.250768017548
3.30	40	-230.415570455154
3.30	50	-230.430079976509
3.30	60	-230.433074009079
3.30	70	-230.433591532298
3.30	80	-230.433634903745
3.30	90	-230.433625195983
3.30	100	-230.43362701427
3.30	110	-230.433568008758
3.30	120	-230.433049042228
3.30	130	-230.430247961371
3.30	140	-230.417195303239
3.30	160	-230.26431939197
3.30	170	-229.423433198414
3.40	50	-230.430884142988
3.40	60	-230.433266093163
3.40	70	-230.433649728426
3.40	80	-230.433668423284
3.40	90	-230.433655692642
3.40	100	-230.433661556421
3.40	110	-230.43363124777
3.40	120	-230.433254760015
3.40	130	-230.431070407916
3.40	140	-230.420485022016
3.40	150	-230.373994631307
3.40	160	-230.288536683388
3.40	170	-229.61172690103
3.40	180	-221.649844918769
3.50	50	-230.431515301397
3.50	60	-230.433399271675
3.50	70	-230.43368037426
3.50	80	-230.433682484695
3.50	90	-230.433668375406
3.50	100	-230.433676590587
3.50	110	-230.43366598344
3.50	120	-230.433397272732
3.50	130	-230.431708334281
3.50	140	-230.423193937444
3.50	150	-230.384580300144
3.50	160	-230.309038183961
3.50	170	-229.769941282338
3.60	50	-230.432011248802
3.60	60	-230.433490085585
3.60	70	-230.433692946303
3.60	80	-230.433684161299
3.60	90	-230.43366973549
3.60	100	-230.43367913056
3.60	110	-230.433681775397
3.60	120	-230.433494077455
3.60	130	-230.432199914689
3.60	140	-230.425407102561
3.60	150	-230.393533609375
3.60	160	-230.326926389643
3.60	170	-229.8780912333
3.70	50	-230.432398794177
3.70	60	-230.433550560349
3.70	70	-230.433693912984
3.70	80	-230.433678237564
3.70	90	-230.433664160532
3.70	100	-230.433673947758
3.70	110	-230.43368524227
3.70	120	-230.433558065058
3.70	130	-230.432575959128
3.70	140	-230.427201079034
3.70	150	-230.401056611684
3.70	160	-230.343133983223
3.70	170	-229.938149941935
3.80	50	-230.432700025066
3.80	60	-230.43358940504
3.80	70	-230.433687685842
3.80	80	-230.433667939701
3.80	90	-230.433654612214
3.80	100	-230.433664268902
3.80	110	-230.43368090551
3.80	120	-230.433598641282
3.80	130	-230.432861251557
3.80	140	-230.428643826235
3.80	150	-230.40734399281
3.80	170	-229.964323650652
3.90	40	-230.428914334088
3.90	50	-230.432932277455
3.90	60	-230.433612895188
3.90	70	-230.433677229118
3.90	80	-230.433655421812
3.90	90	-230.433643047289
3.90	100	-230.433652251679
3.90	110	-230.433671872839
3.90	120	-230.433622633283
3.90	130	-230.433075666947
3.90	140	-230.429794891682
3.90	150	-230.412562890461
3.90	170	-229.975304729633
4.00	30	-230.441857799827
4.00	40	-230.429960881699
4.00	50	-230.433110000931
4.00	60	-230.433625570187
4.00	70	-230.433664561723
4.00	80	-230.433642084104
4.00	90	-230.433630755421
4.00	100	-230.433639322082
4.00	110	-230.433660261243
4.00	120	-230.4336349824
4.00	130	-230.43323505731
4.00	140	-230.430705865915
4.00	150	-230.416869724177
4.00	170	-229.990062983598
4.10	40	-230.430799193491
4.10	50	-230.433244836726
4.10	60	-230.43363070486
4.10	70	-230.433651056492
4.10	80	-230.433628846464
4.10	90	-230.433618570121
4.10	100	-230.433626406173
4.10	110	-230.433647490781
4.10	120	-230.433639273825
4.10	130	-230.433352045548
4.10	140	-230.431420851507
4.10	150	-230.420401311091
4.10	160	-230.355421524966
4.10	170	-230.022637403547
4.10	180	-223.496819473192
4.20	10	-230.311480392212
4.20	50	-230.433346054323
4.20	60	-230.433630668957
4.20	70	-230.433637556652
4.20	80	-230.433616226058
4.20	90	-230.433606957609
4.20	100	-230.433614037507
4.20	110	-230.433634517396
4.20	120	-230.433638095339
4.20	130	-230.433436592483
4.20	140	-230.43197712538
4.20	150	-230.423277410549
