E (cm-1),2->0	,E (cm-1),4->0	,E (cm-1),6->0	,E (cm-1),8->0	,E (cm-1),10->0	,E (cm-1),4->2	,E (cm-1),6->2	,E (cm-1),8->2	,E (cm-1),10->2	,E (cm-1),6->4	,E (cm-1),8->4	,E (cm-1),10->4	,E (cm-1),8->6	,E (cm-1),10->6	,E (cm-1),10->8	
0.029399999999998983,21.6738,0.09799999999999898,0.945395,0.05580000000000496,7.22629,0.9527999999999963,0.01534685,0.7889999999999873,0.01932181,0.09799999999999898,11.1711,0.05580000000000496,1.84581,0.9527999999999963,1.59673,0.7889999999999873,0.442787,0.05580000000000496,29.8067,0.9527999999999963,1.85034,0.7889999999999873,2.72372,0.9527999999999963,3.44735,0.7889999999999873,2.59923,0.7889999999999873,8.86148
0.07939999999999969,28.152,0.1980000000000004,2.4256,0.15579999999999927,2.99294,1.9527999999999963,0.116119,1.7889999999999873,0.001953486,0.1980000000000004,3.89373,0.15579999999999927,4.891,1.9527999999999963,1.666,1.7889999999999873,0.08987574,0.15579999999999927,4.78613,1.9527999999999963,3.45036,1.7889999999999873,3.26641,1.9527999999999963,6.17885,1.7889999999999873,1.20464,1.7889999999999873,4.35022
0.1294000000000004,24.1964,0.2980000000000018,1.96665,0.2558000000000078,3.33948,2.9527999999999963,0.06035208,2.7889999999999873,0.01179824,0.2980000000000018,4.04469,0.2558000000000078,3.76423,2.9527999999999963,0.826233,2.7889999999999873,1.49499,0.2558000000000078,8.80595,2.9527999999999963,1.35476,2.7889999999999873,0.868497,2.9527999999999963,2.09592,2.7889999999999873,1.25145,2.7889999999999873,2.06478
0.17939999999999934,35.8634,0.39799999999999613,0.357171,0.3558000000000021,2.88711,3.9527999999999963,0.08938014,3.7889999999999873,0.00301543,0.39799999999999613,2.01863,0.3558000000000021,8.13186,3.9527999999999963,0.333056,3.7889999999999873,0.274621,0.3558000000000021,6.66835,3.9527999999999963,1.02913,3.7889999999999873,0.338878,3.9527999999999963,3.55378,3.7889999999999873,0.821008,3.7889999999999873,1.28441
0.22940000000000005,0.619677,0.49799999999999756,0.340697,0.45580000000001064,3.68523,4.952799999999996,0.04025456,4.788999999999987,0.01017108,0.49799999999999756,1.63139,0.45580000000001064,9.55101,4.952799999999996,0.206427,4.788999999999987,0.232225,0.45580000000001064,23.3682,4.952799999999996,1.8917,4.788999999999987,0.301134,4.952799999999996,3.13133,4.788999999999987,0.729497,4.788999999999987,0.886726
0.279399999999999,0.07511787,0.597999999999999,0.270885,0.555800000000005,1.0925,5.952799999999996,0.03734549,5.788999999999987,0.01068641,0.597999999999999,1.46284,0.555800000000005,9.31811,5.952799999999996,0.91526,5.788999999999987,0.399504,0.555800000000005,17.2163,5.952799999999996,0.666919,5.788999999999987,1.43772,5.952799999999996,0.905781,5.788999999999987,1.35843,5.788999999999987,1.68815
0.3293999999999997,0.374088,0.6980000000000004,0.197547,0.6557999999999993,1.00496,6.952799999999996,0.05430158,6.788999999999987,0.03450131,0.6980000000000004,0.977771,0.6557999999999993,1.78264,6.952799999999996,0.131027,6.788999999999987,0.175426,0.6557999999999993,7.7579,6.952799999999996,0.932237,6.788999999999987,1.45745,6.952799999999996,4.33337,6.788999999999987,1.19692,6.788999999999987,2.48817
0.3794000000000004,0.35361,0.7980000000000018,0.248728,0.7558000000000078,2.4969,7.952799999999996,0.05149127,7.788999999999987,0.0259169,0.7980000000000018,0.731988,0.7558000000000078,1.31168,7.952799999999996,1.22319,7.788999999999987,0.116249,0.7558000000000078,3.9319,7.952799999999996,0.813556,7.788999999999987,0.236379,7.952799999999996,0.768055,7.788999999999987,3.20134,7.788999999999987,2.03576
0.42939999999999934,0.614302,0.8979999999999961,0.166036,0.8558000000000021,2.14947,8.952799999999996,0.01104678,8.788999999999987,0.001444164,0.8979999999999961,0.757518,0.8558000000000021,1.15515,8.952799999999996,0.98594,8.788999999999987,0.07041115,0.8558000000000021,4.11109,8.952799999999996,1.05491,8.788999999999987,0.798681,8.952799999999996,3.2041,8.788999999999987,0.758031,8.788999999999987,1.66138
0.47940000000000005,0.683921,0.9979999999999976,0.135074,0.9558000000000106,1.94138,9.952799999999996,0.0674714,9.788999999999987,0.0003221265,0.9979999999999976,0.887115,0.9558000000000106,0.979306,9.952799999999996,0.310634,9.788999999999987,0.07063336,0.9558000000000106,3.28704,9.952799999999996,1.70351,9.788999999999987,0.801593,9.952799999999996,1.92303,9.788999999999987,1.38504,9.788999999999987,1.37543
0.529399999999999,1.75529,1.097999999999999,0.123689,1.055800000000005,0.551417,10.952799999999996,0.236671,10.788999999999987,0.001318061,1.097999999999999,0.705073,1.055800000000005,1.2067,10.952799999999996,0.4177,10.788999999999987,0.08378793,1.055800000000005,4.73711,10.952799999999996,0.971902,10.788999999999987,1.26093,10.952799999999996,1.18352,10.788999999999987,0.88354,10.788999999999987,1.16587
0.5793999999999997,0.988954,1.1980000000000004,0.116347,1.1557999999999993,0.520626,11.952799999999996,0.02583556,11.788999999999987,0.001620696,1.1980000000000004,0.895984,1.1557999999999993,1.07815,11.952799999999996,0.231926,11.788999999999987,0.384131,1.1557999999999993,3.93152,11.952799999999996,0.219909,11.788999999999987,0.577403,11.952799999999996,3.59627,11.788999999999987,0.792803,11.788999999999987,1.61996
