2.50,0.00,0.00,0.00,84146.9145568064122926
2.60,0.00,0.00,0.00,65134.5600781832908979
2.70,0.00,0.00,0.00,50320.7149187159302528
2.80,0.00,0.00,0.00,38724.0162483028470888
2.90,0.00,0.00,0.00,29639.9033740266168024
3.00,0.00,0.00,0.00,22540.0068665274266095
3.10,0.00,0.00,0.00,17014.5455488205552683
3.20,0.00,0.00,0.00,12738.5565276789511699
3.30,0.00,0.00,0.00,9451.1826838169599796
3.40,0.00,0.00,0.00,6942.0884620193182855
3.50,0.00,0.00,0.00,5041.8185136243000670
3.60,0.00,0.00,0.00,3614.4314195153638138
3.70,0.00,0.00,0.00,2551.5563663492312116
3.80,0.00,0.00,0.00,1767.4432450192516626
3.90,0.00,0.00,0.00,1194.7854064435425698
4.00,0.00,0.00,0.00,781.1910933278207949
4.10,0.00,0.00,0.00,486.2207527832076153
4.20,0.00,0.00,0.00,278.9231717324928468
4.30,0.00,0.00,0.00,135.8090126579431285
4.40,0.00,0.00,0.00,39.2031068832874752
4.50,0.00,0.00,0.00,-24.0802234815261400
4.60,0.00,0.00,0.00,-63.7906057808837090
4.70,0.00,0.00,0.00,-87.0706921492670745
4.80,0.00,0.00,0.00,-99.1022216842499120
4.90,0.00,0.00,0.00,-103.6047188072957255
5.00,0.00,0.00,0.00,-103.2169420250552179
5.10,0.00,0.00,0.00,-99.7860706808530438
5.20,0.00,0.00,0.00,-94.5850387803408665
5.30,0.00,0.00,0.00,-88.4744529910093291
5.40,0.00,0.00,0.00,-82.0221669136709579
5.50,0.00,0.00,0.00,-75.5907889313204890
5.60,0.00,0.00,0.00,-69.4011186610129016
5.70,0.00,0.00,0.00,-63.5776704635962560
5.80,0.00,0.00,0.00,-58.1809836302761880
5.90,0.00,0.00,0.00,-53.2302735198380148
6.00,0.00,0.00,0.00,-48.7190882354890817
6.20,0.00,0.00,0.00,-40.9214481154136038
6.40,0.00,0.00,0.00,-34.5468628847127661
6.60,0.00,0.00,0.00,-29.3372135181962257
6.80,0.00,0.00,0.00,-25.0650888195029111
7.00,0.00,0.00,0.00,-21.5449472253091585
7.20,0.00,0.00,0.00,-18.6301061936826322
7.40,0.00,0.00,0.00,-16.2056080874232329
7.60,0.00,0.00,0.00,-14.1810298930646930
7.80,0.00,0.00,0.00,-12.4845580241679350
8.00,0.00,0.00,0.00,-11.0585027227440591
8.20,0.00,0.00,0.00,-9.8560262662276159
8.40,0.00,0.00,0.00,-8.8387789563950676
8.60,0.00,0.00,0.00,-7.9751746577186511
8.80,0.00,0.00,0.00,-7.2391047403432704
9.00,0.00,0.00,0.00,-6.6089514312006949
9.50,0.00,0.00,0.00,-5.3869027679342718
10.00,0.00,0.00,0.00,-4.5178167456373970
10.50,0.00,0.00,0.00,-3.8742785134204647
11.00,0.00,0.00,0.00,-3.3777231428446988
11.50,0.00,0.00,0.00,-2.9797340124806295
12.00,0.00,0.00,0.00,-2.6502959230502210
12.50,0.00,0.00,0.00,-2.3705549028981077
13.00,0.00,0.00,0.00,-2.1284199442483231
13.50,0.00,0.00,0.00,-1.9159146843478554
14.00,0.00,0.00,0.00,-1.7275888468644407
14.50,0.00,0.00,0.00,-1.5595651135832680
15.00,0.00,0.00,0.00,-1.4089651921598541
16.00,0.00,0.00,0.00,-1.1515664952571931
17.00,0.00,0.00,0.00,-0.9420915661758362
18.00,0.00,0.00,0.00,-0.7710510184082056
19.00,0.00,0.00,0.00,-0.6311846356847046
20.00,0.00,0.00,0.00,-0.5167340561389309
21.00,0.00,0.00,0.00,-0.4230527480656719
22.00,0.00,0.00,0.00,-0.3463613985991614
23.00,0.00,0.00,0.00,-0.2835749278339342
24.00,0.00,0.00,0.00,-0.2321708518055667
25.00,0.00,0.00,0.00,-0.1900851726736322
50.00,0.00,0.00,0.00,-0.0012807824792105
100.00,0.00,0.00,0.00,-0.0000000581474346
2.50,30.00,0.00,0.00,84147.0124664481409127
2.60,30.00,0.00,0.00,65134.6180123001395259
2.70,30.00,0.00,0.00,50320.7488578143238556
2.80,30.00,0.00,0.00,38724.0359099643392256
2.90,30.00,0.00,0.00,29639.9146227110286418
3.00,30.00,0.00,0.00,22540.0132116439272068
3.10,30.00,0.00,0.00,17014.5490707750832371
3.20,30.00,0.00,0.00,12738.5584467657336063
3.30,30.00,0.00,0.00,9451.1837072965663538
3.40,30.00,0.00,0.00,6942.0889942454996344
3.50,30.00,0.00,0.00,5041.8187821651335980
3.60,30.00,0.00,0.00,3614.4315501194578246
3.70,30.00,0.00,0.00,2551.5564270143727299
3.80,30.00,0.00,0.00,1767.4432715706000181
3.90,30.00,0.00,0.00,1194.7854171620267607
4.00,30.00,0.00,0.00,781.1910971720734551
4.10,30.00,0.00,0.00,486.2207539156489702
4.20,30.00,0.00,0.00,278.9231719483592542
4.30,30.00,0.00,0.00,135.8090126478906825
4.40,30.00,0.00,0.00,39.2031068629096282
4.50,30.00,0.00,0.00,-24.0802234753700972
4.60,30.00,0.00,0.00,-63.7906057620676634
4.70,30.00,0.00,0.00,-87.0706921347821634
4.80,30.00,0.00,0.00,-99.1022216817739832
4.90,30.00,0.00,0.00,-103.6047188159754455
5.00,30.00,0.00,0.00,-103.2169420396405144
5.10,30.00,0.00,0.00,-99.7860706953709382
5.20,30.00,0.00,0.00,-94.5850387902842726
5.30,30.00,0.00,0.00,-88.4744529941513917
5.40,30.00,0.00,0.00,-82.0221669099568942
5.50,30.00,0.00,0.00,-75.5907889222859524
5.60,30.00,0.00,0.00,-69.4011186490641165
5.70,30.00,0.00,0.00,-63.5776704513553526
