R	Gamma	E
2.50	150	1407.206755
2.50	160	2087.274462
2.50	170	2654.94868
2.50	180	2880.493025
2.60	0	711.799947
2.60	10	698.46805
2.60	20	658.341867
2.60	30	591.592983
2.60	40	500.268669
2.60	50	390.008679
2.60	60	270.030902
2.60	70	151.708267
2.60	80	47.202019
2.60	90	-31.049644
2.60	100	-70.080186
2.60	110	-54.993922
2.60	120	33.776859
2.60	130	220.871047
2.60	140	527.874855
2.60	150	950.646342
2.60	160	1426.451864
2.60	170	1821.670379
2.60	180	1978.216509
2.70	0	480.104833
2.70	10	471.106181
2.70	20	443.889221
2.70	30	398.249441
2.70	40	335.226196
2.70	50	258.395384
2.70	60	174.003533
2.70	70	90.016167
2.70	80	15.070841
2.70	90	-41.939391
2.70	100	-71.707299
2.70	110	-63.669252
2.70	120	-4.020831
2.70	130	124.846426
2.70	140	338.413754
2.70	150	633.608526
2.70	160	965.218959
2.70	170	1239.16125
2.70	180	1347.249472
2.80	0	318.928027
2.80	10	312.862289
2.80	20	294.434087
2.80	30	263.321994
2.80	40	220.013719
2.80	50	166.749174
2.80	60	107.731046
2.80	70	48.512985
2.80	80	-4.810141
2.80	90	-45.976692
2.80	100	-68.399945
2.80	110	-64.64849
2.80	120	-25.074886
2.80	130	62.846007
2.80	140	210.310937
2.80	150	415.309109
2.80	160	645.401075
2.80	170	834.245187
2.80	180	908.351126
2.90	0	207.563878
2.90	10	203.49056
2.90	20	191.061609
2.90	30	169.958948
2.90	40	140.373241
2.90	50	103.678741
2.90	60	62.677333
2.90	70	21.22364
2.90	80	-16.403945
2.90	90	-45.863924
2.90	100	-62.577526
2.90	110	-61.354409
2.90	120	-35.495019
2.90	130	23.857413
2.90	140	124.852401
2.90	150	266.349709
2.90	160	425.13316
2.90	170	554.382848
2.90	180	604.70066
3.00	0	131.22652
3.00	10	128.513367
3.00	20	120.202551
3.00	30	106.012657
3.00	40	85.97275
3.00	50	60.893218
3.00	60	32.62279
3.00	70	3.82822
3.00	80	-22.501183
3.00	90	-43.394073
3.00	100	-55.736614
3.00	110	-55.941865
3.00	120	-39.37439
3.00	130	0.202583
3.00	140	68.730733
3.00	150	165.701177
3.00	160	274.531819
3.00	170	362.163088
3.00	180	395.88882
3.10	0	79.395979
3.10	10	77.618368
3.10	20	72.147487
3.10	30	62.743434
3.10	40	49.341865
3.10	50	32.380832
3.10	60	13.063543
3.10	70	-6.77123
3.10	80	-25.039788
3.10	90	-39.726642
3.10	100	-48.765912
3.10	110	-49.723151
3.10	120	-39.400098
3.10	130	-13.416092
3.10	140	32.570392
3.10	150	98.448602
3.10	160	172.403042
3.10	170	231.117138
3.10	180	253.340718
3.20	0	44.619295
3.20	10	43.487374
3.20	20	39.979608
3.20	30	33.892991
3.20	40	25.104892
3.20	50	13.805271
3.20	60	0.756566
