R	0	30	60	90
1.0	48924.74794	40633.251934	25911.867321	19963.653681
1.1	43628.277717	34590.914424	19656.105788	13831.032385
1.2	42834.421807	32054.756993	16209.367756	10027.841845
1.3	43415.507568	30135.777849	13800.161709	7417.05501
1.4	41837.355405		11686.601543	5491.890074
1.5	24526.720339	22109.449578	9674.756372	4030.213717
1.6	53319.778141	17260.604909	7792.020952	2923.238453
1.7	16878.842012	13032.094542		
1.8	12196.263842	9637.034505		
1.9	8750.664925	7024.953546	3364.041932	901.980001
2.0	6238.794078	5064.888312	2454.506625	573.147046
2.1	4420.910991	3618.28454	1764.022444	345.733914
2.2	3113.451785	2563.437883	1250.166156	192.683219
2.3	2178.427848	1801.507464	873.824504	92.512532
2.4	1513.380318	1255.412957	601.798546	29.095018
2.5	1042.882745	866.63978	407.422456	-9.311031
2.6	711.799947	591.592983	270.030902	-31.049644
2.7	480.104833	398.249441	174.003533	-41.939391
2.8	318.928027	263.321994	107.731046	-45.976692
2.9	207.563878	169.958948	62.677333	-45.863924
3.0	131.22652	106.012657	32.62279	-43.394073
3.1	79.395979	62.743434	13.063543	-39.726642
3.2	44.619295	33.892991	0.756566	-35.587622
3.3	21.647805	15.007263	-6.618516	-31.413774
3.4	6.808096	2.948031	-10.706724	-27.453347
3.5	-2.455311	-4.474961	-12.660134	-23.833912
3.6	-7.922346	-8.777566	-13.271144	-20.607292
3.7	-10.839377	-11.005006	-13.073145	-17.779016
3.8	-12.084558	-11.877888	-12.415517	-15.327442
3.9	-12.276772	-11.893401	-11.52058	-13.21816
4.0	-11.847574	-11.395196	-10.525195	-11.409949
4.1	-11.090643	-10.616458	-9.512266	-9.86169
4.2	-10.19745	-9.712428	-8.528851	-8.535976
4.3	-9.284194	-8.782618	-7.601731	-7.397578
4.4	-8.413041	-7.883946	-6.744844	-6.418741
4.5	-7.609584	-7.047292	-5.963435	-5.57527
4.6	-6.87729	-6.283929	-5.259189	-4.847772
4.7	-6.208898	-5.59583	-4.630417	-4.22017
4.8	-5.594417	-4.976989	-4.074098	-3.678679
4.9	-5.02564	-4.421908	-3.583914	-3.211758
5.0	-4.497787	-3.923885	-3.15452	-2.8096
5.1	-4.009215	-3.477596	-2.779561	-2.463303
5.2	-3.560192	-3.079035	-2.452865	-2.165049
5.3	-3.151583	-2.724298	-2.16837	-1.907885
5.4	-2.783817	-2.410341	-1.920922	-1.685577
5.5	-2.456343	-2.133685	-1.705326	-1.493222
5.6	-2.167486	-1.890938	-1.517502	-1.326079
5.7	-1.914602	-1.67865	-1.353452	-1.180544
5.8	-1.694393	-1.493397	-1.209896	-1.053427
5.9	-1.503243	-1.331867	-1.084003	-0.941976
6.0	-1.337509	-1.190987	-0.973366	-0.844017
6.2	-1.068866	-0.971774	-0.815939	-0.6815
6.4	-0.865163	-0.818036	-0.668016	-0.576193
6.6	-0.708949	-0.674013	-0.610275	-0.550392
6.8	-0.587624	-0.560869	-0.508139	-0.455246
7.0	-0.492069	-0.470782	-0.42575	-0.378691
7.2	-0.415652	-0.398046	-0.358603	-0.31657
7.4	-0.353574	-0.338519	-0.303359	-0.265755
7.6	-0.302426	-0.289204	-0.257535	-0.223873
7.8	-0.259797	-0.247954	-0.219258	-0.189114
8.0	-0.22397	-0.213216	-0.187124	-0.160108
8.2	-0.193679	-0.183835	-0.160062	-0.135795
8.4	-0.167979	-0.158913	-0.137223	-0.115362
8.6	-0.146109	-0.137745	-0.117931	-0.098161
8.8	-0.127466	-0.119746	-0.101623	-0.083663
9.0	-0.111552	-0.104427	-0.08783	-0.071438
9.5	-0.081127	-0.075304	-0.061878	-0.04855
10.0	-0.060401	-0.055617	-0.044577	-0.033431
10.5	-0.046092	-0.042109	-0.032853	-0.023315
11.0	-0.036027	-0.032647	-0.024748	-0.016443
11.5	-0.02879	-0.025882	-0.019038	-0.01171
12.0	-0.02348	-0.020944	-0.014939	-0.008412
12.5	-0.019509	-0.017276	-0.011958	-0.006095
13.0	-0.016493	-0.01451	-0.009758	-0.004453
13.5	-0.014171	-0.012394	-0.00812	-0.003294
14.0	-0.012356	-0.010756	-0.006883	-0.002468
14.5	-0.010921	-0.00947	-0.005944	-0.001887
15.0	-0.009773	-0.008449	-0.005223	-0.001479
16.0	-0.008078	-0.006896	-0.004227	-0.000768
17.0	-0.006916	-0.005961	-0.003477	-0.000804
18.0	-0.006084	-0.005256	-0.003211	-0.000623
19.0	-0.005465	-0.00474	-0.00294	-0.000665
20.0	-0.004987	-0.004347	-0.002699	-0.000791
21.0	-0.004604	-0.004021	-0.00257	-0.000846
22.0	-0.004292	-0.00378	-0.002469	-0.000906
23.0	-0.004028	-0.003557	-0.002406	-0.000931
24.0	-0.003801	-0.00338	-0.002327	-0.001006
25.0	-0.003604	-0.003214	-0.002243	-0.001045
50.0	-0.001451	-0.001357	-0.001139	-0.000852
100.0	-0.000277	-0.000244	-0.000192	-0.000121
