I	J	5.000	6.000	7.000	8.000	9.000	10.000	11.000	12.000	13.000	14.000	15.000
2	1	5.78E-11	5.80E-11	5.80E-11	5.79E-11	5.77E-11	5.74E-11	5.71E-11	5.68E-11	5.64E-11	5.60E-11	5.55E-11
3	1	1.30E-11	1.30E-11	1.29E-11	1.28E-11	1.27E-11	1.26E-11	1.25E-11	1.23E-11	1.22E-11	1.20E-11	1.18E-11
3	2	1.45E-10	1.36E-10	1.29E-10	1.22E-10	1.16E-10	1.11E-10	1.07E-10	1.03E-10	9.91E-11	9.63E-11	9.39E-11
4	1	4.67E-12	4.78E-12	4.85E-12	4.87E-12	4.88E-12	4.87E-12	4.85E-12	4.82E-12	4.80E-12	4.78E-12	4.76E-12
4	2	4.39E-11	4.18E-11	3.96E-11	3.76E-11	3.59E-11	3.44E-11	3.31E-11	3.21E-11	3.12E-11	3.04E-11	2.98E-11
4	3	9.80E-11	1.03E-10	1.07E-10	1.08E-10	1.08E-10	1.07E-10	1.06E-10	1.04E-10	1.02E-10	1.00E-10	9.86E-11
5	1	1.36E-12	1.38E-12	1.42E-12	1.45E-12	1.47E-12	1.50E-12	1.52E-12	1.53E-12	1.55E-12	1.56E-12	1.58E-12
5	2	9.03E-12	9.17E-12	9.30E-12	9.41E-12	9.50E-12	9.57E-12	9.63E-12	9.68E-12	9.73E-12	9.78E-12	9.83E-12
5	3	3.80E-11	3.69E-11	3.60E-11	3.51E-11	3.42E-11	3.34E-11	3.26E-11	3.19E-11	3.12E-11	3.05E-11	2.99E-11
5	4	9.45E-11	9.27E-11	9.14E-11	9.05E-11	8.98E-11	8.90E-11	8.83E-11	8.73E-11	8.63E-11	8.51E-11	8.39E-11
