I	J	5.000	10.000	15.000	20.000	25.000	30.000	40.000	50.000	60.000	70.000	80.000	90.000	100.000
2	1	2.23E-10	2.86E-10	3.16E-10	3.23E-10	3.15E-10	3.03E-10	2.75E-10	2.45E-10	2.16E-10	1.93E-10	1.75E-10	1.60E-10	1.48E-10
3	1	9.88E-11	9.80E-11	9.56E-11	9.11E-11	8.54E-11	8.07E-11	7.21E-11	6.42E-11	5.75E-11	5.19E-11	4.75E-11	4.38E-11	4.08E-11
3	2	4.12E-10	5.24E-10	5.40E-10	5.21E-10	4.88E-10	4.59E-10	4.09E-10	3.64E-10	3.26E-10	2.94E-10	2.67E-10	2.43E-10	2.20E-10
4	1	6.71E-11	6.15E-11	5.71E-11	5.17E-11	4.70E-11	4.37E-11	3.83E-11	3.40E-11	3.06E-11	2.79E-11	2.58E-11	2.41E-11	2.27E-11
4	2	1.88E-10	1.78E-10	1.66E-10	1.53E-10	1.41E-10	1.32E-10	1.17E-10	1.04E-10	9.38E-11	8.45E-11	7.67E-11	7.03E-11	6.50E-11
4	3	4.96E-10	6.09E-10	6.12E-10	5.85E-10	5.48E-10	5.14E-10	4.58E-10	4.07E-10	3.64E-10	3.27E-10	2.96E-10	2.69E-10	2.45E-10
5	1	3.87E-11	3.05E-11	2.57E-11	2.16E-11	1.87E-11	1.67E-11	1.37E-11	1.16E-11	1.01E-11	9.00E-12	8.08E-12	7.38E-12	6.88E-12
5	2	1.43E-10	1.32E-10	1.23E-10	1.11E-10	1.01E-10	9.38E-11	8.18E-11	7.23E-11	6.47E-11	5.85E-11	5.36E-11	4.95E-11	4.60E-11
5	3	2.25E-10	2.12E-10	1.99E-10	1.84E-10	1.70E-10	1.58E-10	1.40E-10	1.24E-10	1.12E-10	1.01E-10	9.12E-11	8.34E-11	7.70E-11
5	4	5.42E-10	6.34E-10	6.46E-10	6.20E-10	5.79E-10	5.41E-10	4.76E-10	4.21E-10	3.76E-10	3.39E-10	3.07E-10	2.79E-10	2.54E-10
6	1	3.03E-11	2.77E-11	2.64E-11	2.43E-11	2.21E-11	2.04E-11	1.75E-11	1.54E-11	1.37E-11	1.24E-11	1.13E-11	1.03E-11	9.55E-12
6	2	7.73E-11	6.21E-11	5.24E-11	4.49E-11	3.94E-11	3.56E-11	2.97E-11	2.54E-11	2.23E-11	1.98E-11	1.77E-11	1.59E-11	1.44E-11
6	3	1.83E-10	1.65E-10	1.51E-10	1.37E-10	1.24E-10	1.15E-10	9.99E-11	8.83E-11	7.92E-11	7.16E-11	6.54E-11	6.04E-11	5.64E-11
6	4	2.34E-10	2.27E-10	2.17E-10	2.03E-10	1.87E-10	1.74E-10	1.53E-10	1.35E-10	1.21E-10	1.09E-10	9.87E-11	9.02E-11	8.30E-11
6	5	5.29E-10	6.21E-10	6.48E-10	6.23E-10	5.80E-10	5.39E-10	4.73E-10	4.17E-10	3.72E-10	3.36E-10	3.06E-10	2.80E-10	2.56E-10
7	1	1.69E-11	1.28E-11	1.07E-11	9.27E-12	8.24E-12	7.49E-12	6.33E-12	5.51E-12	4.95E-12	4.54E-12	4.21E-12	3.96E-12	3.80E-12
7	2	6.58E-11	5.81E-11	5.18E-11	4.63E-11	4.19E-11	3.86E-11	3.33E-11	2.94E-11	2.66E-11	2.44E-11	2.24E-11	2.06E-11	1.90E-11
7	3	9.23E-11	7.53E-11	6.40E-11	5.61E-11	5.02E-11	4.58E-11	3.87E-11	3.34E-11	2.96E-11	2.65E-11	2.39E-11	2.16E-11	1.98E-11
7	4	2.03E-10	1.85E-10	1.66E-10	1.50E-10	1.36E-10	1.25E-10	1.08E-10	9.53E-11	8.54E-11	7.72E-11	7.04E-11	6.50E-11	6.06E-11
7	5	2.33E-10	2.31E-10	2.22E-10	2.09E-10	1.94E-10	1.81E-10	1.59E-10	1.41E-10	1.27E-10	1.14E-10	1.04E-10	9.57E-11	8.83E-11
7	6	5.22E-10	6.14E-10	6.35E-10	6.12E-10	5.73E-10	5.33E-10	4.70E-10	4.15E-10	3.70E-10	3.35E-10	3.07E-10	2.82E-10	2.60E-10
8	1	1.40E-11	1.22E-11	1.10E-11	9.94E-12	9.08E-12	8.43E-12	7.43E-12	6.66E-12	6.08E-12	5.58E-12	5.14E-12	4.74E-12	4.39E-12
8	2	3.88E-11	3.08E-11	2.60E-11	2.25E-11	2.01E-11	1.83E-11	1.54E-11	1.33E-11	1.19E-11	1.08E-11	9.89E-12	9.08E-12	8.34E-12
8	3	8.18E-11	7.16E-11	6.36E-11	5.68E-11	5.18E-11	4.79E-11	4.13E-11	3.64E-11	3.26E-11	2.96E-11	2.70E-11	2.47E-11	2.28E-11
8	4	1.09E-10	9.10E-11	7.79E-11	6.84E-11	6.14E-11	5.62E-11	4.76E-11	4.11E-11	3.63E-11	3.26E-11	2.96E-11	2.71E-11	2.50E-11
8	5	2.18E-10	1.97E-10	1.74E-10	1.57E-10	1.43E-10	1.32E-10	1.15E-10	1.01E-10	9.03E-11	8.18E-11	7.47E-11	6.91E-11	6.47E-11
8	6	2.46E-10	2.44E-10	2.30E-10	2.16E-10	2.01E-10	1.88E-10	1.67E-10	1.48E-10	1.32E-10	1.19E-10	1.09E-10	1.00E-10	9.29E-11
8	7	5.27E-10	6.09E-10	6.12E-10	5.88E-10	5.52E-10	5.15E-10	4.58E-10	4.07E-10	3.60E-10	3.24E-10	2.96E-10	2.73E-10	2.53E-10
9	1	9.52E-12	8.81E-12	8.05E-12	7.27E-12	6.52E-12	5.88E-12	4.87E-12	4.13E-12	3.62E-12	3.23E-12	2.88E-12	2.56E-12	2.26E-12
9	2	3.37E-11	2.99E-11	2.70E-11	2.41E-11	2.19E-11	2.02E-11	1.76E-11	1.57E-11	1.41E-11	1.28E-11	1.17E-11	1.07E-11	9.95E-12
9	3	4.80E-11	4.08E-11	3.60E-11	3.19E-11	2.90E-11	2.68E-11	2.31E-11	2.03E-11	1.82E-11	1.66E-11	1.52E-11	1.39E-11	1.27E-11
9	4	9.93E-11	8.70E-11	7.85E-11	7.05E-11	6.49E-11	6.04E-11	5.26E-11	4.64E-11	4.14E-11	3.73E-11	3.40E-11	3.11E-11	2.87E-11
9	5	1.20E-10	9.86E-11	8.58E-11	7.54E-11	6.81E-11	6.24E-11	5.30E-11	4.59E-11	4.04E-11	3.63E-11	3.31E-11	3.06E-11	2.86E-11
9	6	2.30E-10	1.97E-10	1.76E-10	1.59E-10	1.46E-10	1.36E-10	1.18E-10	1.04E-10	9.24E-11	8.32E-11	7.61E-11	7.05E-11	6.61E-11
9	7	2.60E-10	2.43E-10	2.31E-10	2.15E-10	2.01E-10	1.89E-10	1.68E-10	1.49E-10	1.33E-10	1.19E-10	1.08E-10	1.00E-10	9.33E-11
9	8	5.23E-10	5.83E-10	6.06E-10	5.87E-10	5.52E-10	5.17E-10	4.60E-10	4.08E-10	3.62E-10	3.25E-10	2.96E-10	2.73E-10	2.55E-10
10	1	8.58E-12	7.15E-12	6.06E-12	5.21E-12	4.58E-12	4.12E-12	3.49E-12	3.04E-12	2.72E-12	2.45E-12	2.19E-12	1.97E-12	1.80E-12
10	2	2.50E-11	2.22E-11	1.99E-11	1.76E-11	1.58E-11	1.44E-11	1.24E-11	1.09E-11	9.69E-12	8.71E-12	7.85E-12	7.08E-12	6.37E-12
10	3	4.77E-11	4.08E-11	3.57E-11	3.15E-11	2.87E-11	2.67E-11	2.33E-11	2.07E-11	1.85E-11	1.67E-11	1.52E-11	1.40E-11	1.32E-11
10	4	5.72E-11	4.91E-11	4.31E-11	3.86E-11	3.55E-11	3.30E-11	2.88E-11	2.55E-11	2.28E-11	2.06E-11	1.87E-11	1.71E-11	1.58E-11
10	5	1.13E-10	9.73E-11	8.62E-11	7.72E-11	7.09E-11	6.58E-11	5.77E-11	5.12E-11	4.59E-11	4.14E-11	3.76E-11	3.45E-11	3.20E-11
10	6	1.30E-10	1.09E-10	9.39E-11	8.17E-11	7.30E-11	6.64E-11	5.68E-11	4.97E-11	4.42E-11	3.98E-11	3.64E-11	3.37E-11	3.16E-11
10	7	2.49E-10	2.21E-10	1.96E-10	1.74E-10	1.57E-10	1.44E-10	1.25E-10	1.11E-10	9.93E-11	8.99E-11	8.25E-11	7.64E-11	7.12E-11
