I	J	5.000	6.000	7.000	8.000	9.000	10.000	12.000	14.000	16.000	18.000	20.000	25.000	30.000	35.000	40.000	45.000	50.000	60.000	70.000	80.000	90.000	100.000
2	1	6.02E-11	5.93E-11	5.83E-11	5.72E-11	5.62E-11	5.51E-11	5.31E-11	5.13E-11	4.96E-11	4.80E-11	4.66E-11	4.36E-11	4.12E-11	3.92E-11	3.76E-11	3.62E-11	3.50E-11	3.30E-11	3.15E-11	3.03E-11	2.93E-11	2.85E-11
3	1	1.22E-11	1.25E-11	1.28E-11	1.31E-11	1.35E-11	1.38E-11	1.44E-11	1.50E-11	1.56E-11	1.61E-11	1.65E-11	1.74E-11	1.81E-11	1.87E-11	1.92E-11	1.95E-11	1.98E-11	2.03E-11	2.07E-11	2.11E-11	2.13E-11	2.16E-11
3	2	9.58E-11	9.60E-11	9.55E-11	9.46E-11	9.36E-11	9.24E-11	8.98E-11	8.73E-11	8.49E-11	8.27E-11	8.06E-11	7.61E-11	7.25E-11	6.94E-11	6.68E-11	6.47E-11	6.28E-11	5.98E-11	5.74E-11	5.55E-11	5.40E-11	5.27E-11
4	1	1.53E-11	1.55E-11	1.56E-11	1.56E-11	1.55E-11	1.54E-11	1.51E-11	1.48E-11	1.45E-11	1.42E-11	1.39E-11	1.34E-11	1.29E-11	1.25E-11	1.22E-11	1.19E-11	1.16E-11	1.12E-11	1.09E-11	1.07E-11	1.05E-11	1.03E-11
4	2	2.06E-11	2.13E-11	2.19E-11	2.26E-11	2.32E-11	2.37E-11	2.48E-11	2.57E-11	2.65E-11	2.72E-11	2.78E-11	2.91E-11	3.00E-11	3.07E-11	3.13E-11	3.18E-11	3.21E-11	3.27E-11	3.32E-11	3.36E-11	3.39E-11	3.43E-11
4	3	1.11E-10	1.12E-10	1.12E-10	1.11E-10	1.10E-10	1.09E-10	1.06E-10	1.03E-10	1.01E-10	9.81E-11	9.58E-11	9.07E-11	8.66E-11	8.32E-11	8.03E-11	7.79E-11	7.58E-11	7.24E-11	6.97E-11	6.76E-11	6.59E-11	6.45E-11
5	1	4.14E-12	4.12E-12	4.11E-12	4.11E-12	4.11E-12	4.12E-12	4.14E-12	4.16E-12	4.17E-12	4.18E-12	4.19E-12	4.19E-12	4.17E-12	4.16E-12	4.14E-12	4.12E-12	4.10E-12	4.08E-12	4.06E-12	4.05E-12	4.05E-12	4.05E-12
5	2	3.80E-11	3.77E-11	3.72E-11	3.67E-11	3.62E-11	3.57E-11	3.47E-11	3.38E-11	3.30E-11	3.23E-11	3.16E-11	3.02E-11	2.91E-11	2.83E-11	2.75E-11	2.69E-11	2.64E-11	2.56E-11	2.49E-11	2.44E-11	2.40E-11	2.36E-11
5	3	2.74E-11	2.77E-11	2.80E-11	2.84E-11	2.88E-11	2.92E-11	3.00E-11	3.08E-11	3.16E-11	3.23E-11	3.29E-11	3.41E-11	3.51E-11	3.59E-11	3.65E-11	3.70E-11	3.74E-11	3.80E-11	3.86E-11	3.90E-11	3.94E-11	3.98E-11
5	4	1.16E-10	1.17E-10	1.17E-10	1.17E-10	1.16E-10	1.15E-10	1.12E-10	1.09E-10	1.07E-10	1.04E-10	1.02E-10	9.72E-11	9.31E-11	8.97E-11	8.68E-11	8.44E-11	8.23E-11	7.88E-11	7.62E-11	7.41E-11	7.24E-11	7.09E-11
6	1	7.74E-12	7.86E-12	7.91E-12	7.90E-12	7.88E-12	7.83E-12	7.73E-12	7.61E-12	7.50E-12	7.39E-12	7.29E-12	7.06E-12	6.88E-12	6.73E-12	6.61E-12	6.50E-12	6.41E-12	6.26E-12	6.15E-12	6.06E-12	5.99E-12	5.94E-12
6	2	8.69E-12	8.67E-12	8.63E-12	8.61E-12	8.59E-12	8.58E-12	8.58E-12	8.60E-12	8.62E-12	8.64E-12	8.66E-12	8.70E-12	8.72E-12	8.72E-12	8.72E-12	8.71E-12	8.70E-12	8.68E-12	8.67E-12	8.67E-12	8.67E-12	8.69E-12
6	3	4.32E-11	4.38E-11	4.39E-11	4.37E-11	4.35E-11	4.32E-11	4.24E-11	4.17E-11	4.10E-11	4.03E-11	3.97E-11	3.84E-11	3.73E-11	3.64E-11	3.56E-11	3.50E-11	3.44E-11	3.35E-11	3.28E-11	3.23E-11	3.18E-11	3.15E-11
6	4	2.93E-11	2.99E-11	3.04E-11	3.08E-11	3.13E-11	3.17E-11	3.25E-11	3.33E-11	3.40E-11	3.47E-11	3.53E-11	3.66E-11	3.76E-11	3.85E-11	3.91E-11	3.97E-11	4.02E-11	4.10E-11	4.17E-11	4.22E-11	4.27E-11	4.31E-11
6	5	1.08E-10	1.11E-10	1.12E-10	1.13E-10	1.12E-10	1.12E-10	1.10E-10	1.08E-10	1.06E-10	1.04E-10	1.02E-10	9.81E-11	9.45E-11	9.14E-11	8.88E-11	8.66E-11	8.46E-11	8.15E-11	7.90E-11	7.70E-11	7.54E-11	7.40E-11
7	1	1.69E-12	1.71E-12	1.71E-12	1.71E-12	1.71E-12	1.71E-12	1.71E-12	1.71E-12	1.72E-12	1.73E-12	1.75E-12	1.78E-12	1.81E-12	1.83E-12	1.85E-12	1.87E-12	1.88E-12	1.90E-12	1.91E-12	1.92E-12	1.93E-12	1.94E-12
7	2	1.53E-11	1.58E-11	1.61E-11	1.62E-11	1.63E-11	1.64E-11	1.64E-11	1.64E-11	1.63E-11	1.62E-11	1.61E-11	1.58E-11	1.56E-11	1.54E-11	1.52E-11	1.51E-11	1.49E-11	1.47E-11	1.46E-11	1.44E-11	1.43E-11	1.42E-11
7	3	1.19E-11	1.20E-11	1.19E-11	1.18E-11	1.18E-11	1.17E-11	1.15E-11	1.14E-11	1.14E-11	1.13E-11	1.13E-11	1.13E-11	1.13E-11	1.13E-11	1.13E-11	1.13E-11	1.13E-11	1.14E-11	1.14E-11	1.14E-11	1.15E-11	1.15E-11
7	4	4.40E-11	4.50E-11	4.55E-11	4.56E-11	4.56E-11	4.55E-11	4.51E-11	4.46E-11	4.40E-11	4.35E-11	4.30E-11	4.20E-11	4.10E-11	4.03E-11	3.96E-11	3.91E-11	3.86E-11	3.78E-11	3.72E-11	3.67E-11	3.63E-11	3.60E-11
7	5	3.24E-11	3.32E-11	3.37E-11	3.41E-11	3.44E-11	3.47E-11	3.53E-11	3.58E-11	3.64E-11	3.69E-11	3.74E-11	3.85E-11	3.94E-11	4.02E-11	4.09E-11	4.15E-11	4.20E-11	4.30E-11	4.37E-11	4.44E-11	4.49E-11	4.54E-11
7	6	9.92E-11	1.03E-10	1.06E-10	1.07E-10	1.07E-10	1.07E-10	1.07E-10	1.05E-10	1.04E-10	1.02E-10	1.01E-10	9.70E-11	9.38E-11	9.10E-11	8.87E-11	8.67E-11	8.49E-11	8.20E-11	7.97E-11	7.79E-11	7.64E-11	7.51E-11
8	1	3.71E-12	3.77E-12	3.81E-12	3.84E-12	3.86E-12	3.88E-12	3.90E-12	3.91E-12	3.92E-12	3.93E-12	3.93E-12	3.92E-12	3.91E-12	3.89E-12	3.88E-12	3.86E-12	3.85E-12	3.83E-12	3.81E-12	3.80E-12	3.79E-12	3.79E-12
8	2	4.60E-12	4.67E-12	4.67E-12	4.64E-12	4.59E-12	4.54E-12	4.46E-12	4.40E-12	4.36E-12	4.34E-12	4.34E-12	4.37E-12	4.42E-12	4.48E-12	4.53E-12	4.58E-12	4.63E-12	4.70E-12	4.76E-12	4.80E-12	4.84E-12	4.87E-12
8	3	2.16E-11	2.18E-11	2.19E-11	2.19E-11	2.18E-11	2.18E-11	2.16E-11	2.15E-11	2.13E-11	2.12E-11	2.11E-11	2.08E-11	2.06E-11	2.04E-11	2.02E-11	2.01E-11	2.00E-11	1.98E-11	1.97E-11	1.96E-11	1.95E-11	1.94E-11
8	4	1.70E-11	1.70E-11	1.68E-11	1.65E-11	1.62E-11	1.59E-11	1.54E-11	1.50E-11	1.46E-11	1.44E-11	1.42E-11	1.38E-11	1.37E-11	1.36E-11	1.35E-11	1.35E-11	1.35E-11	1.36E-11	1.37E-11	1.37E-11	1.38E-11	1.39E-11
8	5	4.83E-11	4.90E-11	4.91E-11	4.90E-11	4.88E-11	4.85E-11	4.78E-11	4.71E-11	4.65E-11	4.59E-11	4.53E-11	4.42E-11	4.33E-11	4.25E-11	4.19E-11	4.13E-11	4.09E-11	4.01E-11	3.96E-11	3.91E-11	3.88E-11	3.85E-11
8	6	3.89E-11	3.96E-11	3.98E-11	3.98E-11	3.97E-11	3.96E-11	3.95E-11	3.95E-11	3.96E-11	3.98E-11	3.99E-11	4.05E-11	4.12E-11	4.18E-11	4.24E-11	4.29E-11	4.35E-11	4.44E-11	4.52E-11	4.60E-11	4.66E-11	4.72E-11
