I	J	5.000	10.000	15.000	20.000	30.000	40.000	50.000	60.000	70.000	80.000	90.000	100.000
9	4	7.79E-12	1.33E-11	1.54E-11	1.60E-11	1.62E-11	1.59E-11	1.52E-11	1.43E-11	1.33E-11	1.24E-11	1.17E-11	1.10E-11
9	5	8.61E-12	1.51E-11	1.81E-11	1.95E-11	2.00E-11	1.92E-11	1.80E-11	1.67E-11	1.56E-11	1.45E-11	1.36E-11	1.28E-11
9	6	1.43E-11	2.61E-11	3.04E-11	3.16E-11	3.04E-11	2.88E-11	2.72E-11	2.53E-11	2.34E-11	2.16E-11	2.01E-11	1.87E-11
9	7	1.49E-11	2.82E-11	3.68E-11	4.36E-11	4.91E-11	4.90E-11	4.70E-11	4.47E-11	4.21E-11	3.95E-11	3.69E-11	3.48E-11
9	8	3.94E-11	8.18E-11	9.46E-11	9.56E-11	8.75E-11	7.99E-11	7.31E-11	6.65E-11	6.02E-11	5.44E-11	4.97E-11	4.48E-11
10	1	6.91E-13	1.33E-12	1.51E-12	1.54E-12	1.59E-12	1.60E-12	1.55E-12	1.47E-12	1.38E-12	1.29E-12	1.19E-12	1.10E-12
10	2	1.28E-12	2.67E-12	3.07E-12	3.11E-12	3.08E-12	3.03E-12	2.93E-12	2.79E-12	2.62E-12	2.43E-12	2.24E-12	2.08E-12
10	3	4.94E-12	7.86E-12	8.49E-12	8.58E-12	8.62E-12	8.46E-12	8.08E-12	7.58E-12	7.01E-12	6.45E-12	5.98E-12	5.53E-12
10	4	4.67E-12	7.64E-12	8.70E-12	9.06E-12	9.14E-12	8.80E-12	8.32E-12	7.81E-12	7.26E-12	6.70E-12	6.20E-12	5.75E-12
10	5	7.95E-12	1.39E-11	1.64E-11	1.71E-11	1.73E-11	1.70E-11	1.63E-11	1.54E-11	1.43E-11	1.33E-11	1.26E-11	1.18E-11
10	6	9.80E-12	1.64E-11	1.93E-11	2.06E-11	2.09E-11	1.98E-11	1.84E-11	1.71E-11	1.60E-11	1.50E-11	1.41E-11	1.33E-11
10	7	1.43E-11	2.46E-11	2.83E-11	3.00E-11	3.00E-11	2.86E-11	2.71E-11	2.52E-11	2.34E-11	2.18E-11	2.03E-11	1.88E-11
10	8	1.57E-11	2.76E-11	3.41E-11	4.03E-11	4.61E-11	4.63E-11	4.49E-11	4.30E-11	4.08E-11	3.86E-11	3.62E-11	3.40E-11
10	9	3.50E-11	7.11E-11	8.14E-11	8.31E-11	7.94E-11	7.42E-11	6.90E-11	6.34E-11	5.77E-11	5.26E-11	4.83E-11	4.38E-11
