I	J	5.000	10.000	15.000	20.000	25.000	30.000	35.000	40.000	45.000	50.000	55.000	60.000	65.000	70.000	75.000	80.000	85.000	90.000	95.000	100.000
2	1	1.37E-10	1.19E-10	1.10E-10	1.06E-10	1.03E-10	1.01E-10	9.92E-11	9.83E-11	9.76E-11	9.72E-11	9.70E-11	9.68E-11	9.67E-11	9.67E-11	9.67E-11	9.68E-11	9.68E-11	9.69E-11	9.70E-11	9.71E-11
3	1	6.87E-11	6.25E-11	5.77E-11	5.42E-11	5.16E-11	4.95E-11	4.77E-11	4.62E-11	4.48E-11	4.36E-11	4.25E-11	4.16E-11	4.07E-11	3.98E-11	3.91E-11	3.84E-11	3.78E-11	3.72E-11	3.67E-11	3.62E-11
3	2	1.67E-10	1.64E-10	1.59E-10	1.56E-10	1.53E-10	1.50E-10	1.49E-10	1.47E-10	1.46E-10	1.46E-10	1.45E-10	1.45E-10	1.44E-10	1.44E-10	1.44E-10	1.44E-10	1.45E-10	1.45E-10	1.45E-10	1.45E-10
4	1	2.78E-11	2.77E-11	2.66E-11	2.54E-11	2.43E-11	2.34E-11	2.26E-11	2.20E-11	2.15E-11	2.10E-11	2.07E-11	2.04E-11	2.02E-11	2.00E-11	1.99E-11	1.98E-11	1.98E-11	1.98E-11	1.98E-11	1.98E-11
4	2	1.03E-10	1.00E-10	9.66E-11	9.29E-11	8.95E-11	8.65E-11	8.38E-11	8.13E-11	7.92E-11	7.73E-11	7.56E-11	7.40E-11	7.27E-11	7.14E-11	7.03E-11	6.93E-11	6.84E-11	6.76E-11	6.69E-11	6.63E-11
4	3	1.68E-10	1.66E-10	1.64E-10	1.62E-10	1.61E-10	1.60E-10	1.59E-10	1.59E-10	1.59E-10	1.59E-10	1.60E-10	1.60E-10	1.61E-10	1.61E-10	1.62E-10	1.63E-10	1.63E-10	1.64E-10	1.65E-10	1.65E-10
5	1	1.85E-11	1.77E-11	1.69E-11	1.62E-11	1.55E-11	1.50E-11	1.45E-11	1.40E-11	1.37E-11	1.33E-11	1.31E-11	1.28E-11	1.26E-11	1.24E-11	1.23E-11	1.22E-11	1.20E-11	1.19E-11	1.19E-11	1.18E-11
5	2	4.66E-11	4.75E-11	4.79E-11	4.79E-11	4.77E-11	4.75E-11	4.74E-11	4.72E-11	4.71E-11	4.71E-11	4.71E-11	4.71E-11	4.72E-11	4.73E-11	4.74E-11	4.76E-11	4.77E-11	4.79E-11	4.81E-11	4.82E-11
5	3	1.18E-10	1.16E-10	1.13E-10	1.09E-10	1.06E-10	1.04E-10	1.01E-10	9.93E-11	9.73E-11	9.55E-11	9.39E-11	9.24E-11	9.11E-11	8.98E-11	8.87E-11	8.77E-11	8.67E-11	8.59E-11	8.51E-11	8.44E-11
5	4	1.71E-10	1.68E-10	1.65E-10	1.63E-10	1.62E-10	1.61E-10	1.61E-10	1.61E-10	1.61E-10	1.62E-10	1.62E-10	1.63E-10	1.64E-10	1.64E-10	1.65E-10	1.66E-10	1.67E-10	1.67E-10	1.68E-10	1.69E-10
6	1	1.46E-11	1.39E-11	1.38E-11	1.38E-11	1.39E-11	1.40E-11	1.41E-11	1.41E-11	1.42E-11	1.42E-11	1.42E-11	1.43E-11	1.43E-11	1.43E-11	1.43E-11	1.43E-11	1.43E-11	1.43E-11	1.43E-11	1.43E-11
6	2	4.12E-11	3.88E-11	3.73E-11	3.64E-11	3.56E-11	3.50E-11	3.44E-11	3.38E-11	3.33E-11	3.28E-11	3.24E-11	3.20E-11	3.16E-11	3.13E-11	3.10E-11	3.07E-11	3.04E-11	3.02E-11	3.00E-11	2.98E-11
6	3	6.75E-11	6.65E-11	6.60E-11	6.58E-11	6.57E-11	6.55E-11	6.54E-11	6.53E-11	6.52E-11	6.50E-11	6.49E-11	6.48E-11	6.48E-11	6.47E-11	6.46E-11	6.46E-11	6.46E-11	6.46E-11	6.45E-11	6.45E-11
6	4	1.12E-10	1.14E-10	1.14E-10	1.12E-10	1.11E-10	1.09E-10	1.07E-10	1.05E-10	1.04E-10	1.02E-10	1.01E-10	9.94E-11	9.81E-11	9.69E-11	9.58E-11	9.48E-11	9.39E-11	9.30E-11	9.22E-11	9.15E-11
6	5	1.77E-10	1.71E-10	1.65E-10	1.61E-10	1.58E-10	1.56E-10	1.55E-10	1.55E-10	1.55E-10	1.55E-10	1.55E-10	1.56E-10	1.56E-10	1.57E-10	1.58E-10	1.59E-10	1.59E-10	1.60E-10	1.61E-10	1.62E-10
