R	Gamma	E
2.40	10	6312.609649
2.40	20	5316.13918
2.40	30	4069.429882
2.40	40	2906.084859
2.40	50	2005.718073
2.40	60	1401.382674
2.40	70	1045.945539
2.40	80	872.248162
2.40	90	826.474131
2.40	100	884.631644
2.40	110	1071.070329
2.40	120	1498.281298
2.40	130	2447.732962
2.40	140	4484.842389
2.40	150	8464.712054
2.40	160	15000.873517
2.40	170	23048.36309
2.40	180	27483.968432
2.50	0	4587.358088
2.50	10	4325.36689
2.50	20	3645.859357
2.50	30	2789.620252
2.50	40	1984.591967
2.50	50	1358.326553
2.50	60	937.436562
2.50	70	690.81359
2.50	80	571.607015
2.50	90	541.457882
2.50	100	583.06145
2.50	110	713.422265
2.50	120	1012.491459
2.50	130	1681.892961
2.50	140	3126.308484
2.50	150	5950.258503
2.50	160	10542.170828
2.50	170	15968.443326
2.50	180	18764.312639
2.60	0	3121.801665
2.60	10	2943.977234
2.60	20	2481.410845
2.60	30	1895.318785
2.60	40	1340.984484
2.60	50	908.097768
2.60	60	617.124874
2.60	70	447.45175
2.60	80	366.442266
2.60	90	346.770781
2.60	100	375.951813
2.60	110	465.742708
2.60	120	672.230612
2.60	130	1138.094606
2.60	140	2149.910628
2.60	150	4130.88435
2.60	160	7327.126654
2.60	170	10997.366846
2.60	180	12808.858839
2.70	0	2108.882081
2.70	10	1988.380308
2.70	20	1674.218272
2.70	30	1274.438078
2.70	40	894.652284
2.70	50	597.413203
2.70	60	397.855288
2.70	70	282.19086
2.70	80	227.712702
2.70	90	214.993863
2.70	100	235.034127
2.70	110	295.871966
2.70	120	436.382552
2.70	130	756.29922
2.70	140	1456.479813
2.70	150	2830.592505
2.70	160	5034.744843
2.70	170	7514.975315
2.70	180	8705.515718
2.80	0	1411.970179
2.80	10	1330.547839
2.80	20	1117.837388
2.80	30	846.224123
2.80	40	587.474403
2.80	50	384.890045
2.80	60	249.250604
2.80	70	171.194463
2.80	80	134.95963
2.80	90	126.800722
2.80	100	140.243672
2.80	110	180.682953
2.80	120	274.764492
2.80	130	491.33621
2.80	140	969.739646
2.80	150	1912.161369
2.80	160	3417.67308
2.80	170	5087.858301
2.80	180	5874.9141
2.90	0	934.783436
2.90	10	880.00813
2.90	20	736.590776
2.90	30	552.970979
2.90	40	377.851901
2.90	50	240.960095
2.90	60	149.704926
2.90	70	97.627789
2.90	80	73.823815
2.90	90	68.632283
2.90	100	77.408039
2.90	110	103.656487
2.90	120	165.437831
2.90	130	309.709518
2.90	140	632.115037
2.90	150	1270.857023
2.90	160	2288.950809
2.90	170	3407.572886
2.90	180	3928.108807
3.00	0	609.804375
3.00	10	573.173868
3.00	20	477.047701
3.00	30	353.731704
3.00	40	236.182802
3.00	50	144.599195
3.00	60	83.926283
3.00	70	49.659504
3.00	80	34.268811
3.00	90	31.006901
3.00	100	36.54914
3.00	110	53.062694
3.00	120	92.623501
3.00	130	186.913823
3.00	140	400.865113
3.00	150	828.241484
3.00	160	1509.454999
3.00	170	2253.237485
3.00	180	2596.310362
3.10	0	389.905148
3.10	10	365.600438
3.10	20	301.680953
3.10	30	219.593035
