R,theta2,E
2.5,0,4136.939038
2.5,30,3414.301401
2.5,60,3005.982523
2.5,90,3193.586886
2.6,0,3159.834403
2.6,30,2580.411149
2.6,60,2227.554038
2.6,90,2356.329662
2.7,0,2384.587523
2.7,30,1922.781484
2.7,60,1621.53371
2.7,90,1707.099178
2.8,0,1776.697902
2.8,30,1411.070147
2.8,60,1156.509787
2.8,90,1210.246528
2.9,0,1305.258053
2.9,30,1017.855974
2.9,60,805.026876
2.9,90,835.327227
3.0,0,943.75577
3.0,30,719.77799
3.0,60,542.961454
3.0,90,556.118587
3.1,0,669.712215
3.1,30,496.737302
3.1,60,350.862614
3.1,90,351.643552
3.2,0,464.447107
3.2,30,332.206825
3.2,60,212.350313
3.2,90,204.427802
3.3,0,312.66704
3.3,30,212.657325
3.3,60,114.450839
3.3,90,100.638478
3.4,0,202.018316
3.4,30,127.24749
3.4,60,46.825278
3.4,90,29.259416
3.5,0,122.642121
3.5,30,67.419018
3.5,60,1.432038
3.5,90,-18.300889
3.6,0,66.756971
3.6,30,26.504361
3.6,60,-27.889927
3.6,90,-48.639367
3.7,0,28.286253
3.7,30,-0.62866
3.7,60,-45.769441
3.7,90,-66.740147
3.8,0,2.538016
3.8,30,-17.875989
3.8,60,-55.670246
3.8,90,-76.308103
3.9,0,-14.06529
3.9,30,-28.184764
3.9,60,-60.115768
3.9,90,-80.044113
4.0,0,-24.212604
4.0,30,-33.707265
4.0,60,-60.926237
4.0,90,-79.930762
4.1,0,-29.893341
4.1,30,-36.016549
4.1,60,-59.39652
4.1,90,-77.340004
4.2,0,-32.554111
4.2,30,-36.231497
4.2,60,-56.434313
4.2,90,-73.250869
4.3,0,-33.227116
4.3,30,-35.13271
4.3,60,-52.667534
4.3,90,-68.341871
4.4,0,-32.635354
4.4,30,-33.254675
4.4,60,-48.523497
4.4,90,-63.076049
4.5,0,-31.275732
4.5,30,-30.957693
4.5,60,-44.287519
4.5,90,-57.762992
4.6,0,-29.484403
4.6,30,-28.481231
4.6,60,-40.14449
4.6,90,-52.603267
4.7,0,-27.485321
4.7,30,-25.98187
4.7,60,-36.209253
4.7,90,-47.719754
4.8,0,-25.425728
4.8,30,-23.559752
4.8,60,-32.547814
4.8,90,-43.180587
4.9,0,-23.40045
4.9,30,-21.276539
4.9,60,-29.192926
4.9,90,-39.016136
5.0,0,-21.469148
5.0,30,-19.167682
5.0,60,-26.142898
5.0,90,-35.231527
5.1,0,-19.667071
5.1,30,-17.250686
5.1,60,-23.417625
5.1,90,-31.815744
5.2,0,-18.012955
5.2,30,-15.530442
5.2,60,-20.989139
5.2,90,-28.748102
5.3,0,-16.514024
5.3,30,-14.003142
5.3,60,-18.836511
5.3,90,-26.002586
5.4,0,-15.158014
5.4,30,-12.658591
5.4,60,-16.935546
5.4,90,-23.551138
5.5,0,-13.962109
5.5,30,-11.482239
5.5,60,-15.260697
5.5,90,-21.365429
5.6,0,-12.902689
5.6,30,-10.4569
5.6,60,-13.786532
5.6,90,-19.417804
5.7,0,-11.966417
5.7,30,-9.564369
5.7,60,-12.489119
5.7,90,-17.682503
5.8,0,-11.138798
5.8,30,-8.786564
5.8,60,-11.346455
5.8,90,-16.136078
5.9,0,-10.405429
5.9,30,-8.106901
5.9,60,-10.338938
5.9,90,-14.757132
6.0,0,-9.752996
6.0,30,-7.510602
6.0,60,-9.44941
6.0,90,-13.526648
6.2,0,-8.644667
6.2,30,-6.520139
6.2,60,-7.967292
6.2,90,-11.446226
6.4,0,-7.737436
6.4,30,-5.737916
6.4,60,-6.804572
6.4,90,-9.783505
6.6,0,-6.976984
6.6,30,-5.109886
6.6,60,-5.88923
6.6,90,-8.451708
6.8,0,-6.324217
6.8,30,-4.596643
6.8,60,-5.165418
6.8,90,-7.381505
7.0,0,-5.75225
7.0,30,-4.16907
7.0,60,-4.588881
7.0,90,-6.516741
7.2,0,-5.24466
7.2,30,-3.807108
7.2,60,-4.124825
7.2,90,-5.811806
7.4,0,-4.792967
7.4,30,-3.497608
7.4,60,-3.746695
7.4,90,-5.23082
7.6,0,-4.393207
7.6,30,-3.232454
7.6,60,-3.434682
7.6,90,-4.746268
7.8,0,-4.042473
7.8,30,-3.005316
7.8,60,-3.174225
7.8,90,-4.337728
8.0,0,-3.736908
8.0,30,-2.810728
8.0,60,-2.954564
8.0,90,-3.990081
8.2,0,-3.471316
8.2,30,-2.643436
8.2,60,-2.767539
8.2,90,-3.691913
8.4,0,-3.239561
8.4,30,-2.498438
8.4,60,-2.606816
8.4,90,-3.43418
8.6,0,-3.035848
8.6,30,-2.371269
8.6,60,-2.467153
8.6,90,-3.20984
8.8,0,-2.855305
8.8,30,-2.258466
