R,theta1,E
2.5,0,51042.174027
2.5,30,18775.238798
2.5,60,3835.688732
2.5,90,2295.82976
2.5,120,3835.688754
2.5,150,18775.23875
2.5,180,51042.174074
2.6,0,46095.029336
2.6,30,15900.593706
2.6,60,2917.836134
2.6,90,1631.196966
2.6,120,2917.836191
2.6,150,15900.593729
2.6,180,46095.029451
2.7,0,43000.261263
2.7,30,13202.080756
2.7,60,2191.142769
2.7,90,1138.909027
2.7,120,2191.142771
2.7,150,13202.080808
2.7,180,43000.261128
2.8,0,36441.898565
2.8,30,10747.127459
2.8,60,1622.41299
2.8,90,778.126718
2.8,120,1622.412997
2.8,150,10747.127467
2.8,180,36441.898586
2.9,0,28291.688128
2.9,30,8635.396381
2.9,60,1182.879545
2.9,90,516.812573
2.9,120,1182.879526
2.9,150,8635.396372
2.9,180,28291.688132
3.0,0,21671.330383
3.0,30,6824.87889
3.0,60,847.117908
3.0,90,330.013925
3.0,120,847.117911
3.0,150,6824.87894
3.0,180,21671.330414
3.1,0,16393.238846
3.1,30,5308.66728
3.1,60,593.811605
3.1,90,198.459921
3.1,120,593.811564
3.1,150,5308.667311
3.1,180,16393.238974
3.2,0,12344.943175
3.2,30,4068.220379
3.2,60,405.147053
3.2,90,107.415925
3.2,120,405.147068
3.2,150,4068.220309
3.2,180,12344.943159
3.3,0,9222.347988
3.3,30,3073.038538
3.3,60,266.557716
3.3,90,45.748218
3.3,120,266.557745
3.3,150,3073.038572
3.3,180,9222.347884
3.4,0,6825.513366
3.4,30,2287.770627
3.4,60,166.303831
3.4,90,5.111647
3.4,120,166.303819
3.4,150,2287.770604
3.4,180,6825.513403
3.5,0,5001.202733
3.5,30,1677.194334
3.5,60,95.045984
3.5,90,-20.650074
3.5,120,95.045984
3.5,150,1677.194352
3.5,180,5001.202739
3.6,0,3623.993298
3.6,30,1208.74917
3.6,60,45.442352
3.6,90,-36.059164
3.6,120,45.442306
3.6,150,1208.749136
3.6,180,3623.993293
3.7,0,2592.711372
3.7,30,854.051459
3.7,60,11.786293
3.7,90,-44.403442
3.7,120,11.786261
3.7,150,854.051492
3.7,180,2592.711376
3.8,0,1826.927332
3.8,30,588.876983
3.8,60,-10.304683
3.8,90,-48.042501
3.8,120,-10.304682
3.8,150,588.876961
3.8,180,1826.927333
3.9,0,1263.332821
3.9,30,393.347855
3.9,60,-24.151376
3.9,90,-48.638135
3.9,120,-24.151386
3.9,150,393.347852
3.9,180,1263.33285
4.0,0,852.567184
4.0,30,251.258064
4.0,60,-32.232129
4.0,90,-47.333238
4.0,120,-32.232151
4.0,150,251.258068
4.0,180,852.567175
4.1,0,556.479356
4.1,30,149.651308
4.1,60,-36.365548
4.1,90,-44.896515
4.1,120,-36.365524
