R,theta1,E
2.5,0,75627.677135
2.5,30,20498.280097
2.5,60,4137.168801
2.5,90,2424.733504
2.5,120,4137.168792
2.5,150,20498.280099
2.5,180,75627.677084
2.6,0,65099.904945
2.6,30,16987.854111
2.6,60,3160.073135
2.6,90,1727.256875
2.6,120,3160.073116
2.6,150,16987.854109
2.6,180,65099.904928
2.7,0,61231.318532
2.7,30,13945.968061
2.7,60,2384.83329
2.7,90,1209.59169
2.7,120,2384.833294
2.7,150,13945.96803
2.7,180,61231.318522
2.8,0,60923.133533
2.8,30,11239.725914
2.8,60,1776.949133
2.8,90,829.380982
2.8,120,1776.949115
2.8,150,11239.725939
2.8,180,60923.133597
2.9,0,62376.954976
2.9,30,8957.342314
2.9,60,1305.513547
2.9,90,553.415544
2.9,120,1305.513532
2.9,150,8957.342317
2.9,180,62376.955042
3.0,0,21532.735044
3.0,30,7056.635779
3.0,60,944.014531
3.0,90,355.788544
3.0,120,944.014531
3.0,150,7056.635785
3.0,180,21532.73502
3.1,0,16268.504984
3.1,30,5478.806436
3.1,60,669.973486
3.1,90,216.415326
3.1,120,669.97347
3.1,150,5478.806457
3.1,180,16268.504973
3.2,0,12180.320232
3.2,30,4192.759721
3.2,60,464.710351
3.2,90,119.859697
3.2,120,464.710378
3.2,150,4192.759768
3.2,180,12180.320185
3.3,0,9077.099779
3.3,30,3162.919333
3.3,60,312.931722
3.3,90,54.397423
3.3,120,312.931705
3.3,150,3162.91934
3.3,180,9077.09972
3.4,0,6699.004448
3.4,30,2350.890197
3.4,60,202.284103
3.4,90,11.208702
3.4,120,202.284106
3.4,150,2350.890262
3.4,180,6699.004429
3.5,0,4888.508221
3.5,30,1719.463871
3.5,60,122.908777
3.5,90,-16.226575
3.5,120,122.908763
3.5,150,1719.463939
3.5,180,4888.508174
3.6,0,3521.599419
3.6,30,1234.766563
3.6,60,67.02425
3.6,90,-32.696287
3.6,120,67.024258
3.6,150,1234.766568
3.6,180,3521.59942
3.7,0,2498.219044
3.7,30,867.482619
3.7,60,28.553962
3.7,90,-41.676247
3.7,120,28.553973
3.7,150,867.482594
3.7,180,2498.219034
3.8,0,1738.832143
3.8,30,592.725567
3.8,60,2.805977
3.8,90,-45.660465
3.8,120,2.805993
3.8,150,592.725558
3.8,180,1738.832121
3.9,0,1180.804258
3.9,30,390.079624
3.9,60,-13.797049
3.9,90,-46.41088
3.9,120,-13.797016
3.9,150,390.079651
3.9,180,1180.804208
4.0,0,775.200123
4.0,30,242.914828
4.0,60,-23.944203
4.0,90,-45.148686
4.0,120,-23.944214
4.0,150,242.914786
4.0,180,775.200101
4.1,0,484.11947
4.1,30,137.90154
4.1,60,-29.624886
4.1,90,-42.703608
4.1,120,-29.624855
4.1,150,137.901587
4.1,180,484.119542
4.2,0,278.418279
4.2,30,64.483316
4.2,60,-32.285534
4.2,90,-39.629652
4.2,120,-32.285536
4.2,150,64.483318
4.2,180,278.418266
4.3,0,135.791665
4.3,30,14.40954
4.3,60,-32.95852
4.3,90,-36.290552
4.3,120,-32.958513
4.3,150,14.409506
4.3,180,135.79167
4.4,0,39.246326
4.4,30,-18.67223
4.4,60,-32.366697
4.4,90,-32.920204
4.4,120,-32.366704
4.4,150,-18.672249
4.4,180,39.246333
4.5,0,-24.078618
4.5,30,-39.576347
4.5,60,-31.007023
4.5,90,-29.663136
4.5,120,-31.007046
4.5,150,-39.576338
4.5,180,-24.078607
4.6,0,-63.819016
4.6,30,-51.898339
4.6,60,-29.215689
4.6,90,-26.603293
4.6,120,-29.215689
4.6,150,-51.89833
4.6,180,-63.819039
4.7,0,-87.100958
4.7,30,-58.289963
4.7,60,-27.216586
4.7,90,-23.784792
4.7,120,-27.216597
4.7,150,-58.289935
4.7,180,-87.100984
4.8,0,-99.117311
4.8,30,-60.684601
4.8,60,-25.156966
4.8,90,-21.22777
4.8,120,-25.156988
4.8,150,-60.684615
4.8,180,-99.117298
4.9,0,-103.59839
4.9,30,-60.472289
4.9,60,-23.131741
4.9,90,-18.938108
4.9,120,-23.13174
4.9,150,-60.472309
4.9,180,-103.598369
5.0,0,-103.190239
5.0,30,-58.632967
5.0,60,-21.200436
5.0,90,-16.912837
5.0,120,-21.200415
5.0,150,-58.632947
5.0,180,-103.190209
5.1,0,-99.746978
5.1,30,-55.840644
5.1,60,-19.39836
5.1,90,-15.141669
5.1,120,-19.398363
5.1,150,-55.840657
5.1,180,-99.746958
5.2,0,-94.547454
5.2,30,-52.547044
5.2,60,-17.744263
5.2,90,-13.607977
5.2,120,-17.744255
5.2,150,-52.547053
5.2,180,-94.547449
5.3,0,-88.453247
5.3,30,-49.048202
5.3,60,-16.245323
5.3,90,-12.289543
5.3,120,-16.245324
5.3,150,-49.048261
5.3,180,-88.453246
5.4,0,-82.026553
5.4,30,-45.534192
5.4,60,-14.889281
5.4,90,-11.160872
5.4,120,-14.889269
5.4,150,-45.534207
5.4,180,-82.026569
5.5,0,-75.620677
5.5,30,-42.123584
5.5,60,-13.693381
5.5,90,-10.195287
5.5,120,-13.693378
5.5,150,-42.123534
5.5,180,-75.620653
5.6,0,-69.448093
5.6,30,-38.886241
5.6,60,-12.63398
5.6,90,-9.367506
5.6,120,-12.633985
5.6,150,-38.886255
5.6,180,-69.448093
5.7,0,-63.629044
5.7,30,-35.858896
5.7,60,-11.697646
5.7,90,-8.654855
5.7,120,-11.697633
5.7,150,-35.858878
5.7,180,-63.62901
5.8,0,-58.223966
5.8,30,-33.056072
5.8,60,-10.870068
5.8,90,-8.038248
5.8,120,-10.870067
5.8,150,-33.056072
5.8,180,-58.223983
5.9,0,-53.25468
5.9,30,-30.478789
5.9,60,-10.136737
5.9,90,-7.501846
5.9,120,-10.136723
5.9,150,-30.478782
5.9,180,-53.254696
6.0,0,-48.718487
