R,theta2,E
2.5,0,4137.168801
2.5,30,3462.079673
2.5,60,3025.739922
2.5,90,3156.55954
2.6,0,3160.073135
2.6,30,2620.33899
2.6,60,2249.966821
2.6,90,2337.05539
2.7,0,2384.83329
2.7,30,1955.778306
2.7,60,1644.368056
2.7,90,1699.600762
2.8,0,1776.949133
2.8,30,1438.050318
2.8,60,1178.422389
2.8,90,1210.451496
2.9,0,1305.513547
2.9,30,1039.6975
2.9,60,825.272088
2.9,90,840.4617
3.0,0,944.014531
3.0,30,737.283721
3.0,60,561.198253
3.0,90,564.256326
3.1,0,669.973486
3.1,30,510.633216
3.1,60,366.994071
3.1,90,361.474876
3.2,0,464.710351
3.2,30,343.13425
3.2,60,226.437261
3.2,90,215.042827
3.3,0,312.931722
3.3,30,221.175546
3.3,60,126.640394
3.3,90,111.42393
3.4,0,202.284103
3.4,30,133.835962
3.4,60,57.308719
3.4,90,39.807669
3.5,0,122.908777
3.5,30,72.480512
3.5,60,10.415569
3.5,90,-8.248401
3.6,0,67.02425
3.6,30,30.371094
3.6,60,-20.203856
3.6,90,-39.233002
3.7,0,28.553962
3.7,30,2.312342
3.7,60,-39.197321
3.7,90,-58.052542
3.8,0,2.805977
3.8,30,-15.653601
3.8,60,-50.027927
3.8,90,-68.358343
3.9,0,-13.797049
3.9,30,-26.494052
3.9,60,-55.282157
3.9,90,-72.818017
4.0,0,-23.944203
4.0,30,-32.430745
4.0,60,-56.764467
4.0,90,-73.385008
4.1,0,-29.624886
4.1,30,-35.053433
4.1,60,-55.801138
4.1,90,-71.424758
4.2,0,-32.285534
4.2,30,-35.50549
4.2,60,-53.317529
4.2,90,-67.911028
4.3,0,-32.95852
4.3,30,-34.58641
4.3,60,-49.956325
4.3,90,-63.521565
4.4,0,-32.366697
4.4,30,-32.844713
4.4,60,-46.157093
4.4,90,-58.721481
4.5,0,-31.007023
4.5,30,-30.651167
4.5,60,-42.21505
4.5,90,-53.824185
4.6,0,-29.215689
4.6,30,-28.252741
4.6,60,-38.322959
4.6,90,-49.034328
4.7,0,-27.216586
4.7,30,-25.811765
4.7,60,-34.601786
4.7,90,-44.479431
4.8,0,-25.156966
4.8,30,-23.432451
4.8,60,-31.111064
4.8,90,-40.232118
4.9,0,-23.131741
4.9,30,-21.180051
4.9,60,-27.912893
4.9,90,-36.327308
5.0,0,-21.200436
5.0,30,-19.092513
5.0,60,-25.008229
5.0,90,-32.774013
5.1,0,-19.39836
5.1,30,-17.189604
5.1,60,-22.39574
5.1,90,-29.564863
5.2,0,-17.744263
5.2,30,-15.477937
5.2,60,-20.063883
5.2,90,-26.68223
5.3,0,-16.245323
5.3,30,-13.955095
5.3,60,-17.994451
5.3,90,-24.102782
5.4,0,-14.889281
5.4,30,-12.611885
5.4,60,-16.165636
5.4,90,-21.800559
5.5,0,-13.693381
5.5,30,-11.434713
5.5,60,-14.553544
5.5,90,-19.74901
5.6,0,-12.63398
5.6,30,-10.406962
5.6,60,-13.13436
5.6,90,-17.922238
5.7,0,-11.697646
5.7,30,-9.510827
5.7,60,-11.88519
5.7,90,-16.295864
5.8,0,-10.870068
5.8,30,-8.728573
5.8,60,-10.78498
5.8,90,-14.847421
5.9,0,-10.136737
5.9,30,-8.0438
5.9,60,-9.814766
5.9,90,-13.55679
6.0,0,-9.484294
6.0,30,-7.442006
6.0,60,-8.958064
6.0,90,-12.40588
6.2,0,-8.375907
6.2,30,-6.439472
6.2,60,-7.529971
6.2,90,-10.461925
6.4,0,-7.468788
6.4,30,-5.644567
6.4,60,-6.408685
6.4,90,-8.910538
6.6,0,-6.708249
6.6,30,-5.003651
6.6,60,-5.525078
6.6,90,-7.669933
6.8,0,-6.05553
6.8,30,-4.477554
6.8,60,-4.825452
6.8,90,-6.67493
7.0,0,-5.483559
7.0,30,-4.037447
7.0,60,-4.267313
7.0,90,-5.872539
7.2,0,-4.975972
7.2,30,-3.663396
7.2,60,-3.817136
7.2,90,-5.219754
7.4,0,-4.524329
