R,theta1,E
2.5,0,27962.578544
2.5,30,13083.523813
2.5,60,3193.586886
2.5,90,2187.092193
2.5,120,3193.586873
2.5,150,13083.523797
2.5,180,27962.57858
2.6,0,34877.541408
2.6,30,11905.212574
2.6,60,2356.329662
2.6,90,1543.288397
2.6,120,2356.329659
2.6,150,11905.212621
2.6,180,34877.541407
2.7,0,41908.219458
2.7,30,10442.246539
2.7,60,1707.099178
2.7,90,1070.705802
2.7,120,1707.099193
2.7,150,10442.246591
2.7,180,41908.219395
2.8,0,48390.902054
2.8,30,8814.16647
2.8,60,1210.246528
2.8,90,727.069131
2.8,120,1210.246569
2.8,150,8814.166416
2.8,180,48390.902066
2.9,0,54218.288905
2.9,30,7204.987701
2.9,60,835.327227
2.9,90,479.681547
2.9,120,835.327255
2.9,150,7204.987716
2.9,180,54218.288865
3.0,0,59162.590994
3.0,30,5739.307842
3.0,60,556.118587
3.0,90,303.508622
3.0,120,556.118561
3.0,150,5739.307836
3.0,180,59162.590912
3.1,0,16988.986396
3.1,30,4475.399893
3.1,60,351.643552
3.1,90,179.577449
3.1,120,351.643545
3.1,150,4475.399899
3.1,180,16988.98635
3.2,0,12759.718894
3.2,30,3426.295212
3.2,60,204.427802
3.2,90,93.644779
3.2,120,204.42781
3.2,150,3426.295193
3.2,180,12759.718932
3.3,0,9528.911506
3.3,30,2579.713412
3.3,60,100.638478
3.3,90,35.117714
3.3,120,100.638488
3.3,150,2579.713423
3.3,180,9528.911516
3.4,0,7075.672685
3.4,30,1911.519742
3.4,60,29.259416
3.4,90,-3.843018
3.4,120,29.259389
3.4,150,1911.519748
3.4,180,7075.672663
3.5,0,5223.425113
3.5,30,1393.798752
3.5,60,-18.300889
3.5,90,-28.950633
3.5,120,-18.30085
3.5,150,1393.798774
3.5,180,5223.425129
3.6,0,3832.729836
3.6,30,999.082731
3.6,60,-48.639367
3.6,90,-44.350333
3.6,120,-48.63935
3.6,150,999.082718
3.6,180,3832.729778
3.7,0,2794.507306
3.7,30,702.70992
3.7,60,-66.740147
3.7,90,-53.016653
3.7,120,-66.74018
3.7,150,702.709954
3.7,180,2794.507322
3.8,0,2024.039698
3.8,30,483.265306
3.8,60,-76.308103
3.8,90,-57.067517
3.8,120,-76.308152
3.8,150,483.265285
3.8,180,2024.039691
3.9,0,1455.857227
3.9,30,323.115176
3.9,60,-80.044113
3.9,90,-58.004059
3.9,120,-80.044082
3.9,150,323.115162
3.9,180,1455.85721
4.0,0,1039.555293
