R	0	30	60	90	120	150	180
2.5	75627.677135	20498.420633	4136.643775	2424.3724	4136.643781	20498.42064	75627.677084
2.6	65099.904945	16987.94459	3159.527486	1726.895394	3159.527469	16987.944558	65099.904928
2.7	61231.318532	13946.020674	2384.271639	1209.230288	2384.271672	13946.02064	61231.318522
2.8	60923.133533	11239.748372	1776.375022	829.020012	1776.375011	11239.748398	60923.133597
2.9	62376.954976	8957.337027	1304.929705	553.055087	1304.929704	8957.337021	62376.955042
3.0	21532.735044	7056.610068	943.423197	355.428667	943.42318	7056.6101	21532.73502
3.1	16268.504984	5478.764674	669.376345	216.055997	669.376369	5478.764662	16268.504973
3.2	12180.320232	4192.70546	464.108787	119.500823	464.10878	4192.70548	12180.320185
3.3	9077.099779	3162.855422	312.326769	54.03908	312.326776	3162.855382	9077.09972
3.4	6699.004449	2350.819054	201.676641	10.85069	201.676673	2350.819053	6699.004428
3.5	4888.508221	1719.387229	122.299446	-16.584287	122.299478	1719.387241	4888.508174
3.6	3521.599419	1234.685955	66.413497	-33.053675	66.413521	1234.685936	3521.59942
3.7	2498.219044	867.39909	27.942208	-42.0335	27.942209	867.399136	2498.219034
3.8	1738.832143	592.639878	2.193518	-46.017551	2.193531	592.639885	1738.832121
3.9	1180.804258	389.992477	-14.410041	-46.7679	-14.410056	389.992474	1180.804208
4.0	775.200123	242.826594	-24.557557	-45.505639	-24.557521	242.826555	775.200101
4.1	484.11947	137.812633	-30.23847	-43.060579	-30.238469	137.812616	484.119542
4.2	278.418279	64.393931	-32.899331	-39.986611	-32.899323	64.393909	278.418266
4.3	135.791665	14.319794	-33.572371	-36.647522	-33.572392	14.319755	135.79167
4.4	39.246326	-18.762151	-32.980651	-33.277155	-32.980653	-18.762164	39.246333
4.5	-24.078618	-39.666378	-31.621111	-30.020122	-31.621117	-39.666342	-24.078607
4.6	-63.819016	-51.988385	-29.829768	-26.960294	-29.82977	-51.98837	-63.819039
4.7	-87.100958	-58.380013	-27.830696	-24.141857	-27.830717	-58.380033	-87.100984
4.8	-99.117311	-60.774688	-25.77107	-21.584878	-25.771054	-60.774671	-99.117298
4.9	-103.59839	-60.562319	-23.745864	-19.295231	-23.745847	-60.562302	-103.598369
5.0	-103.190239	-58.722987	-21.814525	-17.269968	-21.814531	-58.722991	-103.190209
5.1	-99.746978	-55.930596	-20.012441	-15.498827	-20.012444	-55.930605	-99.746958
