R,phi,E
2.5,0,51042.174027
2.5,30,51042.174027
2.5,60,51042.174027
2.5,90,51042.174027
2.6,0,46095.029336
2.6,30,46095.029336
2.6,60,46095.029336
2.6,90,46095.029336
2.7,0,43000.261263
2.7,30,43000.261263
2.7,60,43000.261263
2.7,90,43000.261263
2.8,0,36441.898565
2.8,30,36441.898565
2.8,60,36441.898565
2.8,90,36441.898565
2.9,0,28291.688128
2.9,30,28291.688128
2.9,60,28291.688128
2.9,90,28291.688128
3.0,0,21671.330383
3.0,30,21671.330383
3.0,60,21671.330383
3.0,90,21671.330383
3.1,0,16393.238846
3.1,30,16393.238846
3.1,60,16393.238846
3.1,90,16393.238846
3.2,0,12344.943175
3.2,30,12344.943175
3.2,60,12344.943175
3.2,90,12344.943175
3.3,0,9222.347988
3.3,30,9222.347988
3.3,60,9222.347988
3.3,90,9222.347988
3.4,0,6825.513366
3.4,30,6825.513366
3.4,60,6825.513366
3.4,90,6825.513366
3.5,0,5001.202733
3.5,30,5001.202733
3.5,60,5001.202733
3.5,90,5001.202733
3.6,0,3623.993298
3.6,30,3623.993298
3.6,60,3623.993298
3.6,90,3623.993298
3.7,0,2592.711372
3.7,30,2592.711372
3.7,60,2592.711372
3.7,90,2592.711372
3.8,0,1826.927332
3.8,30,1826.927332
3.8,60,1826.927332
3.8,90,1826.927332
3.9,0,1263.332821
3.9,30,1263.332821
3.9,60,1263.332821
3.9,90,1263.332821
4.0,0,852.567184
4.0,30,852.567184
4.0,60,852.567184
4.0,90,852.567184
4.1,0,556.479356
4.1,30,556.479356
4.1,60,556.479356
4.1,90,556.479356
4.2,0,345.785006
4.2,30,345.785006
4.2,60,345.785006
4.2,90,345.785005
4.3,0,198.127999
4.3,30,198.127999
4.3,60,198.127999
4.3,90,198.127999
4.4,0,96.536766
4.4,30,96.536766
4.4,60,96.536766
4.4,90,96.536766
4.5,0,28.219828
4.5,30,28.219828
4.5,60,28.219828
4.5,90,28.219828
4.6,0,-16.371212
4.6,30,-16.371212
4.6,60,-16.371212
4.6,90,-16.371212
4.7,0,-44.277771
4.7,30,-44.277771
4.7,60,-44.277771
4.7,90,-44.277771
4.8,0,-60.625234
4.8,30,-60.625234
4.8,60,-60.625234
4.8,90,-60.625234
4.9,0,-69.102968
4.9,30,-69.102968
4.9,60,-69.102968
4.9,90,-69.102968
5.0,0,-72.342491
5.0,30,-72.342491
5.0,60,-72.342491
5.0,90,-72.342491
5.1,0,-72.201234
5.1,30,-72.201234
5.1,60,-72.201234
5.1,90,-72.201234
5.2,0,-69.968558
5.2,30,-69.968558
5.2,60,-69.968558
5.2,90,-69.968558
5.3,0,-66.518888
5.3,30,-66.518888
5.3,60,-66.518888
5.3,90,-66.518888
5.4,0,-62.431039
5.4,30,-62.431039
5.4,60,-62.431039
5.4,90,-62.431039
5.5,0,-58.080234
5.5,30,-58.080234
5.5,60,-58.080234
5.5,90,-58.080234
5.6,0,-53.70681
5.6,30,-53.70681
5.6,60,-53.70681
5.6,90,-53.70681
5.7,0,-49.461973
5.7,30,-49.461973
5.7,60,-49.461973
5.7,90,-49.461973
5.8,0,-45.437092
5.8,30,-45.437092
5.8,60,-45.437092
5.8,90,-45.437092
5.9,0,-41.682508
5.9,30,-41.682508
5.9,60,-41.682508
5.9,90,-41.682508
6.0,0,-38.220264
6.0,30,-38.220264
6.0,60,-38.220263
6.0,90,-38.220264
6.2,0,-32.171698
6.2,30,-32.171698
6.2,60,-32.171698
6.2,90,-32.171698
6.4,0,-27.186679
6.4,30,-27.186679
6.4,60,-27.186679
6.4,90,-27.186679
6.6,0,-23.121541
6.6,30,-23.121541
6.6,60,-23.121541
6.6,90,-23.121541
6.8,0,-19.791392
6.8,30,-19.791392
6.8,60,-19.791392
6.8,90,-19.791392
7.0,0,-17.051975
7.0,30,-17.051975
7.0,60,-17.051975
7.0,90,-17.051975
7.2,0,-14.790465
7.2,30,-14.790465
7.2,60,-14.790465
7.2,90,-14.790465
7.4,0,-12.916743
7.4,30,-12.916743
7.4,60,-12.916743
7.4,90,-12.916743
7.6,0,-11.356306
7.6,30,-11.356306
7.6,60,-11.356306
7.6,90,-11.356306
7.8,0,-10.048599
7.8,30,-10.048599
7.8,60,-10.048599
7.8,90,-10.048599
8.0,0,-8.946496
8.0,30,-8.946496
8.0,60,-8.946496
8.0,90,-8.946496
8.2,0,-8.014323
8.2,30,-8.014323
8.2,60,-8.014323
8.2,90,-8.014323
8.4,0,-7.223847
8.4,30,-7.223847
8.4,60,-7.223847
8.4,90,-7.223847
8.6,0,-6.551559
8.6,30,-6.551559
8.6,60,-6.551559
8.6,90,-6.551559
8.8,0,-5.976874
8.8,30,-5.976874
8.8,60,-5.976874
8.8,90,-5.976874
9.0,0,-5.482203
9.0,30,-5.482202
9.0,60,-5.482203
9.0,90,-5.482202
9.5,0,-4.506577
9.5,30,-4.506577
9.5,60,-4.506577
9.5,90,-4.506577
10.0,0,-3.793262
10.0,30,-3.793262
10.0,60,-3.793262
10.0,90,-3.793262
10.5,0,-3.258978
10.5,30,-3.258978
10.5,60,-3.258979
10.5,90,-3.258978
11.0,0,-2.852533
11.0,30,-2.852533
11.0,60,-2.852533
11.0,90,-2.852533
11.5,0,-2.538153
11.5,30,-2.538153
11.5,60,-2.538153
11.5,90,-2.538153
12.0,0,-2.290054
12.0,30,-2.290054
12.0,60,-2.290054
12.0,90,-2.290054
12.5,0,-2.090016
12.5,30,-2.090016
12.5,60,-2.090016
12.5,90,-2.090016
13.0,0,-1.925262
13.0,30,-1.925262
13.0,60,-1.925262
13.0,90,-1.925262
13.5,0,-1.787027
13.5,30,-1.787027
13.5,60,-1.787027
13.5,90,-1.787027
14.0,0,-1.669194
14.0,30,-1.669194
14.0,60,-1.669194
14.0,90,-1.669194
14.5,0,-1.56728
14.5,30,-1.56728
14.5,60,-1.56728
14.5,90,-1.56728
15.0,0,-1.478121
15.0,30,-1.478121
15.0,60,-1.478121
15.0,90,-1.478121
16.0,0,-1.328815
16.0,30,-1.328815
16.0,60,-1.328815
16.0,90,-1.328815
17.0,0,-1.208042
17.0,30,-1.208042
17.0,60,-1.208042
17.0,90,-1.208042
18.0,0,-1.107669
18.0,30,-1.107669
18.0,60,-1.107669
18.0,90,-1.107669
19.0,0,-1.022412
19.0,30,-1.022412
19.0,60,-1.022412
19.0,90,-1.022412
20.0,0,-0.9479
20.0,30,-0.9479
20.0,60,-0.9479
20.0,90,-0.9479
21.0,0,-0.882317
21.0,30,-0.882317
21.0,60,-0.882317
21.0,90,-0.882317
22.0,0,-0.825372
22.0,30,-0.825372
22.0,60,-0.825372
22.0,90,-0.825372
23.0,0,-0.774566
23.0,30,-0.774566
23.0,60,-0.774566
23.0,90,-0.774566
24.0,0,-0.729122
24.0,30,-0.729122
24.0,60,-0.729122
24.0,90,-0.729122
25.0,0,-0.687891
25.0,30,-0.687891
25.0,60,-0.687891
25.0,90,-0.687891
50.0,0,-0.220026
50.0,30,-0.220026
50.0,60,-0.220026
50.0,90,-0.220026
100.0,0,0.002607
100.0,30,0.002607
100.0,60,0.002607
100.0,90,0.002607
