R	0	30	60	90	120	150	180
2.5	75627.677135	20498.280097	4137.168801	2424.733504	4137.168792	20498.280099	75627.677084
2.6	65099.904945	16987.854111	3160.073135	1727.256875	3160.073116	16987.854109	65099.904928
2.7	61231.318532	13945.968061	2384.83329	1209.59169	2384.833294	13945.96803	61231.318522
2.8	60923.133533	11239.725914	1776.949133	829.380982	1776.949115	11239.725939	60923.133597
2.9	62376.954976	8957.342314	1305.513547	553.415544	1305.513532	8957.342317	62376.955042
3.0	21532.735044	7056.635779	944.014531	355.788544	944.014531	7056.635785	21532.73502
3.1	16268.504984	5478.806436	669.973486	216.415326	669.97347	5478.806457	16268.504973
3.2	12180.320232	4192.759721	464.710351	119.859697	464.710378	4192.759768	12180.320185
3.3	9077.099779	3162.919333	312.931722	54.397423	312.931705	3162.91934	9077.09972
3.4	6699.004448	2350.890197	202.284103	11.208702	202.284106	2350.890262	6699.004429
3.5	4888.508221	1719.463871	122.908777	-16.226575	122.908763	1719.463939	4888.508174
3.6	3521.599419	1234.766563	67.02425	-32.696287	67.024258	1234.766568	3521.59942
3.7	2498.219044	867.482619	28.553962	-41.676247	28.553973	867.482594	2498.219034
3.8	1738.832143	592.725567	2.805977	-45.660465	2.805993	592.725558	1738.832121
3.9	1180.804258	390.079624	-13.797049	-46.41088	-13.797016	390.079651	1180.804208
4.0	775.200123	242.914828	-23.944203	-45.148686	-23.944214	242.914786	775.200101
4.1	484.11947	137.90154	-29.624886	-42.703608	-29.624855	137.901587	484.119542
4.2	278.418279	64.483316	-32.285534	-39.629652	-32.285536	64.483318	278.418266
4.3	135.791665	14.40954	-32.95852	-36.290552	-32.958513	14.409506	135.79167
4.4	39.246326	-18.67223	-32.366697	-32.920204	-32.366704	-18.672249	39.246333
4.5	-24.078618	-39.576347	-31.007023	-29.663136	-31.007046	-39.576338	-24.078607
4.6	-63.819016	-51.898339	-29.215689	-26.603293	-29.215689	-51.89833	-63.819039
4.7	-87.100958	-58.289963	-27.216586	-23.784792	-27.216597	-58.289935	-87.100984
4.8	-99.117311	-60.684601	-25.156966	-21.22777	-25.156988	-60.684615	-99.117298
4.9	-103.59839	-60.472289	-23.131741	-18.938108	-23.13174	-60.472309	-103.598369
5.0	-103.190239	-58.632967	-21.200436	-16.912837	-21.200415	-58.632947	-103.190209
5.1	-99.746978	-55.840644	-19.39836	-15.141669	-19.398363	-55.840657	-99.746958
5.2	-94.547454	-52.547044	-17.744263	-13.607977	-17.744255	-52.547053	-94.547449
5.3	-88.453247	-49.048202	-16.245323	-12.289543	-16.245324	-49.048261	-88.453246
5.4	-82.026553	-45.534192	-14.889281	-11.160872	-14.889269	-45.534207	-82.026569
5.5	-75.620677	-42.123584	-13.693381	-10.195287	-13.693378	-42.123534	-75.620653
5.6	-69.448093	-38.886241	-12.63398	-9.367506	-12.633985	-38.886255	-69.448093
5.7	-63.629044	-35.858896	-11.697646	-8.654855	-11.697633	-35.858878	-63.62901
5.8	-58.223966	-33.056072	-10.870068	-8.038248	-10.870067	-33.056072	-58.223983
5.9	-53.25468	-30.478789	-10.136737	-7.501846	-10.136723	-30.478782	-53.254696
6.0	-48.718487	-28.120457	-9.484294	-7.032657	-9.484289	-28.120469	-48.718492
6.2	-40.868672	-24.016294	-8.375907	-6.252678	-8.37596	-24.0163	-40.86866
6.4	-34.465033	-20.626819	-7.468788	-5.624941	-7.468782	-20.626788	-34.46502
6.6	-29.263797	-17.856658	-6.708249	-5.093985	-6.708296	-17.856688	-29.263795
6.8	-25.015926	-15.570487	-6.05553	-4.624336	-6.055516	-15.570495	-25.015919
7.0	-21.539155	-13.667453	-5.483559	-4.201105	-5.483554	-13.66743	-21.539138
7.2	-18.661502	-12.070469	-4.975972	-3.82292	-4.975991	-12.070464	-18.661496
7.4	-16.263294	-10.720729	-4.524329	-3.493101	-4.524337	-10.720734	-16.263314
