R	0	30	60	90	120	150	180
2.5	75627.677135	20499.727418	4136.939038	2424.372415	4136.93908	20499.727456	75627.677085
2.6	65099.904945	16988.786149	3159.834403	1726.895432	3159.83441	16988.786145	65099.904928
2.7	61231.318532	13946.509895	2384.587523	1209.230305	2384.587517	13946.509894	61231.318522
2.8	60923.133533	11239.957491	1776.697902	829.020008	1776.697882	11239.957497	60923.133597
2.9	62376.954976	8957.28844	1305.258053	553.055107	1305.258066	8957.28844	62376.955042
3.0	21532.735044	7056.37146	943.75577	355.428656	943.755752	7056.371464	21532.73502
3.1	16268.504984	5478.376719	669.712215	216.055988	669.712157	5478.376726	16268.504973
3.2	12180.320232	4192.200935	464.447107	119.500843	464.44715	4192.200964	12180.320185
3.3	9077.099779	3162.261597	312.66704	54.039063	312.667039	3162.261556	9077.099719
3.4	6699.004448	2350.15767	202.018316	10.850681	202.018293	2350.15771	6699.004428
3.5	4888.508221	1718.67544	122.642121	-16.584288	122.642157	1718.675479	4888.508174
3.6	3521.599419	1233.936926	66.756971	-33.053722	66.757006	1233.936913	3521.59942
3.7	2498.219044	866.622908	28.286253	-42.033492	28.286239	866.622888	2498.219034
3.8	1738.832143	591.844078	2.538016	-46.017557	2.538011	591.844076	1738.832121
3.9	1180.804258	389.182738	-14.06529	-46.767881	-14.06529	389.18272	1180.804208
4.0	775.200123	242.007058	-24.212604	-45.505659	-24.212621	242.007022	775.200101
4.1	484.11947	136.986401	-29.893341	-43.060592	-29.893352	136.986405	484.119541
4.2	278.418279	63.563232	-32.554111	-39.986595	-32.554089	63.56326	278.418266
4.3	135.791665	13.48625	-33.227116	-36.6475	-33.227149	13.486271	135.79167
4.4	39.246326	-19.597431	-32.635354	-33.277149	-32.635352	-19.597433	39.246333
4.5	-24.078618	-40.502588	-31.275732	-30.020143	-31.275759	-40.502582	-24.078607
4.6	-63.819016	-52.825014	-29.484403	-26.960305	-29.484412	-52.825044	-63.819039
4.7	-87.100958	-59.21677	-27.485321	-24.141837	-27.485315	-59.21676	-87.100984
4.8	-99.117311	-61.611259	-25.425728	-21.584863	-25.425672	-61.611211	-99.117298
