R,phi,E
2.5,0,75627.677085
2.5,30,75627.677084
2.5,60,75627.677085
2.5,90,75627.677084
2.6,0,65099.904928
2.6,30,65099.904928
2.6,60,65099.904928
2.6,90,65099.904928
2.7,0,61231.318522
2.7,30,61231.318522
2.7,60,61231.318522
2.7,90,61231.318522
2.8,0,60923.133597
2.8,30,60923.133597
2.8,60,60923.133597
2.8,90,60923.133597
2.9,0,62376.955042
2.9,30,62376.955042
2.9,60,62376.955042
2.9,90,62376.955042
3.0,0,21532.73502
3.0,30,21532.73502
3.0,60,21532.73502
3.0,90,21532.73502
3.1,0,16268.504973
3.1,30,16268.504973
3.1,60,16268.504973
3.1,90,16268.504973
3.2,0,12180.320185
3.2,30,12180.320185
3.2,60,12180.320185
3.2,90,12180.320185
3.3,0,9077.099719
3.3,30,9077.09972
3.3,60,9077.09972
3.3,90,9077.09972
3.4,0,6699.004428
3.4,30,6699.004429
3.4,60,6699.004429
3.4,90,6699.004428
3.5,0,4888.508174
3.5,30,4888.508174
3.5,60,4888.508174
3.5,90,4888.508174
3.6,0,3521.59942
3.6,30,3521.59942
3.6,60,3521.59942
3.6,90,3521.59942
3.7,0,2498.219034
3.7,30,2498.219034
3.7,60,2498.219035
3.7,90,2498.219034
3.8,0,1738.832121
3.8,30,1738.832121
3.8,60,1738.832121
3.8,90,1738.832121
3.9,0,1180.804208
3.9,30,1180.804208
3.9,60,1180.804208
3.9,90,1180.804208
4.0,0,775.200101
4.0,30,775.200101
4.0,60,775.200101
4.0,90,775.200101
4.1,0,484.119541
4.1,30,484.119542
4.1,60,484.119541
4.1,90,484.119542
4.2,0,278.418266
4.2,30,278.418266
4.2,60,278.418266
4.2,90,278.418266
4.3,0,135.79167
4.3,30,135.79167
4.3,60,135.79167
4.3,90,135.79167
4.4,0,39.246333
4.4,30,39.246333
4.4,60,39.246333
4.4,90,39.246333
4.5,0,-24.078607
4.5,30,-24.078607
4.5,60,-24.078607
4.5,90,-24.078607
4.6,0,-63.819039
4.6,30,-63.819039
4.6,60,-63.819039
4.6,90,-63.819039
4.7,0,-87.100984
4.7,30,-87.100984
4.7,60,-87.100984
4.7,90,-87.100984
4.8,0,-99.117298
4.8,30,-99.117298
4.8,60,-99.117298
4.8,90,-99.117298
4.9,0,-103.598369
4.9,30,-103.598369
4.9,60,-103.598369
4.9,90,-103.598369
5.0,0,-103.190209
5.0,30,-103.190209
5.0,60,-103.190209
5.0,90,-103.190209
5.1,0,-99.746958
5.1,30,-99.746958
5.1,60,-99.746958
5.1,90,-99.746958
5.2,0,-94.547449
5.2,30,-94.547449
5.2,60,-94.547449
5.2,90,-94.547449
5.3,0,-88.453246
5.3,30,-88.453246
5.3,60,-88.453246
5.3,90,-88.453246
5.4,0,-82.026569
5.4,30,-82.026569
5.4,60,-82.026569
5.4,90,-82.026569
5.5,0,-75.620653
5.5,30,-75.620653
5.5,60,-75.620653
5.5,90,-75.620653
5.6,0,-69.448093
5.6,30,-69.448093
5.6,60,-69.448093
5.6,90,-69.448093
5.7,0,-63.62901
5.7,30,-63.62901
5.7,60,-63.62901
5.7,90,-63.62901
5.8,0,-58.223983
5.8,30,-58.223983
5.8,60,-58.223983
5.8,90,-58.223983
5.9,0,-53.254696
5.9,30,-53.254696
5.9,60,-53.254696
5.9,90,-53.254696
6.0,0,-48.718492
6.0,30,-48.718492
6.0,60,-48.718492
6.0,90,-48.718492
6.2,0,-40.86866
6.2,30,-40.86866
6.2,60,-40.86866
6.2,90,-40.86866
6.4,0,-34.46502
6.4,30,-34.46502
6.4,60,-34.46502
6.4,90,-34.46502
6.6,0,-29.263796
6.6,30,-29.263795
6.6,60,-29.263795
6.6,90,-29.263795
6.8,0,-25.015919
6.8,30,-25.015919
6.8,60,-25.015919
6.8,90,-25.015919
7.0,0,-21.539138
7.0,30,-21.539138
7.0,60,-21.539138
7.0,90,-21.539138
7.2,0,-18.661496
7.2,30,-18.661496
7.2,60,-18.661496
7.2,90,-18.661496
7.4,0,-16.263314
7.4,30,-16.263314
7.4,60,-16.263314
7.4,90,-16.263314
7.6,0,-14.251545
7.6,30,-14.251545
7.6,60,-14.251545
7.6,90,-14.251545
7.8,0,-12.553659
7.8,30,-12.553659
7.8,60,-12.553659
7.8,90,-12.553659
8.0,0,-11.11468
8.0,30,-11.11468
8.0,60,-11.11468
8.0,90,-11.11468
8.2,0,-9.893126
8.2,30,-9.893126
8.2,60,-9.893126
8.2,90,-9.893126
8.4,0,-8.855863
8.4,30,-8.855863
8.4,60,-8.855863
8.4,90,-8.855863
8.6,0,-7.974249
8.6,30,-7.974249
8.6,60,-7.974249
8.6,90,-7.974249
8.8,0,-7.222338
8.8,30,-7.222338
8.8,60,-7.222338
8.8,90,-7.222338
9.0,0,-6.576906
9.0,30,-6.576906
9.0,60,-6.576906
9.0,90,-6.576906
9.5,0,-5.310189
9.5,30,-5.310189
9.5,60,-5.310189
9.5,90,-5.310189
10.0,0,-4.391349
10.0,30,-4.391349
10.0,60,-4.391349
10.0,90,-4.391349
10.5,0,-3.710869
10.5,30,-3.710869
10.5,60,-3.710869
10.5,90,-3.710869
11.0,0,-3.199991
11.0,30,-3.199991
11.0,60,-3.199991
11.0,90,-3.199991
11.5,0,-2.809689
11.5,30,-2.809689
11.5,60,-2.809689
11.5,90,-2.809689
12.0,0,-2.505332
12.0,30,-2.505332
12.0,60,-2.505332
12.0,90,-2.505332
12.5,0,-2.262703
12.5,30,-2.262703
12.5,60,-2.262703
12.5,90,-2.262703
13.0,0,-2.065321
13.0,30,-2.065321
13.0,60,-2.065321
13.0,90,-2.065321
13.5,0,-1.901777
13.5,30,-1.901777
13.5,60,-1.901777
13.5,90,-1.901777
14.0,0,-1.764026
14.0,30,-1.764026
14.0,60,-1.764025
14.0,90,-1.764026
14.5,0,-1.646367
14.5,30,-1.646367
14.5,60,-1.646367
14.5,90,-1.646367
15.0,0,-1.544565
15.0,30,-1.544565
15.0,60,-1.544565
15.0,90,-1.544565
16.0,0,-1.376804
16.0,30,-1.376804
16.0,60,-1.376804
16.0,90,-1.376804
17.0,0,-1.243647
17.0,30,-1.243647
17.0,60,-1.243647
17.0,90,-1.243647
18.0,0,-1.134734
18.0,30,-1.134734
18.0,60,-1.134734
18.0,90,-1.134734
19.0,0,-1.043514
19.0,30,-1.043514
19.0,60,-1.043514
19.0,90,-1.043514
20.0,0,-0.964435
20.0,30,-0.964435
20.0,60,-0.964435
20.0,90,-0.964435
21.0,0,-0.895513
21.0,30,-0.895513
21.0,60,-0.895513
21.0,90,-0.895513
22.0,0,-0.836305
