R	Gamma	E
2.30	110	-41.330142200304
2.30	120	-41.328891204925
2.30	130	-41.32641196919
2.30	140	-41.322423754463
2.30	150	-41.316932723695
2.30	160	-41.310675806812
2.30	170	-41.30539492525
2.30	180	-41.303280722511
2.40	0	-41.323632781604
2.40	10	-41.323765622794
2.40	20	-41.324161316729
2.40	30	-41.324808167549
2.40	40	-41.32567438127
2.40	50	-41.326697232763
2.40	60	-41.327786254359
2.40	70	-41.328836990222
2.40	80	-41.329742267344
2.40	90	-41.330395684008
2.40	100	-41.330687019982
2.40	110	-41.330485831988
2.40	120	-41.329618805883
2.40	130	-41.327867862481
2.40	140	-41.325036741289
2.40	150	-41.321144670226
2.40	160	-41.316732710292
2.40	170	-41.313031599031
2.40	180	-41.311556307894
2.50	0	-41.325776526586
2.50	10	-41.325866430675
2.50	20	-41.326135634404
2.50	30	-41.326579548737
2.50	40	-41.327180601493
2.50	50	-41.327898615327
2.50	60	-41.328671897115
2.50	70	-41.32942672519
2.50	80	-41.330085711527
2.50	90	-41.330570674865
2.50	100	-41.330800379375
2.50	110	-41.330680118568
2.50	120	-41.330084899447
2.50	130	-41.328858088888
2.50	140	-41.326861378221
2.50	150	-41.324116544019
2.50	160	-41.321017927109
2.50	170	-41.318431412686
2.50	180	-41.31740375689
2.60	0	-41.327285051025
2.60	10	-41.327345795628
2.60	20	-41.327528623996
2.60	30	-41.327832754332
2.60	40	-41.328248858582
2.60	50	-41.328751240136
2.60	60	-41.329297899186
2.60	70	-41.329837016859
2.60	80	-41.330313182426
2.60	90	-41.33066972329
2.60	100	-41.330847559547
2.60	110	-41.330778821462
2.60	120	-41.330374351967
2.60	130	-41.329521887999
2.60	140	-41.328123075528
2.60	150	-41.326196786621
2.60	160	-41.324028856838
2.60	170	-41.32222810853
2.60	180	-41.321514831776
2.70	0	-41.328340731794
2.70	10	-41.328381732672
2.70	20	-41.328505742286
2.70	30	-41.328713692456
2.70	40	-41.329000847527
2.70	50	-41.329350914515
2.70	60	-41.329735432136
2.70	70	-41.330118106786
2.70	80	-41.330459582868
2.70	90	-41.330719340633
2.70	100	-41.330854973222
2.70	110	-41.330818349178
2.70	120	-41.33054657094
2.70	130	-41.329959408429
2.70	140	-41.328986323945
2.70	150	-41.327641317403
2.70	160	-41.326130388884
2.70	170	-41.324882215786
2.70	180	-41.324389729538
2.80	0	-41.329075107461
2.80	10	-41.329102745002
2.80	20	-41.329186710077
2.80	30	-41.329328467224
2.80	40	-41.329525794276
2.80	50	-41.329768485431
2.80	60	-41.330037391846
2.80	70	-41.330307209228
2.80	80	-41.330550167298
2.80	90	-41.330737735933
2.80	100	-41.330839903807
2.80	110	-41.330822810917
2.80	120	-41.330642500284
2.80	130	-41.330241903163
2.80	140	-41.329570003406
2.80	150	-41.328635962877
2.80	160	-41.327587586592
2.80	170	-41.326727149381
2.80	180	-41.326389497833
2.90	0	-41.329582519933
2.90	10	-41.329601079336
2.90	20	-41.329657709812
2.90	30	-41.329753860624
2.90	40	-41.329888663042
2.90	50	-41.33005585551
2.90	60	-41.3302426717
2.90	70	-41.330431548649
2.90	80	-41.330602992566
2.90	90	-41.330737222125
2.90	100	-41.330813374911
2.90	110	-41.33080780198
2.90	120	-41.330689977912
2.90	130	-41.330419548295
2.90	140	-41.329959381203
2.90	150	-41.329314671939
2.90	160	-41.328591201199
2.90	170	-41.328002296208
2.90	180	-41.327773031352
3.00	0	-41.329930338577
3.00	10	-41.329942700613
3.00	20	-41.329980567483
3.00	30	-41.330045221406
3.00	40	-41.330136529954
3.00	50	-41.330250800724
3.00	60	-41.33037961029
3.00	70	-41.330510808023
3.00	80	-41.330630773628
3.00	90	-41.330725968653
3.00	100	-41.330782205415
3.00	110	-41.330783140607
3.00	120	-41.330707653629
3.00	130	-41.330527327647
3.00	140	-41.330215090374
3.00	150	-41.329773260458
3.00	160	-41.329277391497
3.00	170	-41.328878113999
3.00	180	-41.328724448238
3.10	0	-41.33016649593
3.10	10	-41.330174595325
3.10	20	-41.330199522497
3.10	30	-41.330242370522
3.10	40	-41.330303432572
3.10	50	-41.330380712732
3.10	60	-41.330468728793
3.10	70	-41.330559102678
3.10	80	-41.330642340366
3.10	90	-41.330709258605
3.10	100	-41.330750444556
3.10	110	-41.33075480606
3.10	120	-41.330707770763
3.10	130	-41.330589378903
3.10	140	-41.330379849034
3.10	150	-41.330079685783
3.10	160	-41.329742724512
3.10	170	-41.329475203369
3.10	180	-41.329373945273
3.20	0	-41.330324950186
3.20	10	-41.330330107596
3.20	20	-41.330346090157
3.20	30	-41.33037382283
3.20	40	-41.33041386436
3.20	50	-41.33046534923
3.20	60	-41.330524803514
3.20	70	-41.330586471495
3.20	80	-41.330643741054
3.20	90	-41.330690399841
3.20	100	-41.330720353752
3.20	110	-41.330726284278
3.20	120	-41.330698227946
3.20	130	-41.330622106197
3.20	140	-41.33048340325
3.20	150	-41.330281664308
3.20	160	-41.330055177039
3.20	170	-41.329878597121
3.20	180	-41.32981332321
3.30	0	-41.330429616012
