E (cm-1),3->1	,E (cm-1),5->1	,E (cm-1),7->1	,E (cm-1),9->1	,E (cm-1),11->1	,E (cm-1),5->3	,E (cm-1),7->3	,E (cm-1),9->3	,E (cm-1),11->3	,E (cm-1),7->5	,E (cm-1),9->5	,E (cm-1),11->5	,E (cm-1),9->7	,E (cm-1),11->7	,E (cm-1),11->9	
0.03900000000000148,756.5,0.04920000000001323,173.692,0.030599999999992633,98.667,0.03319999999999368,88.9468,0.007000000000005002,86.1961,0.04920000000001323,503.536,0.030599999999992633,330.955,0.03319999999999368,140.206,0.007000000000005002,232.537,0.030599999999992633,603.432,0.03319999999999368,326.534,0.007000000000005002,265.71,0.03319999999999368,373.169,0.007000000000005002,661.436,0.007000000000005002,948.52
0.08899999999999864,357.513,0.09920000000001039,80.0324,0.080600000000004,67.2752,0.08320000000000505,42.6647,0.05699999999998795,19.6942,0.09920000000001039,261.118,0.080600000000004,152.852,0.08320000000000505,67.7734,0.05699999999998795,66.5309,0.080600000000004,324.929,0.08320000000000505,177.886,0.05699999999998795,100.993,0.08320000000000505,217.526,0.05699999999998795,184.471,0.05699999999998795,310.908
0.1389999999999958,163.059,0.14920000000000755,57.4977,0.13060000000001537,39.8521,0.133199999999988,23.1745,0.10699999999999932,11.3252,0.14920000000000755,171.584,0.13060000000001537,103.136,0.133199999999988,40.272,0.10699999999999932,40.0464,0.13060000000001537,246.686,0.133199999999988,109.525,0.10699999999999932,63.0066,0.133199999999988,162.14,0.10699999999999932,117.04,0.10699999999999932,182.55
0.18899999999999295,145.009,0.1992000000000047,49.3201,0.18059999999999832,28.9395,0.18319999999999936,13.629,0.15699999999998226,6.92047,0.1992000000000047,163.206,0.18059999999999832,76.2314,0.18319999999999936,32.8892,0.15699999999998226,27.3597,0.18059999999999832,167.798,0.18319999999999936,75.7641,0.15699999999998226,48.154,0.18319999999999936,114.02,0.15699999999998226,89.249,0.15699999999998226,156.119
0.2389999999999901,126.849,0.24920000000000186,45.8815,0.23060000000000969,19.7162,0.23320000000001073,30.3618,0.20699999999999363,6.0524,0.24920000000000186,158.217,0.23060000000000969,64.3492,0.23320000000001073,30.4614,0.20699999999999363,23.0177,0.23060000000000969,133.536,0.23320000000001073,74.6918,0.20699999999999363,37.7976,0.23320000000001073,101.451,0.20699999999999363,89.6052,0.20699999999999363,111.439
0.2890000000000015,85.9969,0.29920000000001323,43.2281,0.28059999999999263,22.8458,0.2831999999999937,27.0679,0.257000000000005,7.68252,0.29920000000001323,150.495,0.28059999999999263,52.0663,0.2831999999999937,26.8663,0.257000000000005,20.0714,0.28059999999999263,111.586,0.2831999999999937,67.8639,0.257000000000005,34.4351,0.2831999999999937,101.299,0.257000000000005,79.5573,0.257000000000005,95.4433
0.33899999999999864,127.893,0.3492000000000104,27.8779,0.330600000000004,22.9951,0.33320000000000505,14.0116,0.30699999999998795,5.88934,0.3492000000000104,118.945,0.330600000000004,44.9,0.33320000000000505,24.7962,0.30699999999998795,20.7786,0.330600000000004,95.3038,0.33320000000000505,56.0383,0.30699999999998795,32.038,0.33320000000000505,93.1736,0.30699999999998795,77.5785,0.30699999999998795,93.1247
0.3889999999999958,83.798,0.39920000000000755,30.2351,0.38060000000001537,17.3877,0.383199999999988,9.41977,0.3569999999999993,5.41567,0.39920000000000755,137.616,0.38060000000001537,50.2599,0.383199999999988,18.7833,0.3569999999999993,17.2879,0.38060000000001537,71.2511,0.383199999999988,47.1962,0.3569999999999993,29.7036,0.383199999999988,78.9108,0.3569999999999993,73.2728,0.3569999999999993,76.1622
0.43899999999999295,101.651,0.4492000000000047,33.6126,0.4305999999999983,19.9751,0.43319999999999936,8.76625,0.40699999999998226,2.98076,0.4492000000000047,106.92,0.4305999999999983,51.7626,0.43319999999999936,22.3288,0.40699999999998226,11.8595,0.4305999999999983,73.7655,0.43319999999999936,41.3442,0.40699999999998226,19.6153,0.43319999999999936,72.1758,0.40699999999998226,56.5674,0.40699999999998226,81.3565
0.4889999999999901,57.904,0.49920000000000186,31.3136,0.4806000000000097,18.5594,0.48320000000001073,10.7042,0.45699999999999363,2.80583,0.49920000000000186,88.8881,0.4806000000000097,41.9988,0.48320000000001073,23.2673,0.45699999999999363,11.6554,0.4806000000000097,87.0717,0.48320000000001073,47.6029,0.45699999999999363,22.6456,0.48320000000001073,71.4358,0.45699999999999363,54.1249,0.45699999999999363,84.6757
0.5390000000000015,94.1839,0.5492000000000132,33.4993,0.5305999999999926,16.6167,0.5331999999999937,9.45895,0.507000000000005,2.51908,0.5492000000000132,106.313,0.5305999999999926,34.7148,0.5331999999999937,26.3488,0.507000000000005,12.027,0.5305999999999926,78.7474,0.5331999999999937,47.2569,0.507000000000005,22.0169,0.5331999999999937,86.0869,0.507000000000005,55.2042,0.507000000000005,71.7022
0.5889999999999986,96.1153,0.5992000000000104,35.6323,0.580600000000004,13.9144,0.583200000000005,8.94248,0.556999999999988,2.35728,0.5992000000000104,115.569,0.580600000000004,36.1631,0.583200000000005,24.9634,0.556999999999988,14.0651,0.580600000000004,88.7114,0.583200000000005,47.538,0.556999999999988,22.3594,0.583200000000005,88.7274,0.556999999999988,50.3509,0.556999999999988,55.4744
