R,theta,E_cm
2.5,0.0,3348.3212679490985
2.6,0.0,2345.4101951316015
2.7,0.0,1621.5421271695911
2.8,0.0,1105.5878646096303
2.9,0.0,742.1210941018011
3.0,0.0,489.0887484040121
3.1,0.0,315.01205473596826
3.2,0.0,196.78104609367156
3.3,0.0,117.59481357985483
3.4,0.0,65.4061825140149
3.5,0.0,31.680783585670003
3.6,0.0,10.437620161708049
3.7,0.0,-2.4710843939261484
3.8,0.0,-9.893424698656846
3.9,0.0,-13.766335690834621
4.0,0.0,-15.379340342521804
4.1,0.0,-15.605463518907385
4.2,0.0,-15.051664501785824
4.3,0.0,-14.060648316031044
4.4,0.0,-12.867133207357753
4.5,0.0,-11.61571652039984
4.6,0.0,-10.391818004986034
4.7,0.0,-9.264612545834227
4.8,0.0,-8.210320507898219
4.9,0.0,-7.261219151070775
5.0,0.0,-6.41610772777793
5.1,0.0,-5.6692553153831575
5.2,0.0,-5.012501407089746
5.3,0.0,-4.436758000409415
5.4,0.0,-3.9328868251867135
5.5,0.0,-3.49219274459648
5.6,0.0,-3.106660097702345
5.7,0.0,-2.7690721229831965
5.8,0.0,-2.4730739324889104
5.9,0.0,-2.213096354000985
6.0,0.0,-1.9842527913982608
6.2,0.0,-1.6040035579626797
6.4,0.0,-1.3056795966296542
6.6,0.0,-1.0691790023459982
6.8,0.0,-0.8815556254637404
7.0,0.0,-0.7312607181839033
7.2,0.0,-0.6101434236546891
7.4,0.0,-0.5119548629685712
7.6,0.0,-0.4318933713715654
7.8,0.0,-0.3662289769258038
8.0,0.0,-0.31205166295164233
8.2,0.0,-0.26707977576317193
8.4,0.0,-0.22958363290969813
8.6,0.0,-0.19808595070989937
8.8,0.0,-0.1715775863299862
9.0,0.0,-0.14914486402213442
9.5,0.0,-0.10655669100681664
10.0,0.0,-0.07754477722956991
10.5,0.0,-0.057355526763516455
11.0,0.0,-0.04307453148672281
11.5,0.0,-0.032780513565083144
12.0,0.0,-0.02523607185233914
12.5,0.0,-0.01966295419740632
13.0,0.0,-0.016432505701045416
13.5,0.0,-0.012419410492388466
14.0,0.0,-0.008765378069338824
14.5,0.0,-0.007960565177815937
15.0,0.0,-0.006260733930354974
16.0,0.0,-0.004335282978505291
17.0,0.0,-0.003798887640161155
18.0,0.0,-0.0019388404843417107
19.0,0.0,-0.0022897784779290476
20.0,0.0,-0.00157670556048501
21.0,0.0,-0.0011329297322464527
22.0,0.0,-0.0008998464473188505
23.0,0.0,-0.0006461346117501421
24.0,0.0,-0.0004745065674987359
25.0,0.0,-0.0003366751629127407
50.0,0.0,1.624022727369834e-05
100.0,0.0,0.0
2.5,5.0,3339.600855922088
2.6,5.0,2333.607397780172
2.7,5.0,1611.7582874730974
2.8,5.0,1098.4073043609674
2.9,5.0,737.1686223041748
3.0,5.0,485.75851126196466
3.1,5.0,312.86318280439656
3.2,5.0,195.4020097428848
3.3,5.0,116.762791402355
3.4,5.0,64.93710048807993
3.5,5.0,31.438744774469495
3.6,5.0,10.317279809382645
3.7,5.0,-2.535749738369973
3.8,5.0,-9.951326931915103
3.9,5.0,-13.808994314061895
4.0,5.0,-15.42094878101963
4.1,5.0,-15.605881613531212
4.2,5.0,-15.082408066053597
4.3,5.0,-14.076439075443705
4.4,5.0,-12.87369812975863
4.5,5.0,-11.578093081860569
4.6,5.0,-10.37793052410815
4.7,5.0,-9.2361471233461
4.8,5.0,-8.185288987431614
4.9,5.0,-7.239718537340244
5.0,5.0,-6.397780935394463
5.1,5.0,-5.653695437296434
5.2,5.0,-4.999348946983987
5.3,5.0,-4.426248452496317
5.4,5.0,-3.9231046192595787
5.5,5.0,-3.4836725169215987
5.6,5.0,-3.099353782571533
5.7,5.0,-2.762941753757967
5.8,5.0,-2.4680639798805393
5.9,5.0,-2.2079455040876232
6.0,5.0,-1.9805355477814037
6.2,5.0,-1.6009100613348781
6.4,5.0,-1.3033630390867412
6.6,5.0,-1.0670369266610402
6.8,5.0,-0.8798533801705891
7.0,5.0,-0.7298903137244398
7.2,5.0,-0.6090401205632863
7.4,5.0,-0.5110848646055637
7.6,5.0,-0.4311778812895089
7.8,5.0,-0.365642098714663
8.0,5.0,-0.31052784807180017
8.2,5.0,-0.26669964465891016
8.4,5.0,-0.22923949416624653
8.6,5.0,-0.19782565171089644
8.8,5.0,-0.17133615992849302
9.0,5.0,-0.1489374588226964
9.5,5.0,-0.10641688220563154
10.0,5.0,-0.07745457176515473
10.5,5.0,-0.057309213889541584
11.0,5.0,-0.04303041433389268
11.5,5.0,-0.032739908318515774
12.0,5.0,-0.025234312780285678
12.5,5.0,-0.01967589772404082
13.0,5.0,-0.016447866392292385
13.5,5.0,-0.01225151267894546
14.0,5.0,-0.008765814718430107
14.5,5.0,-0.00800270181512488
