R	phi	theta2	theta1	E
2.50	0	0	0	788.777983
2.50	0	0	30	3418.080426
2.50	0	0	60	2646.886278
2.50	0	0	90	1917.543401
2.50	0	0	120	2646.88629
2.50	0	0	150	3418.080432
2.50	0	0	180	788.77799
2.50	0	30	30	-4681.686805
2.50	0	30	60	2423.163184
2.50	0	30	90	1946.345454
2.50	0	30	120	2835.652617
2.50	0	30	150	3772.86666
2.50	0	60	0	-885.865022
2.50	0	60	30	-5494.325544
2.50	0	60	60	2386.421504
2.50	0	60	90	1995.511929
2.50	0	60	120	2783.307837
2.50	0	60	150	-6246.799301
2.50	0	60	180	-885.865019
2.50	0	90	0	-858.141393
2.50	0	90	30	-6153.422922
2.50	0	90	60	2558.985681
2.50	0	90	90	2015.394703
2.50	0	90	120	2558.985674
2.50	0	90	150	-6153.422909
2.50	0	90	180	-858.141394
2.50	30	0	0	788.777983
2.50	30	0	30	3418.108986
2.50	30	0	60	2646.808595
2.50	30	0	90	1917.81248
2.50	30	0	120	2646.808597
2.50	30	0	150	3418.108973
2.50	30	0	180	788.77799
2.50	30	30	30	-4728.09185
2.50	30	30	60	2437.422647
2.50	30	30	90	1934.206833
2.50	30	30	120	2795.166216
2.50	30	30	150	3716.829306
2.50	30	60	0	-885.865022
2.50	30	60	30	-5497.824677
2.50	30	60	60	2378.221566
2.50	30	60	90	1961.223936
2.50	30	60	120	2722.315327
2.50	30	60	150	-6149.282819
2.50	30	60	180	-885.865019
2.50	30	90	0	-858.141393
2.50	30	90	30	-6094.481898
2.50	30	90	60	2515.140767
2.50	30	90	90	1971.251042
2.50	30	90	120	2515.140756
2.50	30	90	150	-6094.481904
2.50	30	90	180	-858.141394
2.50	60	0	0	788.777982
2.50	60	0	30	3418.112049
2.50	60	0	60	2646.958962
2.50	60	0	90	1917.836955
2.50	60	0	120	2646.963721
2.50	60	0	150	3418.112043
2.50	60	0	180	788.77799
2.50	60	30	30	-4863.679556
2.50	60	30	60	2487.533995
2.50	60	30	90	1909.505805
2.50	60	30	120	2694.107955
2.50	60	30	150	3573.080595
2.50	60	60	0	-885.865022
2.50	60	60	30	-5539.618774
2.50	60	60	60	2381.231992
2.50	60	60	90	1892.641511
2.50	60	60	120	2580.291792
2.50	60	60	150	-5915.853799
2.50	60	60	180	-885.86502
2.50	60	90	0	-858.141393
2.50	60	90	30	-5974.658168
2.50	60	90	60	2426.865637
2.50	60	90	90	1883.559437
2.50	60	90	120	2426.870272
2.50	60	90	150	-5974.658168
2.50	60	90	180	-858.141394
2.50	90	0	0	788.777982
2.50	90	0	30	3418.122902
2.50	90	0	60	2646.984896
2.50	90	0	90	1917.938185
2.50	90	0	120	2646.984892
2.50	90	0	150	3418.122912
2.50	90	0	180	788.777991
2.50	90	30	30	3407.382689
