R,theta1,E
2.5,0,968322.299467
2.5,30,22297.59476
2.5,60,6150.070862
2.5,90,1658.796134
2.5,120,6369.315434
2.5,150,34420.860609
2.5,180,968322.299158
2.6,0,871408.320147
2.6,30,18714.568205
2.6,60,4684.947636
2.6,90,1127.406959
2.6,120,4866.476954
2.6,150,30228.053768
2.6,180,871408.320832
2.7,0,1024550.13659
2.7,30,15832.43596
2.7,60,3534.233826
2.7,90,740.894919
2.7,120,3684.459517
2.7,150,26876.474597
2.7,180,1024550.13545
2.8,0,1395906.222667
2.8,30,13636.137253
2.8,60,2637.914515
2.8,90,464.039392
2.8,120,2760.886883
2.8,150,23977.395472
2.8,180,1395906.222447
2.9,0,1700664.694904
2.9,30,11962.572896
2.9,60,1945.532638
2.9,90,269.214252
2.9,120,2044.229679
2.9,150,21313.922231
2.9,180,1700664.696063
3.0,0,1451541.224115
3.0,30,10665.219907
3.0,60,1415.253947
3.0,90,134.98943
3.0,120,1492.248011
3.0,150,18855.034659
3.0,180,1451541.224271
3.1,0,948553.355405
3.1,30,9697.293798
3.1,60,1012.763092
3.1,90,44.922
3.1,120,1070.541314
3.1,150,16561.855169
3.1,180,948553.355755
3.2,0,566995.850687
3.2,30,8884.409031
3.2,60,710.179318
3.2,90,-13.453172
3.2,120,751.264999
3.2,150,14437.034011
3.2,180,566995.850984
3.3,0,332286.596504
3.3,30,8123.121396
3.3,60,485.049185
3.3,90,-49.46812
3.3,120,512.006611
3.3,150,12487.129238
3.3,180,332286.596378
3.4,0,196324.04126
3.4,30,7359.449915
3.4,60,319.449937
3.4,90,-70.012002
3.4,120,334.809783
3.4,150,10698.527581
3.4,180,196324.041423
3.5,0,119947.918453
3.5,30,6574.676279
3.5,60,199.202703
3.5,90,-80.095276
3.5,120,205.347879
3.5,150,9035.603743
3.5,180,119947.917862
3.6,0,78446.616822
3.6,30,5775.406089
3.6,60,113.190118
3.6,90,-83.312193
3.6,120,112.253559
3.6,150,7569.00658
3.6,180,78446.617758
3.7,0,57094.929163
3.7,30,4982.652653
3.7,60,52.776163
3.7,90,-82.190198
3.7,120,46.573574
3.7,150,6290.903553
3.7,180,57094.928802
3.8,0,47174.734025
3.8,30,4221.843868
3.8,60,11.307992
3.8,90,-78.477671
3.8,120,1.321958
3.8,150,5163.687186
3.8,180,47174.733284
3.9,0,43186.961265
3.9,30,3515.548036
3.9,60,-16.295104
3.9,90,-73.343755
3.9,120,-28.887038
3.9,150,4178.397469
3.9,180,43186.962219
4.0,0,40776.275683
4.0,30,2879.645448
4.0,60,-33.877936
4.0,90,-67.552637
4.0,120,-48.163964
4.0,150,3330.548773
4.0,180,40776.276017
4.1,0,34394.734351
4.1,30,2322.44146
4.1,60,-44.324251
4.1,90,-61.585632
4.1,120,-59.608682
4.1,150,2613.357613
4.1,180,34394.735466
4.2,0,26622.489346
4.2,30,1845.610098
4.2,60,-49.773289
4.2,90,-55.740505
4.2,120,-65.541201
4.2,150,2015.819524
4.2,180,26622.488517
4.3,0,20354.927132
4.3,30,1446.358151
4.3,60,-51.793195
4.3,90,-50.191402
4.3,120,-67.680322
4.3,150,1525.716016
4.3,180,20354.927282
4.4,0,15378.291252
4.4,30,1117.206802
4.4,60,-51.518532
4.4,90,-45.040479
4.4,120,-67.286084
4.4,150,1129.812975
4.4,180,15378.29124
4.5,0,11566.614755
4.5,30,850.650248
4.5,60,-49.763198
4.5,90,-40.334345
4.5,120,-65.265025
4.5,150,814.895957
4.5,180,11566.615037
4.6,0,8624.375638
4.6,30,638.072367
4.6,60,-47.098438
4.6,90,-36.088908
4.6,120,-62.258966
4.6,150,568.1902
4.6,180,8624.375941
4.7,0,6367.485888
4.7,30,470.89647
4.7,60,-43.929375
4.7,90,-32.299669
4.7,120,-58.710888
4.7,150,377.99377
4.7,180,6367.485505
4.8,0,4651.388678
4.8,30,341.175724
4.8,60,-40.532242
4.8,90,-28.948019
4.8,120,-54.919319
4.8,150,233.901412
4.8,180,4651.388163
4.9,0,3357.308963
4.9,30,241.831339
4.9,60,-37.096826
4.9,90,-26.00574
4.9,120,-51.084888
4.9,150,126.857227
4.9,180,3357.308894
5.0,0,2389.526121
5.0,30,166.738449
5.0,60,-33.751628
5.0,90,-23.440068
5.0,120,-47.336398
5.0,150,49.120908
5.0,180,2389.525768
5.1,0,1671.993372
5.1,30,110.727257
5.1,60,-30.575759
5.1,90,-21.214898
5.1,120,-43.75941
5.1,150,-5.812047
5.1,180,1671.993477
5.2,0,1144.902972
5.2,30,69.528324
5.2,60,-27.621897
5.2,90,-19.288864
5.2,120,-40.401708
5.2,150,-43.310651
5.2,180,1144.902677
5.3,0,761.65477
5.3,30,39.676957
5.3,60,-24.914746
5.3,90,-17.623397
5.3,120,-37.289223
5.3,150,-67.720329
