R	0	30	60	90	120	150	180
2.5	802306.750313	36175.048442	5545.139614	981.805315	5545.139404	36175.048294	802306.750596
2.6	827884.476782	30307.950049	4230.817511	596.345379	4230.817899	30307.950713	827884.476414
2.7	728085.105232	25072.508606	3193.135162	325.535585	3193.134951	25072.50844	728085.105156
2.8	554315.532643	20616.881441	2379.955901	139.639344	2379.955871	20616.881111	554315.532757
2.9	377388.370214	16986.921289	1749.278425	15.635361	1749.278039	16986.920935	377388.369888
3.0	236546.263838	14126.626424	1264.514712	-63.999925	1264.51451	14126.626792	236546.26391
3.1	138941.64633	11908.545907	895.398853	-112.384539	895.398777	11908.546453	138941.646027
3.2	77306.366029	10163.275742	617.160171	-139.180148	617.160191	10163.275276	77306.365821
3.3	41604.296327	8701.970939	409.709097	-151.395035	409.709207	8701.970046	41604.296426
3.4	23333.959489	7504.874469	256.896229	-154.028787	256.895677	7504.873925	23333.959276
3.5	16278.986507	6477.100338	145.870212	-150.588435	145.870505	6477.100452	16278.986566
3.6	16147.779882	5539.410207	66.508509	-143.487815	66.509104	5539.410441	16147.780035
3.7	20052.714404	4672.752008	10.911372	-134.359048	10.911499	4672.752066	20052.714055
3.8	26073.657764	3878.791838	-27.019548	-124.281899	-27.019378	3878.791282	26073.657559
3.9	32915.100556	3164.786897	-51.959861	-113.962929	-51.959662	3164.78651	32915.10032
4.0	39804.65916	2536.880091	-67.459677	-103.846846	-67.459299	2536.880331	39804.659376
4.1	46123.904139	1997.239726	-76.188916	-94.209674	-76.188832	1997.240307	46123.904327
4.2	51835.249589	1543.59922	-80.137619	-85.20842	-80.137738	1543.599507	51835.249402
4.3	21312.034674	1170.086144	-80.777307	-76.925948	-80.778036	1170.086761	21312.034993
4.4	16101.79213	868.505901	-79.183221	-69.387524	-79.182655	868.50622	16101.792237
4.5	12094.868222	630.094266	-76.132647	-62.585229	-76.132482	630.094678	12094.86852
4.6	9033.508706	443.812267	-72.193905	-56.488114	-72.193866	443.81228	9033.509005
4.7	6708.886334	301.472782	-67.766543	-51.049077	-67.767268	301.472836	6708.886099
4.8	4953.699237	194.695148	-63.140114	-46.213646	-63.139575	194.694425	4953.699036
4.9	3635.846784	116.120954	-58.507122	-41.92287	-58.507121	116.12076	3635.847298
5.0	2651.995146	59.50416	-54.003074	-38.120622	-54.002767	59.503839	2651.99494
5.1	1921.871506	19.677579	-49.713227	-34.753285	-49.712621	19.677416	1921.871393
5.2	1383.42553	-7.52304	-45.686689	-31.768687	-45.686576	-7.522719	1383.425695
5.3	988.874535	-25.385951	-41.951467	-29.123571	-41.951471	-25.386794	988.874469
5.4	701.59496	-36.464327	-38.516128	-26.773447	-38.516028	-36.464619	701.595074
5.5	493.707759	-42.706361	-35.377562	-24.686073	-35.377199	-42.706006	493.708097
5.6	344.166837	-45.571705	-32.523597	-22.828636	-32.523947	-45.571956	344.16662
5.7	237.222056	-46.142561	-29.939512	-21.174211	-29.939624	-46.142089	237.222217
5.8	161.188191	-45.199761	-27.60536	-19.697597	-27.605299	-45.199673	161.188451
5.9	107.458166	-43.307144	-25.500019	-18.3804	-25.500336	-43.306754	107.45795
6.0	69.734441	-40.858678	-23.604224	-17.200363	-23.603967	-40.859361	69.734359
6.2	25.277132	-35.310639	-20.356412	-15.197042	-20.356562	-35.310839	25.27697
