R,phi,E
2.5,0,1036677.989937
2.5,30,1036677.989937
2.5,60,1036677.989937
2.5,90,1036677.989937
2.6,0,888807.982437
2.6,30,888807.982437
2.6,60,888807.982437
2.6,90,888807.982437
2.7,0,1156733.159075
2.7,30,1156733.159075
2.7,60,1156733.159075
2.7,90,1156733.159075
2.8,0,2187662.092959
2.8,30,2187662.092959
2.8,60,2187662.092959
2.8,90,2187662.092959
3.1,0,2879314.763871
3.1,30,2879314.763871
3.1,60,2879314.763871
3.1,90,2879314.763871
3.2,0,1214744.570557
3.2,30,1214744.570557
3.2,60,1214744.570557
3.2,90,1214744.570557
3.3,0,626589.771544
3.3,30,626589.771544
3.3,60,626589.771544
3.3,90,626589.771544
3.4,0,348269.587737
3.4,30,348269.587737
3.4,60,348269.587737
3.4,90,348269.587737
3.5,0,204742.186936
3.5,30,204742.186936
3.5,60,204742.186936
3.5,90,204742.186936
3.6,0,128861.169215
3.6,30,128861.169215
3.6,60,128861.169215
3.6,90,128861.169215
3.7,0,88973.310886
3.7,30,88973.310886
3.7,60,88973.310886
3.7,90,88973.310886
3.8,0,68889.788161
3.8,30,68889.788161
3.8,60,68889.788161
3.8,90,68889.788161
3.9,0,59818.031999
3.9,30,59818.032
3.9,60,59818.031999
3.9,90,59818.031999
4.0,0,56824.974271
4.0,30,56824.974271
4.0,60,56824.974271
4.0,90,56824.974271
4.1,0,57072.38663
4.1,30,57072.38663
4.1,60,57072.38663
4.1,90,57072.38663
4.2,0,26468.264894
4.2,30,26468.264894
4.2,60,26468.264894
4.2,90,26468.264894
4.3,0,20151.682382
4.3,30,20151.682382
4.3,60,20151.682382
4.3,90,20151.682382
4.4,0,15181.753243
4.4,30,15181.753243
4.4,60,15181.753243
4.4,90,15181.753243
4.5,0,11353.079306
4.5,30,11353.079306
4.5,60,11353.079306
4.5,90,11353.079306
4.6,0,8439.492919
4.6,30,8439.492919
4.6,60,8439.492919
4.6,90,8439.492919
4.7,0,6207.297154
4.7,30,6207.297154
4.7,60,6207.297153
4.7,90,6207.297154
4.8,0,4509.747542
4.8,30,4509.747542
4.8,60,4509.747542
4.8,90,4509.747542
4.9,0,3229.940782
4.9,30,3229.940782
4.9,60,3229.940782
4.9,90,3229.940782
5.0,0,2273.4468
5.0,30,2273.4468
5.0,60,2273.4468
5.0,90,2273.4468
5.1,0,1565.216012
5.1,30,1565.216012
5.1,60,1565.216012
5.1,90,1565.216012
5.2,0,1046.162732
5.2,30,1046.162732
5.2,60,1046.162732
5.2,90,1046.162732
5.3,0,670.155956
5.3,30,670.155956
5.3,60,670.155956
5.3,90,670.155956
5.4,0,401.501245
5.4,30,401.501245
5.4,60,401.501245
5.4,90,401.501245
5.5,0,212.76991
5.5,30,212.76991
5.5,60,212.76991
5.5,90,212.76991
5.6,0,82.983515
5.6,30,82.983515
5.6,60,82.983515
5.6,90,82.983515
5.7,0,-3.831323
5.7,30,-3.831323
5.7,60,-3.831323
5.7,90,-3.831323
5.8,0,-59.751226
5.8,30,-59.751226
5.8,60,-59.751226
5.8,90,-59.751226
5.9,0,-93.819215
5.9,30,-93.819215
5.9,60,-93.819215
5.9,90,-93.819215
6.0,0,-112.719253
6.0,30,-112.719253
6.0,60,-112.719253
6.0,90,-112.719253
6.2,0,-123.105296
6.2,30,-123.105296
6.2,60,-123.105296
6.2,90,-123.105296
6.4,0,-115.376724
6.4,30,-115.376724
6.4,60,-115.376724
6.4,90,-115.376724
6.6,0,-101.467821
6.6,30,-101.467821
6.6,60,-101.467821
6.6,90,-101.467821
6.8,0,-86.728657
6.8,30,-86.728657
6.8,60,-86.728657
6.8,90,-86.728657
