R	0	30	60	90	120	150	180
2.5	1036677.989937	25062.257326	6467.787278	1928.610322	6467.78702	25062.257141	1036677.989495
2.6	888807.982437	21404.726176	4936.05294	1340.939048	4936.053222	21404.726597	888807.982288
2.7	1156733.159075	18662.590017	3732.272797	909.52731	3732.272876	18662.590002	1156733.1593
2.8	2187662.092959	16570.112021	2793.326726	597.067965	2793.326718	16570.111828	2187662.092468
2.9		14926.623781	2066.549801	374.209658	2066.54968	14926.623806	
3.0		13594.334472	1508.496169	218.079658	1508.49595	13594.335197	
3.1	2879314.763871	12416.333673	1083.656145	111.016155	1083.65597	12416.333623	2879314.764306
3.2	1214744.570557	11285.376068	763.226025	39.533148	763.226059	11285.375771	1214744.570483
3.3	626589.771544	10162.510686	524.024351	-6.550751	524.02437	10162.510215	626589.771548
3.4	348269.587737	9065.300436	347.515924	-34.815925	347.515748	9065.300371	348269.587445
3.5	204742.186936	7985.124407	218.985697	-50.832728	218.98613	7985.124691	204742.18764
3.6	128861.169215	6925.751214	126.83394	-58.626708	126.833518	6925.751005	128861.16961
3.7	88973.310886	5907.945039	61.979215	-61.067026	61.979476	5907.94519	88973.310847
3.8	68889.788161	4956.143635	17.378554	-60.154292	17.378577	4956.143366	68889.788543
3.9	59818.031999	4090.348176	-12.377264	-57.253192	-12.377334	4090.348349	59818.031996
4.0	56824.974271	3322.825047	-31.401041	-53.273069	-31.400778	3322.824848	56824.973874
4.1	57072.38663	2658.453647	-42.781111	-48.802437	-42.781096	2658.453631	57072.386879
4.2	26468.264894	2094.074599	-48.819276	-44.221496	-48.818844	2094.074469	26468.265017
4.3	20151.682382	1623.832445	-51.214298	-39.765807	-51.213941	1623.832199	20151.682188
4.4	15181.753243	1238.409663	-51.194442	-35.576469	-51.194573	1238.409806	15181.753414
4.5	11353.079306	927.435124	-49.638953	-31.730772	-49.638855	927.435292	11353.079319
4.6	8439.492919	680.17339	-47.1573	-28.259406	-47.157166	680.173517	8439.4935
4.7	6207.297154	486.38445	-44.166434	-25.166004	-44.16626	486.384098	6207.297409
4.8	4509.747542	336.713211	-40.94962	-22.436482	-40.94962	336.713558	4509.747075
4.9	3229.940782	222.87525	-37.691776	-20.049387	-37.6917	222.875514	3229.940473
5.0	2273.4468	137.704357	-34.517129	-17.977162	-34.51716	137.704949	2273.446898
5.1	1565.216012	75.123109	-31.502929	-16.191572	-31.503078	75.123123	1565.216025
5.2	1046.162732	30.070168	-28.69932	-14.660091	-28.699073	30.070979	1046.162663
5.3	670.155956	-1.588808	-26.129056	-13.353922	-26.129364	-1.588534	670.156138
5.4	401.501245	-23.168667	-23.805484	-12.241626	-23.805355	-23.168318	401.501404
5.5	212.76991	-37.282962	-21.724474	-11.294553	-21.724253	-37.282984	212.770222
5.6	82.983515	-45.955228	-19.877683	-10.489263	-19.877862	-45.955847	82.983671
5.7	-3.831323	-50.737829	-18.250287	-9.801755	-18.249807	-50.737896	-3.83166
5.8	-59.751226	-52.796949	-16.822951	-9.214695	-16.823026	-52.7968	-59.751159
5.9	-93.819215	-52.999176	-15.575367	-8.710891	-15.575291	-52.999024	-93.819325
6.0	-112.719253	-51.974447	-14.485174	-8.275355	-14.485192	-51.97486	-112.719064
6.2	-123.105296	-47.904729	-12.693505	-7.561646	-12.693653	-47.904775	-123.1051
6.4	-115.376724	-42.78306	-11.302575	-6.988883	-11.302585	-42.783209	-115.376746
6.6	-101.467821	-37.647329	-10.199384	-6.498886	-10.199337	-37.64714	-101.468351
6.8	-86.728657	-32.947536	-9.306005	-6.058243	-9.30624	-32.94783	-86.728786
7.0	-73.266392	-28.832747	-8.563236	-5.657715	-8.563154	-28.832546	-73.266082
7.2	-61.723679	-25.310358	-7.928361	-5.296124	-7.928127	-25.310526	-61.723556
7.4	-52.113218	-22.326738	-7.37387	-4.977677	-7.373869	-22.326756	-52.113362
7.6	-44.207362	-19.805418	-6.882262	-4.701431	-6.882353	-19.805539	-44.207455
7.8	-37.724379	-17.66676	-6.444931	-4.463991	-6.444922	-17.6671	-37.724625
8.0	-32.403989	-15.841565	-6.05575	-4.258817	-6.055875	-15.84118	-32.404058
8.2	-28.022872	-14.274897	-5.7113	-4.081006	-5.711679	-14.274746	-28.022887
8.4	-24.398341	-12.92135	-5.403702	-3.924533	-5.404098	-12.921372	-24.398502
