R,theta1,E
2.5,0,968322.299467
2.5,30,23417.07734
2.5,60,6116.505876
2.5,90,1691.209115
2.5,120,6116.505676
2.5,150,23417.077059
2.5,180,968322.299158
2.6,0,871408.320147
2.6,30,20139.831357
2.6,60,4665.323115
2.6,90,1157.57127
2.6,120,4665.323658
2.6,150,20139.831047
2.6,180,871408.320832
2.7,0,1024550.13659
2.7,30,17599.414582
2.7,60,3524.169302
2.7,90,768.296178
2.7,120,3524.16926
2.7,150,17599.414968
2.7,180,1024550.13545
2.8,0,1395906.222668
2.8,30,15606.218564
2.8,60,2633.898022
2.8,90,488.521957
2.8,120,2633.897305
2.8,150,15606.218848
2.8,180,1395906.222446
2.9,0,1700664.694905
2.9,30,14051.017145
2.9,60,1944.89807
2.9,90,290.836109
2.9,120,1944.898116
2.9,150,14051.017106
2.9,180,1700664.696064
3.0,0,1451541.224115
3.0,30,12772.374619
3.0,60,1416.087457
3.0,90,153.928392
3.0,120,1416.086925
3.0,150,12772.374574
3.0,180,1451541.224271
3.1,0,948553.355405
3.1,30,11636.981789
3.1,60,1013.794341
3.1,90,61.417821
3.1,120,1013.793921
3.1,150,11636.981162
3.1,180,948553.355754
3.2,0,566995.850687
3.2,30,10565.345721
3.2,60,710.66434
3.2,90,0.863437
3.2,120,710.664343
3.2,150,10565.345442
3.2,180,566995.850984
3.3,0,332286.596504
3.3,30,9542.022134
3.3,60,484.644681
3.3,90,-37.064374
3.3,120,484.645255
3.3,150,9542.022225
3.3,180,332286.596378
3.4,0,196324.04126
3.4,30,8538.640085
3.4,60,318.095664
3.4,90,-59.266427
3.4,120,318.095623
3.4,150,8538.640594
3.4,180,196324.041424
3.5,0,119947.918453
3.5,30,7537.795797
3.5,60,197.005067
3.5,90,-70.773782
3.5,120,197.004557
3.5,150,7537.79573
3.5,180,119947.917862
3.6,0,78446.616822
3.6,30,6548.605223
3.6,60,110.33592
3.6,90,-75.204728
3.6,120,110.33552
3.6,150,6548.605475
3.6,180,78446.617758
3.7,0,57094.929162
3.7,30,5593.308487
3.7,60,49.465993
3.7,90,-75.118347
3.7,120,49.466074
3.7,150,5593.308714
3.7,180,57094.928802
3.8,0,47174.734025
3.8,30,4696.401455
3.8,60,7.721565
3.8,90,-72.284194
3.8,120,7.721331
3.8,150,4696.400802
3.8,180,47174.733284
3.9,0,43186.961265
3.9,30,3877.958963
3.9,60,-20.012395
3.9,90,-67.897821
3.9,120,-20.012567
3.9,150,3877.95873
3.9,180,43186.962219
4.0,0,40776.275683
4.0,30,3150.762536
4.0,60,-37.618058
4.0,90,-62.738033
4.0,120,-37.618025
