R,theta2,E
2.5,0,6467.004251
2.5,30,6129.963483
2.5,60,5669.845286
2.5,90,5545.139614
2.6,0,4935.314624
2.6,30,4670.195078
2.6,60,4315.810733
2.6,90,4230.817511
2.7,0,3731.567737
2.7,30,3523.510353
2.7,60,3249.628248
2.7,90,3193.135162
2.8,0,2792.648863
2.8,30,2630.172635
2.8,60,2418.540651
2.8,90,2379.955901
2.9,0,2065.889105
2.9,30,1939.957226
2.9,60,1776.428882
2.9,90,1749.278425
3.0,0,1507.850483
3.0,30,1411.225982
3.0,60,1284.795203
3.0,90,1264.514712
3.1,0,1083.020766
3.1,30,1009.821611
3.1,60,911.900418
3.1,90,895.398853
3.2,0,762.598597
3.2,30,707.98992
3.2,60,631.856942
3.2,90,617.160171
3.3,0,523.402708
3.3,30,483.378857
3.3,60,423.765371
3.3,90,409.709097
3.4,0,346.897592
3.4,30,318.140199
3.4,60,270.930911
3.4,90,256.896229
3.5,0,218.371183
3.5,30,198.149808
3.5,60,160.148573
3.5,90,145.870212
3.6,0,126.22135
3.6,30,112.325804
3.6,60,81.082106
3.6,90,66.508509
3.7,0,61.366865
3.7,30,52.05556
3.7,60,25.713975
3.7,90,10.911372
3.8,0,16.766831
3.8,30,10.699806
3.8,60,-12.116393
3.8,90,-27.019548
3.9,0,-12.988783
3.9,30,-16.815172
3.9,60,-37.100346
3.9,90,-51.959861
4.0,0,-32.011779
4.0,30,-34.328672
4.0,60,-52.775885
4.0,90,-67.459677
4.1,0,-43.391423
4.1,30,-44.719826
4.1,60,-61.787808
4.1,90,-76.188916
4.2,0,-49.430389
4.2,30,-50.130166
4.2,60,-66.097264
4.2,90,-80.137619
4.3,0,-51.825497
4.3,30,-52.124137
4.3,60,-67.146129
4.3,90,-80.777307
4.4,0,-51.806924
4.4,30,-51.835813
4.4,60,-65.987864
4.4,90,-79.183221
4.5,0,-50.251412
4.5,30,-50.076759
4.5,60,-63.392062
4.5,90,-76.132647
4.6,0,-47.770022
4.6,30,-47.418331
4.6,60,-59.913704
4.6,90,-72.193905
4.7,0,-44.780684
4.7,30,-44.260295
4.7,60,-55.951778
4.7,90,-67.766543
4.8,0,-41.563426
4.8,30,-40.877684
4.8,60,-51.790222
4.8,90,-63.140114
4.9,0,-38.306317
4.9,30,-37.45815
4.9,60,-47.625262
4.9,90,-58.507122
5.0,0,-35.131197
5.0,30,-34.128387
5.0,60,-43.590707
5.0,90,-54.003074
5.1,0,-32.11885
5.1,30,-30.967838
5.1,60,-39.769273
5.1,90,-49.713227
5.2,0,-29.314343
5.2,30,-28.027939
5.2,60,-36.21294
5.2,90,-45.686689
5.3,0,-26.74474
5.3,30,-25.33376
5.3,60,-32.942211
5.3,90,-41.951467
5.4,0,-24.420557
5.4,30,-22.898161
5.4,60,-29.963943
5.4,90,-38.516128
5.5,0,-22.340586
5.5,30,-20.718573
5.5,60,-27.270757
5.5,90,-35.377562
5.6,0,-20.493614
5.6,30,-18.786659
5.6,60,-24.84746
5.6,90,-32.523597
5.7,0,-18.866945
5.7,30,-17.086434
5.7,60,-22.676941
5.7,90,-29.939512
5.8,0,-17.439871
5.8,30,-15.597582
5.8,60,-20.736973
5.8,90,-27.60536
5.9,0,-16.19287
5.9,30,-14.297411
5.9,60,-19.007022
5.9,90,-25.500019
6.0,0,-15.101575
6.0,30,-13.16235
6.0,60,-17.467481
6.0,90,-23.604224
6.2,0,-13.310119
6.2,30,-11.308284
6.2,60,-14.877687
6.2,90,-20.356412
6.4,0,-11.9192
6.4,30,-9.886073
6.4,60,-12.828247
6.4,90,-17.717015
6.6,0,-10.816667
6.6,30,-8.785564
6.6,60,-11.204397
6.6,90,-15.56697
6.8,0,-9.92345
6.8,30,-7.928412
6.8,60,-9.916265
6.8,90,-13.808849
7.0,0,-9.180353
7.0,30,-7.251712
7.0,60,-8.889093
7.0,90,-12.365092
7.2,0,-8.545865
7.2,30,-6.710138
7.2,60,-8.065585
7.2,90,-11.172106
7.4,0,-7.991028
7.4,30,-6.265249
7.4,60,-7.398468
