R,theta1,E
2.5,0,1036677.989937
2.5,30,25061.536352
2.5,60,6467.004251
2.5,90,1928.257608
2.5,120,6467.004308
2.5,150,25061.536025
2.5,180,1036677.989494
2.6,0,888807.982437
2.6,30,21404.231916
2.6,60,4935.314624
2.6,90,1340.583791
2.6,120,4935.314498
2.6,150,21404.232165
2.6,180,888807.982288
2.7,0,1156733.159075
2.7,30,18662.277456
2.7,60,3731.567737
2.7,90,909.169677
2.7,120,3731.568186
2.7,150,18662.277372
2.7,180,1156733.1593
2.8,0,2187662.092959
2.8,30,16569.941444
2.8,60,2792.648863
2.8,90,596.710783
2.8,120,2792.647863
2.8,150,16569.941449
2.8,180,2187662.092468
2.9,30,14926.570234
2.9,60,2065.889105
2.9,90,373.853783
2.9,120,2065.889365
2.9,150,14926.570532
3.0,30,13594.363012
3.0,60,1507.850483
3.0,90,217.725568
3.0,120,1507.850105
3.0,150,13594.362747
3.1,0,2879314.763871
3.1,30,12416.410112
3.1,60,1083.020766
3.1,90,110.664353
3.1,120,1083.020011
3.1,150,12416.410195
3.1,180,2879314.764306
3.2,0,1214744.570557
3.2,30,11285.469083
3.2,60,762.598597
3.2,90,39.182348
3.2,120,762.598827
3.2,150,11285.46937
3.2,180,1214744.570483
3.3,0,626589.771544
3.3,30,10162.582209
3.3,60,523.402708
3.3,90,-6.898757
3.3,120,523.402378
3.3,150,10162.582071
3.3,180,626589.771548
3.4,0,348269.587737
3.4,30,9065.325842
3.4,60,346.897592
3.4,90,-35.163263
3.4,120,346.898405
3.4,150,9065.326201
3.4,180,348269.587445
3.5,0,204742.186936
3.5,30,7985.096745
3.5,60,218.371183
3.5,90,-51.177191
3.5,120,218.370853
3.5,150,7985.096521
3.5,180,204742.18764
3.6,0,128861.169215
3.6,30,6925.665719
3.6,60,126.22135
3.6,90,-58.970563
3.6,120,126.221232
3.6,150,6925.666154
3.6,180,128861.16961
3.7,0,88973.310886
3.7,30,5907.801775
3.7,60,61.366865
3.7,90,-61.409176
3.7,120,61.366913
3.7,150,5907.801639
3.7,180,88973.310847
3.8,0,68889.788161
3.8,30,4955.945577
3.8,60,16.766831
3.8,90,-60.496354
3.8,120,16.766971
3.8,150,4955.944702
3.8,180,68889.788543
3.9,0,59818.032
3.9,30,4090.102544
3.9,60,-12.988783
3.9,90,-57.594408
3.9,120,-12.988686
3.9,150,4090.102614
3.9,180,59818.031996
4.0,0,56824.974271
4.0,30,3322.538479
4.0,60,-32.011779
4.0,90,-53.612376
4.0,120,-32.011889
4.0,150,3322.538438
4.0,180,56824.973874
4.1,0,57072.38663
4.1,30,2658.133309
4.1,60,-43.391423
4.1,90,-49.142091
4.1,120,-43.391474
4.1,150,2658.133494
4.1,180,57072.386879
4.2,0,26468.264894
4.2,30,2093.727109
4.2,60,-49.430389
4.2,90,-44.560331
4.2,120,-49.430762
4.2,150,2093.726912
4.2,180,26468.265017
4.3,0,20151.682382
4.3,30,1623.463569
4.3,60,-51.825497
4.3,90,-40.104781
4.3,120,-51.82571
4.3,150,1623.4633
4.3,180,20151.682188
4.4,0,15181.753243
4.4,30,1238.024359
4.4,60,-51.806924
4.4,90,-35.914781
4.4,120,-51.807347
4.4,150,1238.023738
4.4,180,15181.753414
4.5,0,11353.079306
4.5,30,927.035143
4.5,60,-50.251412
4.5,90,-32.06913
4.5,120,-50.251601
4.5,150,927.034974
4.5,180,11353.079319
4.6,0,8439.492919
4.6,30,679.763559
4.6,60,-47.770022
4.6,90,-28.596818
4.6,120,-47.770089
4.6,150,679.763404
4.6,180,8439.4935
4.7,0,6207.297154
4.7,30,485.966406
4.7,60,-44.780684
4.7,90,-25.50315
4.7,120,-44.781128
4.7,150,485.9665
4.7,180,6207.297409
4.8,0,4509.747542
4.8,30,336.289325
4.8,60,-41.563426
4.8,90,-22.774727
4.8,120,-41.563304
4.8,150,336.288931
4.8,180,4509.747075
4.9,0,3229.940782
4.9,30,222.447153
4.9,60,-38.306317
4.9,90,-20.385697
4.9,120,-38.305976
4.9,150,222.447113
4.9,180,3229.940473
5.0,0,2273.4468
5.0,30,137.272283
5.0,60,-35.131197
5.0,90,-18.31392
5.0,120,-35.131123
5.0,150,137.272348
5.0,180,2273.446898
5.1,0,1565.216012
5.1,30,74.68898
5.1,60,-32.11885
5.1,90,-16.527662
5.1,120,-32.117869
5.1,150,74.688737
5.1,180,1565.216025
5.2,0,1046.162732
5.2,30,29.634596
5.2,60,-29.314343
5.2,90,-14.997066
5.2,120,-29.314071
5.2,150,29.634042
5.2,180,1046.162663
5.3,0,670.155956
5.3,30,-2.026486
5.3,60,-26.74474
5.3,90,-13.68946
5.3,120,-26.74499
5.3,150,-2.026327
5.3,180,670.156138
5.4,0,401.501245
5.4,30,-23.60726
5.4,60,-24.420557
5.4,90,-12.577296
5.4,120,-24.420999
5.4,150,-23.607658
5.4,180,401.501404
5.5,0,212.76991
5.5,30,-37.721525
5.5,60,-22.340586
5.5,90,-11.631266
5.5,120,-22.340625
5.5,150,-37.721372
5.5,180,212.770222
5.6,0,82.983515
5.6,30,-46.394632
5.6,60,-20.493614
5.6,90,-10.824916
5.6,120,-20.494018
5.6,150,-46.394725
5.6,180,82.983671
5.7,0,-3.831323
5.7,30,-51.176941
5.7,60,-18.866945
5.7,90,-10.138345
5.7,120,-18.866483
5.7,150,-51.176746
5.7,180,-3.83166
5.8,0,-59.751226
5.8,30,-53.236211
5.8,60,-17.439871
5.8,90,-9.551824
5.8,120,-17.440002
5.8,150,-53.236333
5.8,180,-59.75116
5.9,0,-93.819215
5.9,30,-53.438414
5.9,60,-16.19287
5.9,90,-9.04715
5.9,120,-16.192428
5.9,150,-53.438311
5.9,180,-93.819325
6.0,0,-112.719253
6.0,30,-52.413997
6.0,60,-15.101575
6.0,90,-8.610532
6.0,120,-15.101205
6.0,150,-52.413951
6.0,180,-112.719063
6.2,0,-123.105296
6.2,30,-48.344139
6.2,60,-13.310119
6.2,90,-7.898038
6.2,120,-13.309889
6.2,150,-48.343664
6.2,180,-123.105101
6.4,0,-115.376724
6.4,30,-43.221513
6.4,60,-11.9192
6.4,90,-7.325019
6.4,120,-11.918939
6.4,150,-43.22153
6.4,180,-115.376746
6.6,0,-101.467821
6.6,30,-38.08573
6.6,60,-10.816667
6.6,90,-6.835342
6.6,120,-10.816895
6.6,150,-38.085423
6.6,180,-101.468351
6.8,0,-86.728657
6.8,30,-33.385541
6.8,60,-9.92345
6.8,90,-6.394853
6.8,120,-9.923694
6.8,150,-33.38574
6.8,180,-86.728786
7.0,0,-73.266392
7.0,30,-29.270269
7.0,60,-9.180353
7.0,90,-5.9935
7.0,120,-9.17997
7.0,150,-29.269995
7.0,180,-73.266082
7.2,0,-61.723679
7.2,30,-25.747578
7.2,60,-8.545865
7.2,90,-5.63249
7.2,120,-8.546086
7.2,150,-25.747503
7.2,180,-61.723556
7.4,0,-52.113218
7.4,30,-22.764621
7.4,60,-7.991028
7.4,90,-5.312684
7.4,120,-7.991371
7.4,150,-22.764325
7.4,180,-52.113362
7.6,0,-44.207362
7.6,30,-20.242846
7.6,60,-7.49956
7.6,90,-5.036925
7.6,120,-7.499621
7.6,150,-20.243047
7.6,180,-44.207455
7.8,0,-37.724379
7.8,30,-18.10413
7.8,60,-7.062389
7.8,90,-4.80016
7.8,120,-7.062397
7.8,150,-18.104446
7.8,180,-37.724625
8.0,0,-32.403989
8.0,30,-16.278802
8.0,60,-6.673959
8.0,90,-4.595283
8.0,120,-6.67381
8.0,150,-16.278868
8.0,180,-32.404058
8.2,0,-28.022872
8.2,30,-14.71177
8.2,60,-6.328934
8.2,90,-4.41753
8.2,120,-6.329058
8.2,150,-14.711909
8.2,180,-28.022886
8.4,0,-24.398341
8.4,30,-13.358412
8.4,60,-6.021333
8.4,90,-4.260162
8.4,120,-6.021252
8.4,150,-13.358793
8.4,180,-24.398502
8.6,0,-21.38267
8.6,30,-12.184617
8.6,60,-5.747086
8.6,90,-4.120705
8.6,120,-5.74677
8.6,150,-12.184887
8.6,180,-21.382669
8.8,0,-18.854946
8.8,30,-11.159199
8.8,60,-5.499077
8.8,90,-3.995456
