R,theta1,E
2.5,0,1036677.989937
2.5,30,25062.257326
2.5,60,6467.787278
2.5,90,1928.610322
2.5,120,6467.78702
2.5,150,25062.257141
2.5,180,1036677.989495
2.6,0,888807.982437
2.6,30,21404.726176
2.6,60,4936.05294
2.6,90,1340.939048
2.6,120,4936.053222
2.6,150,21404.726597
2.6,180,888807.982288
2.7,0,1156733.159075
2.7,30,18662.590017
2.7,60,3732.272797
2.7,90,909.52731
2.7,120,3732.272876
2.7,150,18662.590002
2.7,180,1156733.1593
2.8,0,2187662.092959
2.8,30,16570.112021
2.8,60,2793.326726
2.8,90,597.067965
2.8,120,2793.326718
2.8,150,16570.111828
2.8,180,2187662.092468
2.9,30,14926.623781
2.9,60,2066.549801
2.9,90,374.209658
2.9,120,2066.54968
2.9,150,14926.623806
3.0,30,13594.334472
3.0,60,1508.496169
3.0,90,218.079658
3.0,120,1508.49595
3.0,150,13594.335197
3.1,0,2879314.763871
3.1,30,12416.333673
3.1,60,1083.656145
3.1,90,111.016155
3.1,120,1083.65597
3.1,150,12416.333623
3.1,180,2879314.764306
3.2,0,1214744.570557
3.2,30,11285.376068
3.2,60,763.226025
3.2,90,39.533148
3.2,120,763.226059
3.2,150,11285.375771
3.2,180,1214744.570483
3.3,0,626589.771544
3.3,30,10162.510686
3.3,60,524.024351
3.3,90,-6.550751
3.3,120,524.02437
3.3,150,10162.510215
3.3,180,626589.771548
3.4,0,348269.587737
3.4,30,9065.300436
3.4,60,347.515924
3.4,90,-34.815925
3.4,120,347.515748
3.4,150,9065.300371
3.4,180,348269.587445
3.5,0,204742.186936
3.5,30,7985.124407
3.5,60,218.985697
3.5,90,-50.832728
3.5,120,218.98613
3.5,150,7985.124691
3.5,180,204742.18764
3.6,0,128861.169215
3.6,30,6925.751214
3.6,60,126.83394
3.6,90,-58.626708
3.6,120,126.833518
3.6,150,6925.751005
3.6,180,128861.16961
3.7,0,88973.310886
3.7,30,5907.945039
3.7,60,61.979215
3.7,90,-61.067026
3.7,120,61.979476
3.7,150,5907.94519
3.7,180,88973.310847
3.8,0,68889.788161
3.8,30,4956.143635
3.8,60,17.378554
3.8,90,-60.154292
3.8,120,17.378577
3.8,150,4956.143366
3.8,180,68889.788543
3.9,0,59818.031999
3.9,30,4090.348176
3.9,60,-12.377264
3.9,90,-57.253192
3.9,120,-12.377334
3.9,150,4090.348349
3.9,180,59818.031996
4.0,0,56824.974271
4.0,30,3322.825047
4.0,60,-31.401041
4.0,90,-53.273069
4.0,120,-31.400778
4.0,150,3322.824848
4.0,180,56824.973874
4.1,0,57072.38663
4.1,30,2658.453647
4.1,60,-42.781111
4.1,90,-48.802437
4.1,120,-42.781096
4.1,150,2658.453631
4.1,180,57072.386879
4.2,0,26468.264894
4.2,30,2094.074599
4.2,60,-48.819276
4.2,90,-44.221496
4.2,120,-48.818844
4.2,150,2094.074469
4.2,180,26468.265017
4.3,0,20151.682382
4.3,30,1623.832445
4.3,60,-51.214298
4.3,90,-39.765807
4.3,120,-51.213941
4.3,150,1623.832199
4.3,180,20151.682188
4.4,0,15181.753243
4.4,30,1238.409663
4.4,60,-51.194442
4.4,90,-35.576469
4.4,120,-51.194573
4.4,150,1238.409806
4.4,180,15181.753414
4.5,0,11353.079306
4.5,30,927.435124
4.5,60,-49.638953
4.5,90,-31.730772
4.5,120,-49.638855
4.5,150,927.435292
4.5,180,11353.079319
4.6,0,8439.492919
4.6,30,680.17339
4.6,60,-47.1573
4.6,90,-28.259406
4.6,120,-47.157166
4.6,150,680.173517
4.6,180,8439.4935
4.7,0,6207.297154
4.7,30,486.38445
4.7,60,-44.166434
4.7,90,-25.166004
4.7,120,-44.16626
4.7,150,486.384098
4.7,180,6207.297409
4.8,0,4509.747542
4.8,30,336.713211
4.8,60,-40.94962
4.8,90,-22.436482
4.8,120,-40.94962
4.8,150,336.713558
4.8,180,4509.747075
4.9,0,3229.940782
4.9,30,222.87525
4.9,60,-37.691776
4.9,90,-20.049387
4.9,120,-37.6917
4.9,150,222.875514
4.9,180,3229.940473
5.0,0,2273.4468
5.0,30,137.704357
5.0,60,-34.517129
5.0,90,-17.977162
5.0,120,-34.51716
5.0,150,137.704949
5.0,180,2273.446898
5.1,0,1565.216012
5.1,30,75.123109
5.1,60,-31.502929
5.1,90,-16.191572
5.1,120,-31.503078
5.1,150,75.123123
5.1,180,1565.216025
5.2,0,1046.162732
5.2,30,30.070168
5.2,60,-28.69932
5.2,90,-14.660091
5.2,120,-28.699073
5.2,150,30.070979
5.2,180,1046.162663
5.3,0,670.155956
5.3,30,-1.588808
5.3,60,-26.129056
5.3,90,-13.353922
5.3,120,-26.129364
5.3,150,-1.588534
5.3,180,670.156138
5.4,0,401.501245
5.4,30,-23.168667
5.4,60,-23.805484
5.4,90,-12.241626
5.4,120,-23.805355
5.4,150,-23.168318
5.4,180,401.501404
5.5,0,212.76991
5.5,30,-37.282962
5.5,60,-21.724474
5.5,90,-11.294553
5.5,120,-21.724253
5.5,150,-37.282984
5.5,180,212.770222
5.6,0,82.983515
5.6,30,-45.955228
5.6,60,-19.877683
5.6,90,-10.489263
5.6,120,-19.877862
5.6,150,-45.955847
5.6,180,82.983671
5.7,0,-3.831323
5.7,30,-50.737829
5.7,60,-18.250287
5.7,90,-9.801755
5.7,120,-18.249807
5.7,150,-50.737896
5.7,180,-3.83166
5.8,0,-59.751226
5.8,30,-52.796949
5.8,60,-16.822951
5.8,90,-9.214695
5.8,120,-16.823026
5.8,150,-52.7968
5.8,180,-59.751159
5.9,0,-93.819215
5.9,30,-52.999176
5.9,60,-15.575367
5.9,90,-8.710891
5.9,120,-15.575291
5.9,150,-52.999024
5.9,180,-93.819325
6.0,0,-112.719253
6.0,30,-51.974447
6.0,60,-14.485174
6.0,90,-8.275355
6.0,120,-14.485192
6.0,150,-51.97486
6.0,180,-112.719064
6.2,0,-123.105296
6.2,30,-47.904729
6.2,60,-12.693505
6.2,90,-7.561646
6.2,120,-12.693653
6.2,150,-47.904775
6.2,180,-123.1051
6.4,0,-115.376724
6.4,30,-42.78306
6.4,60,-11.302575
6.4,90,-6.988883
6.4,120,-11.302585
6.4,150,-42.783209
6.4,180,-115.376746
6.6,0,-101.467821
6.6,30,-37.647329
6.6,60,-10.199384
6.6,90,-6.498886
6.6,120,-10.199337
6.6,150,-37.64714
6.6,180,-101.468351
6.8,0,-86.728657
6.8,30,-32.947536
6.8,60,-9.306005
6.8,90,-6.058243
6.8,120,-9.30624
6.8,150,-32.94783
6.8,180,-86.728786
7.0,0,-73.266392
7.0,30,-28.832747
7.0,60,-8.563236
7.0,90,-5.657715
7.0,120,-8.563154
7.0,150,-28.832546
7.0,180,-73.266082
7.2,0,-61.723679
7.2,30,-25.310358
7.2,60,-7.928361
7.2,90,-5.296124
7.2,120,-7.928127
7.2,150,-25.310526
7.2,180,-61.723556
7.4,0,-52.113218
7.4,30,-22.326738
7.4,60,-7.37387
7.4,90,-4.977677
7.4,120,-7.373869
7.4,150,-22.326756
7.4,180,-52.113362
7.6,0,-44.207362
7.6,30,-19.805418
7.6,60,-6.882262
7.6,90,-4.701431
7.6,120,-6.882353
7.6,150,-19.805539
7.6,180,-44.207455
7.8,0,-37.724379
7.8,30,-17.66676
7.8,60,-6.444931
7.8,90,-4.463991
7.8,120,-6.444922
7.8,150,-17.6671
7.8,180,-37.724625
8.0,0,-32.403989
8.0,30,-15.841565
8.0,60,-6.05575
8.0,90,-4.258817
8.0,120,-6.055875
8.0,150,-15.84118
8.0,180,-32.404058
8.2,0,-28.022872
8.2,30,-14.274897
8.2,60,-5.7113
8.2,90,-4.081006
8.2,120,-5.711679
8.2,150,-14.274746
8.2,180,-28.022887
8.4,0,-24.398341
8.4,30,-12.92135
8.4,60,-5.403702
8.4,90,-3.924533
8.4,120,-5.404098
8.4,150,-12.921372
8.4,180,-24.398502
8.6,0,-21.38267
8.6,30,-11.747365
8.6,60,-5.12912
8.6,90,-3.785145
8.6,120,-5.129164
8.6,150,-11.747067
8.6,180,-21.382669
8.8,0,-18.854946
8.8,30,-10.722352
8.8,60,-4.88068
8.8,90,-3.660035
8.8,120,-4.880654
8.8,150,-10.722312
8.8,180,-18.854898
9.0,0,-16.721259
9.0,30,-9.823943
9.0,60,-4.657363
9.0,90,-3.546563
9.0,120,-4.657716
9.0,150,-9.823958
9.0,180,-16.721136
9.5,0,-12.689017
9.5,30,-8.025417
9.5,60,-4.185263
9.5,90,-3.308743
9.5,120,-4.184939
9.5,150,-8.025424
9.5,180,-12.688987
10.0,0,-9.966668
10.0,30,-6.708289
10.0,60,-3.813066
10.0,90,-3.116658
