Level(I)	Energy (cm^-1)	J
1	0.00000000	0
2	0.05650600	1
3	0.16951800	2
4	0.33903600	3
5	0.56506000	4
6	0.84759000	5
7	1.18662600	6
8	1.58216800	7
9	2.03421600	8
10	2.54277000	9
11	3.10783000	10
12	3.72939600	11
13	4.40746800	12
14	5.14204600	13
15	5.93313000	14
16	6.78072000	15
17	7.68481600	16
18	8.64541800	17
19	9.66252600	18
20	10.73614000	19
21	11.86626000	20
22	13.05288600	21
