R	phi	theta2	theta1	E
2.50	0	0	0	-114.189883966589
2.50	0	0	30	-114.441065423199
2.50	0	0	60	-114.515619783384
2.50	0	0	90	-114.523422812178
2.50	0	0	120	-114.515619783194
2.50	0	0	150	-114.441065423026
2.50	0	0	180	-114.189883966819
2.50	0	30	0	-114.301903777121
2.50	0	30	30	-114.454807243736
2.50	0	30	60	-114.518912363196
2.50	0	30	90	-114.52366011738
2.50	0	30	120	-114.514374467424
2.50	0	30	150	-114.445915937557
2.50	0	30	180	-114.301903776906
2.50	0	60	0	-114.385333687353
2.50	0	60	30	-114.469092177294
2.50	0	60	60	-114.520772801161
2.50	0	60	90	-114.524203150807
2.50	0	60	120	-114.516858204011
2.50	0	60	150	-114.466390269504
2.50	0	60	180	-114.385333687076
2.50	0	90	0	-114.40706216667
2.50	0	90	30	-114.474856137956
2.50	0	90	60	-114.519918012665
2.50	0	90	90	-114.524503940573
2.50	0	90	120	-114.519918012726
2.50	0	90	150	-114.474856138031
2.50	0	90	180	-114.407062166503
2.50	30	0	0	-114.189883966589
2.50	30	0	30	-114.44107201768
2.50	30	0	60	-114.515618736509
2.50	30	0	90	-114.523421166935
2.50	30	0	120	-114.51561873655
2.50	30	0	150	-114.441072017673
2.50	30	0	180	-114.18988396682
2.50	30	30	0	-114.30190377712
2.50	30	30	30	-114.45378982679
2.50	30	30	60	-114.518694669341
2.50	30	30	90	-114.523745845722
2.50	30	30	120	-114.514761875251
2.50	30	30	150	-114.446301771571
2.50	30	30	180	-114.301903776906
2.50	30	60	0	-114.385333687353
2.50	30	60	30	-114.467127922066
2.50	30	60	60	-114.520682779815
2.50	30	60	90	-114.524430715747
2.50	30	60	120	-114.517271332948
2.50	30	60	150	-114.464909042327
2.50	30	60	180	-114.385333687076
2.50	30	90	0	-114.407062166669
2.50	30	90	30	-114.472401067562
2.50	30	90	60	-114.520086721692
2.50	30	90	90	-114.524788445681
2.50	30	90	120	-114.520086721447
2.50	30	90	150	-114.472401067659
2.50	30	90	180	-114.407062166503
2.50	60	0	0	-114.189883966589
2.50	60	0	30	-114.441069911129
2.50	60	0	60	-114.515620827912
2.50	60	0	90	-114.523418932338
2.50	60	0	120	-114.515620827888
2.50	60	0	150	-114.441069911125
2.50	60	0	180	-114.189883966819
2.50	60	30	0	-114.301903777121
2.50	60	30	30	-114.451365406733
2.50	60	30	60	-114.518041126293
2.50	60	30	90	-114.5239175212
2.50	60	30	120	-114.515767307327
2.50	60	30	150	-114.447278579926
2.50	60	30	180	-114.301903776907
2.50	60	60	0	-114.385333687354
2.50	60	60	30	-114.462880252851
2.50	60	60	60	-114.520314796595
2.50	60	60	90	-114.524880589833
2.50	60	60	120	-114.518323101308
2.50	60	60	150	-114.461636336656
2.50	60	60	180	-114.385333687076
2.50	60	90	0	-114.40706216667
2.50	60	90	30	-114.467215540514
2.50	60	90	60	-114.520450514344
2.50	60	90	90	-114.525346496416
2.50	60	90	120	-114.520450514195
2.50	60	90	150	-114.467215540541
2.50	60	90	180	-114.407062166503
2.50	90	0	0	-114.189883966589
2.50	90	0	30	-114.441071377352
2.50	90	0	60	-114.515621128701
2.50	90	0	90	-114.523422812245
2.50	90	0	120	-114.515621128678
2.50	90	0	150	-114.441071377318
2.50	90	0	180	-114.18988396682
2.50	90	30	0	-114.301903777121
2.50	90	30	30	-114.448922772616
2.50	90	30	60	-114.516992380971
2.50	90	30	90	-114.524008495691
2.50	90	30	120	-114.516992380869
2.50	90	30	150	-114.448922772836
2.50	90	30	180	-114.301903776906
2.50	90	60	0	-114.385333687353
2.50	90	60	30	-114.460155914463
2.50	90	60	60	-114.519495921549
2.50	90	60	90	-114.525108021347
2.50	90	60	120	-114.519495921658
2.50	90	60	150	-114.460155914537
2.50	90	60	180	-114.385333687076
2.50	90	90	0	-114.407062166669
2.50	90	90	30	-114.464403248648
2.50	90	90	60	-114.52064187264
2.50	90	90	90	-114.525624665579
2.50	90	90	120	-114.520641872614
2.50	90	90	150	-114.464403248615
2.50	90	90	180	-114.407062166503
2.60	0	0	0	-114.237852033008
2.60	0	0	30	-114.457062450963
2.60	0	0	60	-114.520071800318
2.60	0	0	90	-114.526600751597
2.60	0	0	120	-114.520071800286
2.60	0	0	150	-114.457062450977
2.60	0	0	180	-114.237852033086
2.60	0	30	0	-114.324444630097
2.60	0	30	30	-114.464919157979
2.60	0	30	60	-114.522711847294
2.60	0	30	90	-114.526782248799
2.60	0	30	120	-114.519233649207
2.60	0	30	150	-114.462707236057
2.60	0	30	180	-114.324444629572
2.60	0	60	0	-114.366275490439
2.60	0	60	30	-114.474851498796
2.60	0	60	60	-114.524319582814
2.60	0	60	90	-114.527202862687
2.60	0	60	120	-114.521315084502
2.60	0	60	150	-114.475932119136
2.60	0	60	180	-114.366275490476
2.60	0	90	0	-114.375555273094
2.60	0	90	30	-114.480224919761
2.60	0	90	60	-114.523732837817
2.60	0	90	90	-114.527437326923
2.60	0	90	120	-114.523732837829
2.60	0	90	150	-114.480224919546
2.60	0	90	180	-114.375555273101
2.60	30	0	0	-114.237852033007
2.60	30	0	30	-114.457066697637
2.60	30	0	60	-114.520070712575
2.60	30	0	90	-114.526599104744
2.60	30	0	120	-114.520070712661
2.60	30	0	150	-114.457066697648
2.60	30	0	180	-114.237852033086
2.60	30	30	0	-114.324444630097
2.60	30	30	30	-114.464303740793
2.60	30	30	60	-114.522529922635
2.60	30	30	90	-114.52684397265
2.60	30	30	120	-114.519511071806
2.60	30	30	150	-114.462464851076
2.60	30	30	180	-114.324444629571
2.60	30	60	0	-114.366275490438
2.60	30	60	30	-114.473532731028
2.60	30	60	60	-114.524217462648
2.60	30	60	90	-114.527366011101
2.60	30	60	120	-114.521590852093
2.60	30	60	150	-114.474380209019
2.60	30	60	180	-114.366275490476
2.60	30	90	0	-114.375555273094
2.60	30	90	30	-114.478272009382
2.60	30	90	60	-114.523820657873
2.60	30	90	90	-114.527640613931
2.60	30	90	120	-114.523820658031
2.60	30	90	150	-114.478272009383
2.60	30	90	180	-114.375555273101
2.60	60	0	0	-114.237852033007
2.60	60	0	30	-114.457065341337
2.60	60	0	60	-114.520072886174
2.60	60	0	90	-114.526596867652
2.60	60	0	120	-114.520072886095
2.60	60	0	150	-114.457065341171
2.60	60	0	180	-114.237852033086
2.60	60	30	0	-114.324444630097
2.60	60	30	30	-114.462963890963
2.60	60	30	60	-114.521997967711
2.60	60	30	90	-114.526969118126
2.60	60	30	120	-114.520248301996
2.60	60	30	150	-114.462001184052
2.60	60	30	180	-114.324444629571
2.60	60	60	0	-114.366275490438
2.60	60	60	30	-114.470862463935
2.60	60	60	60	-114.523867399404
2.60	60	60	90	-114.527690953893
2.60	60	60	120	-114.522324550611
2.60	60	60	150	-114.471230576949
2.60	60	60	180	-114.366275490476
2.60	60	90	0	-114.375555273094
2.60	60	90	30	-114.474259810906
2.60	60	90	60	-114.524020506981
2.60	60	90	90	-114.528041079426
2.60	60	90	120	-114.524020507262
2.60	60	90	150	-114.474259810937
2.60	60	90	180	-114.375555273101
2.60	90	0	0	-114.237852033008
2.60	90	0	30	-114.457066285387
2.60	90	0	60	-114.520073198731
2.60	90	0	90	-114.52660075177
2.60	90	0	120	-114.52007319881
2.60	90	0	150	-114.457066285534
2.60	90	0	180	-114.237852033086
2.60	90	30	0	-114.324444630097
2.60	90	30	30	-114.462020621258
2.60	90	30	60	-114.521174425716
2.60	90	30	90	-114.527036785955
2.60	90	30	120	-114.521174425459
2.60	90	30	150	-114.462020621156
2.60	90	30	180	-114.324444629572
2.60	90	60	0	-114.366275490439
2.60	90	60	30	-114.469643294693
2.60	90	60	60	-114.523197602881
2.60	90	60	90	-114.527856988672
2.60	90	60	120	-114.523197602706
2.60	90	60	150	-114.469643294942
2.60	90	60	180	-114.366275490476
2.60	90	90	0	-114.375555273094
2.60	90	90	30	-114.472206430358
2.60	90	90	60	-114.524128850537
2.60	90	90	90	-114.528242738564
2.60	90	90	120	-114.524128850595
2.60	90	90	150	-114.472206430408
2.60	90	90	180	-114.375555273101
2.70	0	0	0	-114.255478612179
2.70	0	0	30	-114.470924083486
2.70	0	0	60	-114.523604085509
2.70	0	0	90	-114.528959407803
2.70	0	0	120	-114.523604085538
2.70	0	0	150	-114.470924083492
2.70	0	0	180	-114.255478612224
2.70	0	30	0	-114.338545432981
2.70	0	30	30	-114.475650608732
2.70	0	30	60	-114.525708228945
2.70	0	30	90	-114.529094395756
2.70	0	30	120	-114.523054357211
2.70	0	30	150	-114.476052337653
2.70	0	30	180	-114.338545433597
2.70	0	60	0	-114.34670599104
2.70	0	60	30	-114.482572836844
2.70	0	60	60	-114.527080814996
2.70	0	60	90	-114.529412116904
2.70	0	60	120	-114.52478478252
2.70	0	60	150	-114.484958167705
2.70	0	60	180	-114.346705990531
2.70	0	90	0	-114.343521142268
2.70	0	90	30	-114.486890684431
2.70	0	90	60	-114.52669094998
2.70	0	90	90	-114.529590571969
2.70	0	90	120	-114.526690949914
2.70	0	90	150	-114.486890684197
2.70	0	90	180	-114.343521142554
2.70	30	0	0	-114.255478612179
2.70	30	0	30	-114.470926552264
2.70	30	0	60	-114.523602965713
2.70	30	0	90	-114.528957761209
2.70	30	0	120	-114.523602965694
2.70	30	0	150	-114.470926552406
2.70	30	0	180	-114.255478612224
2.70	30	30	0	-114.338545432981
2.70	30	30	30	-114.47533449824
2.70	30	30	60	-114.525557884342
2.70	30	30	90	-114.529138976124
2.70	30	30	120	-114.523252305137
2.70	30	30	150	-114.475621379921
2.70	30	30	180	-114.338545433596
2.70	30	60	0	-114.346705991041
2.70	30	60	30	-114.481682293206
2.70	30	60	60	-114.526976774045
2.70	30	60	90	-114.52952899293
2.70	30	60	120	-114.52496547558
2.70	30	60	150	-114.483712180376
2.70	30	60	180	-114.346705990531
2.70	30	90	0	-114.343521142268
2.70	30	90	30	-114.485458656894
2.70	30	90	60	-114.526725115285
2.70	30	90	90	-114.529735121607
2.70	30	90	120	-114.526725115324
2.70	30	90	150	-114.485458656973
2.70	30	90	180	-114.343521142554
2.70	60	0	0	-114.255478612179
2.70	60	0	30	-114.470925764057
2.70	60	0	60	-114.523605202955
2.70	60	0	90	-114.528955524692
2.70	60	0	120	-114.523605202974
2.70	60	0	150	-114.470925763964
2.70	60	0	180	-114.255478612224
2.70	60	30	0	-114.338545432981
2.70	60	30	30	-114.47468063183
2.70	60	30	60	-114.525128826154
2.70	60	30	90	-114.529229419517
2.70	60	30	120	-114.523789068619
2.70	60	30	150	-114.474741022911
2.70	60	30	180	-114.338545433597
2.70	60	60	0	-114.346705991041
2.70	60	60	30	-114.479940546676
2.70	60	60	60	-114.526656710636
2.70	60	60	90	-114.529762364251
2.70	60	60	120	-114.525469620699
2.70	60	60	150	-114.481060897884
2.70	60	60	180	-114.346705990531
2.70	60	90	0	-114.343521142267
2.70	60	90	30	-114.482588438817
2.70	60	90	60	-114.526814568343
2.70	60	90	90	-114.530021224722
2.70	60	90	120	-114.526814568256
2.70	60	90	150	-114.482588438596
2.70	60	90	180	-114.343521142554
2.70	90	0	0	-114.255478612179
2.70	90	0	30	-114.470926312543
2.70	90	0	60	-114.523605524785
2.70	90	0	90	-114.528959407879
2.70	90	0	120	-114.523605524632
2.70	90	0	150	-114.470926312697
2.70	90	0	180	-114.255478612225
2.70	90	30	0	-114.338545432981
2.70	90	30	30	-114.474315952702
2.70	90	30	60	-114.52448548479
2.70	90	30	90	-114.529279815167
2.70	90	30	120	-114.524485484778
2.70	90	30	150	-114.474315952465
2.70	90	30	180	-114.338545433597
2.70	90	60	0	-114.346705991041
2.70	90	60	30	-114.479367581815
2.70	90	60	60	-114.526114038136
2.70	90	60	90	-114.529883400524
2.70	90	60	120	-114.526114038394
2.70	90	60	150	-114.47936758192
2.70	90	60	180	-114.346705990531
2.70	90	90	0	-114.343521142268
2.70	90	90	30	-114.481153662994
2.70	90	90	60	-114.526866237281
2.70	90	90	90	-114.530167196835
2.70	90	90	120	-114.526866237121
2.70	90	90	150	-114.481153663222
2.70	90	90	180	-114.343521142554
2.80	0	0	0	-114.256882806556
2.80	0	0	30	-114.483256045383
2.80	0	0	60	-114.526373834818
2.80	0	0	90	-114.530691773631
2.80	0	0	120	-114.526373834909
2.80	0	0	150	-114.483256045355
2.80	0	0	180	-114.256882806266
2.80	0	30	0	-114.368427536416
2.80	0	30	30	-114.485816603008
2.80	0	30	60	-114.528039757683
2.80	0	30	90	-114.530789535307
2.80	0	30	120	-114.526029007552
2.80	0	30	150	-114.487460207949
2.80	0	30	180	-114.368427536317
2.80	0	60	0	-114.363483609883
2.80	0	60	30	-114.490932625533
2.80	0	60	60	-114.52919962019
2.80	0	60	90	-114.53102373564
2.80	0	60	120	-114.527460161305
2.80	0	60	150	-114.493542139885
2.80	0	60	180	-114.36348361037
2.80	0	90	0	-114.313983862799
2.80	0	90	30	-114.494308764108
2.80	0	90	60	-114.528954777551
2.80	0	90	90	-114.531156296073
2.80	0	90	120	-114.528954777363
2.80	0	90	150	-114.494308764351
2.80	0	90	180	-114.313983862748
2.80	30	0	0	-114.256882806556
2.80	30	0	30	-114.483257100522
2.80	30	0	60	-114.526372690125
2.80	30	0	90	-114.53069012891
2.80	30	0	120	-114.526372690204
2.80	30	0	150	-114.483257100412
2.80	30	0	180	-114.256882806266
2.80	30	30	0	-114.368427536416
2.80	30	30	30	-114.485646398067
2.80	30	30	60	-114.527916826963
2.80	30	30	90	-114.530821241814
2.80	30	30	120	-114.526168597259
2.80	30	30	150	-114.487065661429
2.80	30	30	180	-114.368427536318
2.80	30	60	0	-114.363483609884
2.80	30	60	30	-114.490320700926
2.80	30	60	60	-114.529099779014
2.80	30	60	90	-114.531106764588
2.80	30	60	120	-114.52757195341
2.80	30	60	150	-114.492470669854
2.80	30	60	180	-114.363483610369
2.80	30	90	0	-114.313983862799
2.80	30	90	30	-114.49328107276
2.80	30	90	60	-114.528953843645
2.80	30	90	90	-114.531258477207
2.80	30	90	120	-114.52895384391
2.80	30	90	150	-114.493281072643
2.80	30	90	180	-114.313983862747
2.80	60	0	0	-114.256882806555
2.80	60	0	30	-114.483256763715
2.80	60	0	60	-114.52637497727
2.80	60	0	90	-114.530687894689
2.80	60	0	120	-114.526374977207
2.80	60	0	150	-114.483256763747
2.80	60	0	180	-114.256882806266
2.80	60	30	0	-114.368427536416
2.80	60	30	30	-114.485375433778
2.80	60	30	60	-114.527574119963
2.80	60	30	90	-114.530886063948
2.80	60	30	120	-114.526557038526
