R	Gamma	E
3.90	70	-13.735543
3.90	75	-13.745992
3.90	80	-13.736055
3.90	85	-13.721188
3.90	90	-13.714205
4.00	0	-16.135769
4.00	5	-16.08829
4.00	10	-15.951331
4.00	15	-15.740465
4.00	20	-15.478934
4.00	25	-15.193546
4.00	30	-14.909412
4.00	35	-14.645473
4.00	40	-14.412345
4.00	45	-14.212778
4.00	50	-14.043487
4.00	55	-13.89715
4.00	60	-13.764775
4.00	65	-13.63859
4.00	70	-13.515446
4.00	75	-13.399334
4.00	80	-13.301032
4.00	85	-13.234242
4.00	90	-13.210453
4.10	0	-17.001179
4.10	5	-16.939488
4.10	10	-16.76115
4.10	15	-16.484794
4.10	20	-16.137106
4.10	25	-15.747439
4.10	30	-15.342444
4.10	35	-14.942456
4.10	40	-14.560639
4.10	45	-14.204157
4.10	50	-13.87603
4.10	55	-13.576325
4.10	60	-13.303418
4.10	65	-13.055799
4.10	70	-12.834376
4.10	75	-12.644548
4.10	80	-12.496092
4.10	85	-12.400506
4.10	90	-12.367575
4.20	0	-16.850201
4.20	5	-16.783593
4.20	10	-16.590596
4.20	15	-16.290261
4.20	20	-15.909089
4.20	25	-15.475715
4.20	30	-15.01582
4.20	35	-14.549413
4.20	40	-14.090736
4.20	45	-13.649802
4.20	50	-13.233878
4.20	55	-12.848384
4.20	60	-12.497109
4.20	65	-12.182941
4.20	70	-11.909398
4.20	75	-11.682254
4.20	80	-11.509777
4.20	85	-11.401116
4.20	90	-11.364293
4.30	0	-16.112542
4.30	5	-16.046238
4.30	10	-15.853803
4.30	15	-15.552953
4.30	20	-15.16826
4.30	25	-14.726038
4.30	30	-14.250048
4.30	35	-13.759426
4.30	40	-13.268917
4.30	45	-12.79035
4.30	50	-12.334016
4.30	55	-11.908782
4.30	60	-11.521939
4.30	65	-11.179012
4.30	70	-10.884828
4.30	75	-10.644834
4.30	80	-10.465634
4.30	85	-10.353
4.30	90	-10.316807
4.40	0	-15.068098
4.40	5	-15.004763
4.40	10	-14.820476
4.40	15	-14.531037
4.40	20	-14.158324
4.40	25	-13.725957
4.40	30	-13.255696
4.40	35	-12.765829
4.40	40	-12.271458
4.40	45	-11.785591
4.40	50	-11.320267
4.40	55	-10.886292
4.40	60	-10.492688
4.40	65	-10.146186
4.40	70	-9.851881
4.40	75	-9.61458
4.40	80	-9.439341
4.40	85	-9.331017
4.40	90	-9.295453
4.50	0	-13.893666
4.50	5	-13.834323
4.50	10	-13.661288
4.50	15	-13.388261
4.50	20	-13.034552
4.50	25	-12.621307
4.50	30	-12.168641
4.50	35	-11.694209
4.50	40	-11.213236
4.50	45	-10.739394
4.50	50	-10.285402
4.50	55	-9.862652
4.50	60	-9.480543
4.50	65	-9.145975
4.50	70	-8.863832
4.50	75	-8.638121
4.50	80	-8.471152
4.50	85	-8.371697
4.50	90	-8.338136
4.60	0	-12.696324
4.60	5	-12.641182
4.60	10	-12.480075
4.60	15	-12.224949
4.60	20	-11.892883
4.60	25	-11.503049
4.60	30	-11.074306
4.60	35	-10.623787
4.60	40	-10.166662
4.60	45	-9.716598
4.60	50	-9.286083
4.60	55	-8.886197
4.60	60	-8.525899
4.60	65	-8.211605
4.60	70	-7.947845
4.60	75	-7.737967
4.60	80	-7.584528
4.60	85	-7.492437
4.60	90	-7.461462
4.70	0	-11.5374
4.70	5	-11.486325
4.70	10	-11.336876
4.70	15	-11.099601
4.70	20	-10.789869
4.70	25	-10.425346
4.70	30	-10.023895
4.70	35	-9.602044
4.70	40	-9.174549
4.70	45	-8.754508
4.70	50	-8.353669
4.70	55	-7.982223
4.70	60	-7.648249
4.70	65	-7.357611
4.70	70	-7.114426
4.70	75	-6.920507
4.70	80	-6.78177
4.70	85	-6.697447
4.70	90	-6.669152
4.80	0	-10.449012
4.80	5	-10.401806
4.80	10	-10.263503
4.80	15	-10.043653
4.80	20	-9.756273
4.80	25	-9.417864
4.80	30	-9.045296
4.80	35	-8.654329
4.80	40	-8.258929
4.80	45	-7.871326
4.80	50	-7.502155
4.80	55	-7.160552
4.80	60	-6.853712
4.80	65	-6.587011
4.80	70	-6.362687
4.80	75	-6.187661
4.80	80	-6.060768
4.80	85	-5.983854
4.80	90	-5.958085
4.90	0	-9.445306
4.90	5	-9.401778
4.90	10	-9.2742
4.90	15	-9.071294
4.90	20	-8.806057
4.90	25	-8.493863
4.90	30	-8.15056
4.90	35	-7.790886
4.90	40	-7.427798
4.90	45	-7.072456
4.90	50	-6.734355
4.90	55	-6.421604
4.90	60	-6.14069
4.90	65	-5.894834
4.90	70	-5.692178
4.90	75	-5.531854
4.90	80	-5.415874
4.90	85	-5.34569
4.90	90	-5.322185
5.00	0	-8.529603
5.00	5	-8.48961
5.00	10	-8.372393
5.00	15	-8.185995
5.00	20	-7.942434
5.00	25	-7.656005
5.00	30	-7.341402
5.00	35	-7.012233
5.00	40	-6.680278
5.00	45	-6.35557
5.00	50	-6.046627
5.00	55	-5.760655
5.00	60	-5.501742
5.00	65	-5.279378
5.00	70	-5.093455
5.00	75	-4.946506
5.00	80	-4.840299
5.00	85	-4.776077
5.00	90	-4.754595
5.10	0	-7.699188
5.10	5	-7.662584
5.10	10	-7.555351
5.10	15	-7.384882
5.10	20	-7.162288
5.10	25	-6.900734
5.10	30	-6.613666
5.10	35	-6.313458
5.10	40	-6.01074
5.10	45	-5.714488
5.10	50	-5.432337
5.10	55	-5.168915
5.10	60	-4.934635
